auto	cars	engine							
0361	6	143-hp, 2.0-liter I-4 (regular gas)	148-hp, 2.0-liter I-4 (regular gas)	161-hp, 2.4-liter I-4 (regular gas)	168-hp, 2.4-liter I-4 (regular gas)	237-hp, 2.0-liter I-4 (premium)	143-hp, 2.0-liter I-4 (regular gas) - 148-hp, 2.0-liter I-4 (regular gas) - 161-hp, 2.4-liter I-4 (regular gas) - 168-hp, 2.4-liter I-4 (regular gas) - 237-hp, 2.0-liter I-4 (premium)		
0364	6	143-hp, 2.0-liter I-4 (regular gas)	148-hp, 2.0-liter I-4 (regular gas)	161-hp, 2.4-liter I-4 (regular gas)	168-hp, 2.4-liter I-4 (regular gas)	237-hp, 2.0-liter I-4 (premium)	143-hp, 2.0-liter I-4 (regular gas) - 148-hp, 2.0-liter I-4 (regular gas) - 161-hp, 2.4-liter I-4 (regular gas) - 168-hp, 2.4-liter I-4 (regular gas) - 237-hp, 2.0-liter I-4 (premium)		
0403	6	345-hp, 3.6-liter H-6 (premium)	385-hp, 3.8-liter H-6 (premium)	408-hp, 3.8-liter H-6 (premium)	435-hp, 3.8-liter H-6 (premium)	500-hp, 3.8-liter H-6 (premium)	345-hp, 3.6-liter H-6 (premium) - 385-hp, 3.8-liter H-6 (premium) - 408-hp, 3.8-liter H-6 (premium) - 435-hp, 3.8-liter H-6 (premium) - 500-hp, 3.8-liter H-6 (premium)		
0632	6	173-hp, 2.4-liter I-4 (regular gas)	189-hp, 2.7-liter V-6 (flexible; E85)	189-hp, 2.7-liter V-6 (regular gas)	235-hp, 3.5-liter V-6 (flexible; E85)	235-hp, 3.5-liter V-6 (regular gas)	173-hp, 2.4-liter I-4 (regular gas) - 189-hp, 2.7-liter V-6 (flexible; E85) - 189-hp, 2.7-liter V-6 (regular gas) - 235-hp, 3.5-liter V-6 (flexible; E85) - 235-hp, 3.5-liter V-6 (regular gas)		
0047	5	248-hp, 4.6-liter V-8 (regular gas)	292-hp, 4.6-liter V-8 (regular gas)	310-hp, 5.4-liter V-8 (flexible; E85)	411-hp, 6.2-liter V-8 (flexible; E85)	248-hp, 4.6-liter V-8 (regular gas) - 292-hp, 4.6-liter V-8 (regular gas) - 310-hp, 5.4-liter V-8 (flexible; E85) - 411-hp, 6.2-liter V-8 (flexible; E85)			
0048	5	302-hp, 3.7-liter V-6 (flexible; E85)	360-hp, 5.0-liter V-8 (flexible; E85)	365-hp, 3.5-liter V-6 (regular gas)	411-hp, 6.2-liter V-8 (regular gas)	302-hp, 3.7-liter V-6 (flexible; E85) - 360-hp, 5.0-liter V-8 (flexible; E85) - 365-hp, 3.5-liter V-6 (regular gas) - 411-hp, 6.2-liter V-8 (regular gas)			
0064	5	322-hp, 6.0-liter V-8 (regular gas)	335-hp, 6.6-liter V-8 (diesel)	360-hp, 6.0-liter V-8 (regular gas)	397-hp, 6.6-liter V-8 (diesel)	322-hp, 6.0-liter V-8 (regular gas) - 335-hp, 6.6-liter V-8 (diesel) - 360-hp, 6.0-liter V-8 (regular gas) - 397-hp, 6.6-liter V-8 (diesel)			
0075	5	195-hp, 4.3-liter V-6 (regular gas)	302-hp, 4.8-liter V-8 (flexible; E85)	315-hp, 5.3-liter V-8 (flexible; E85)	403-hp, 6.2-liter V-8 (flexible; E85)	195-hp, 4.3-liter V-6 (regular gas) - 302-hp, 4.8-liter V-8 (flexible; E85) - 315-hp, 5.3-liter V-8 (flexible; E85) - 403-hp, 6.2-liter V-8 (flexible; E85)			
0076	5	195-hp, 4.3-liter V-6 (regular gas)	302-hp, 4.8-liter V-8 (flexible; E85)	326-hp, 5.3-liter V-8 (flexible; E85)	403-hp, 6.2-liter V-8 (flexible; E85)	195-hp, 4.3-liter V-6 (regular gas) - 302-hp, 4.8-liter V-8 (flexible; E85) - 326-hp, 5.3-liter V-8 (flexible; E85) - 403-hp, 6.2-liter V-8 (flexible; E85)			
0080	5	312-hp, 6.0-liter V-8 (regular gas)	322-hp, 6.0-liter V-8 (flexible; E85)	360-hp, 6.0-liter V-8 (regular gas)	365-hp, 6.6-liter V-8 (diesel)	312-hp, 6.0-liter V-8 (regular gas) - 322-hp, 6.0-liter V-8 (flexible; E85) - 360-hp, 6.0-liter V-8 (regular gas) - 365-hp, 6.6-liter V-8 (diesel)			
0115	5	190-hp, 2.4-liter I-4 (regular gas)	198-hp, 2.4-liter I-4 (regular gas)	200-hp, 2.4-liter I-4 (regular gas)	274-hp, 2.0-liter I-4 (regular gas)	190-hp, 2.4-liter I-4 (regular gas) - 198-hp, 2.4-liter I-4 (regular gas) - 200-hp, 2.4-liter I-4 (regular gas) - 274-hp, 2.0-liter I-4 (regular gas)			
0146	5	300-hp, 4.2-liter V-8 (premium)	385-hp, 5.0-liter V-8 (premium)	470-hp, 5.0-liter V-8 (premium)	510-hp, 5.0-liter V-8 (premium)	300-hp, 4.2-liter V-8 (premium) - 385-hp, 5.0-liter V-8 (premium) - 470-hp, 5.0-liter V-8 (premium) - 510-hp, 5.0-liter V-8 (premium)			
0170	5	154-hp, 2.0-liter I-4 (regular gas)	156-hp, 2.0-liter I-4 (regular gas)	165-hp, 2.4-liter I-4 (regular gas)	173-hp, 2.4-liter I-4 (regular gas)	154-hp, 2.0-liter I-4 (regular gas) - 156-hp, 2.0-liter I-4 (regular gas) - 165-hp, 2.4-liter I-4 (regular gas) - 173-hp, 2.4-liter I-4 (regular gas)			
0171	5	154-hp, 2.0-liter I-4 (regular gas)	156-hp, 2.0-liter I-4 (regular gas)	165-hp, 2.4-liter I-4 (regular gas)	173-hp, 2.4-liter I-4 (regular gas)	154-hp, 2.0-liter I-4 (regular gas) - 156-hp, 2.0-liter I-4 (regular gas) - 165-hp, 2.4-liter I-4 (regular gas) - 173-hp, 2.4-liter I-4 (regular gas)			
0279	5	144-hp, 2.0-liter I-4 (regular gas)	148-hp, 2.0-liter I-4 (regular gas)	165-hp, 2.5-liter I-4 (regular gas)	167-hp, 2.5-liter I-4 (regular gas)	144-hp, 2.0-liter I-4 (regular gas) - 148-hp, 2.0-liter I-4 (regular gas) - 165-hp, 2.5-liter I-4 (regular gas) - 167-hp, 2.5-liter I-4 (regular gas)			
0298	5	210-hp, 3.0-liter V-6 (diesel)	268-hp, 3.5-liter V-6 (premium)	382-hp, 5.5-liter V-8 (premium)	518-hp, 6.2-liter V-8 (premium)	210-hp, 3.0-liter V-6 (diesel) - 268-hp, 3.5-liter V-6 (premium) - 382-hp, 5.5-liter V-8 (premium) - 518-hp, 6.2-liter V-8 (premium)			
0301	5	228-hp, 3.0-liter V-6 (premium)	268-hp, 3.5-liter V-6 (premium)	451-hp, 6.2-liter V-8 (premium)	481-hp, 6.2-liter V-8 (premium)	228-hp, 3.0-liter V-6 (premium) - 268-hp, 3.5-liter V-6 (premium) - 451-hp, 6.2-liter V-8 (premium) - 481-hp, 6.2-liter V-8 (premium)			
0302	5	382-hp, 5.5-liter V-8 (premium)	510-hp, 5.5-liter V-12 (premium)	518-hp, 6.2-liter V-8 (premium)	604-hp, 6.0-liter V-12 (premium)	382-hp, 5.5-liter V-8 (premium) - 510-hp, 5.5-liter V-12 (premium) - 518-hp, 6.2-liter V-8 (premium) - 604-hp, 6.0-liter V-12 (premium)			
0476	5	300-hp, 3.0-liter I-6 (premium)	320-hp, 3.0-liter I-6 (premium)	400-hp, 4.4-liter V-8 (premium)	440-hp, 4.4-liter V-8 (premium)	300-hp, 3.0-liter I-6 (premium) - 320-hp, 3.0-liter I-6 (premium) - 400-hp, 4.4-liter V-8 (premium) - 440-hp, 4.4-liter V-8 (premium)			
0519	5	236-hp, 4.0-liter V-6 (premium)	310-hp, 4.6-liter V-8 (regular gas)	381-hp, 5.7-liter V-8 (flexible; E85)	381-hp, 5.7-liter V-8 (regular gas)	236-hp, 4.0-liter V-6 (premium) - 310-hp, 4.6-liter V-8 (regular gas) - 381-hp, 5.7-liter V-8 (flexible; E85) - 381-hp, 5.7-liter V-8 (regular gas)			
0520	5	270-hp, 4.0-liter V-6 (premium)	310-hp, 4.6-liter V-8 (regular gas)	381-hp, 5.7-liter V-8 (flexible; E85)	381-hp, 5.7-liter V-8 (regular gas)	270-hp, 4.0-liter V-6 (premium) - 310-hp, 4.6-liter V-8 (regular gas) - 381-hp, 5.7-liter V-8 (flexible; E85) - 381-hp, 5.7-liter V-8 (regular gas)			
0551	5	225-hp, 3.2-liter I-6 (premium)	235-hp, 3.2-liter I-6 (premium)	281-hp, 3.0-liter I-6 (premium)	311-hp, 4.4-liter V-8 (premium)	225-hp, 3.2-liter I-6 (premium) - 235-hp, 3.2-liter I-6 (premium) - 281-hp, 3.0-liter I-6 (premium) - 311-hp, 4.4-liter V-8 (premium)			
0562	5	182-hp, 2.4-liter I-4 (regular gas)	252-hp, 3.0-liter V-6 (regular gas)	255-hp, 3.0-liter V-6 (regular gas)	280-hp, 3.6-liter V-6 (regular gas)	182-hp, 2.4-liter I-4 (regular gas) - 252-hp, 3.0-liter V-6 (regular gas) - 255-hp, 3.0-liter V-6 (regular gas) - 280-hp, 3.6-liter V-6 (regular gas)			
0598	5	430-hp, 6.2-liter V-8 (premium)	436-hp, 6.2-liter V-8 (premium)	505-hp, 7.0-liter V-8 (premium)	638-hp, 6.2-liter V-8 (premium)	430-hp, 6.2-liter V-8 (premium) - 436-hp, 6.2-liter V-8 (premium) - 505-hp, 7.0-liter V-8 (premium) - 638-hp, 6.2-liter V-8 (premium)			
0599	5	430-hp, 6.2-liter V-8 (premium)	436-hp, 6.2-liter V-8 (premium)	505-hp, 7.0-liter V-8 (premium)	638-hp, 6.2-liter V-8 (premium)	430-hp, 6.2-liter V-8 (premium) - 436-hp, 6.2-liter V-8 (premium) - 505-hp, 7.0-liter V-8 (premium) - 638-hp, 6.2-liter V-8 (premium)			
0607	5	155-hp, 2.2-liter I-4 (flexible; E85)	172-hp, 2.4-liter I-4 (flexible; E85)	250-hp, 2.0-liter I-4 (premium)	260-hp, 2.0-liter I-4 (premium)	155-hp, 2.2-liter I-4 (flexible; E85) - 172-hp, 2.4-liter I-4 (flexible; E85) - 250-hp, 2.0-liter I-4 (premium) - 260-hp, 2.0-liter I-4 (premium)			
0613	5	195-hp, 4.3-liter V-6 (regular gas)	302-hp, 4.8-liter V-8 (flexible; E85)	315-hp, 5.3-liter V-8 (flexible; E85)	403-hp, 6.2-liter V-8 (flexible; E85)	195-hp, 4.3-liter V-6 (regular gas) - 302-hp, 4.8-liter V-8 (flexible; E85) - 315-hp, 5.3-liter V-8 (flexible; E85) - 403-hp, 6.2-liter V-8 (flexible; E85)			
0614	5	195-hp, 4.3-liter V-6 (regular gas)	302-hp, 4.8-liter V-8 (flexible; E85)	326-hp, 5.3-liter V-8 (flexible; E85)	403-hp, 6.2-liter V-8 (flexible; E85)	195-hp, 4.3-liter V-6 (regular gas) - 302-hp, 4.8-liter V-8 (flexible; E85) - 326-hp, 5.3-liter V-8 (flexible; E85) - 403-hp, 6.2-liter V-8 (flexible; E85)			
0618	5	312-hp, 6.0-liter V-8 (regular gas)	322-hp, 6.0-liter V-8 (flexible; E85)	360-hp, 6.0-liter V-8 (regular gas)	365-hp, 6.6-liter V-8 (diesel)	312-hp, 6.0-liter V-8 (regular gas) - 322-hp, 6.0-liter V-8 (flexible; E85) - 360-hp, 6.0-liter V-8 (regular gas) - 365-hp, 6.6-liter V-8 (diesel)			
0640	5	250-hp, 3.5-liter V-6 (regular gas)	372-hp, 5.7-liter V-8 (regular gas)	376-hp, 5.7-liter V-8 (premium)	425-hp, 6.1-liter V-8 (premium)	250-hp, 3.5-liter V-6 (regular gas) - 372-hp, 5.7-liter V-8 (regular gas) - 376-hp, 5.7-liter V-8 (premium) - 425-hp, 6.1-liter V-8 (premium)			
0024	4	316-hp, 6.2-liter V-8 (flexible; E85)	385-hp, 6.2-liter V-8 (flexible; E85)	400-hp, 6.7-liter V-8 (diesel)	316-hp, 6.2-liter V-8 (flexible; E85) - 385-hp, 6.2-liter V-8 (flexible; E85) - 400-hp, 6.7-liter V-8 (diesel)				
0026	4	175-hp, 2.5-liter I-4 (regular gas)	240-hp, 3.0-liter V-6 (flexible; E85)	263-hp, 3.5-liter V-6 (regular gas)	175-hp, 2.5-liter I-4 (regular gas) - 240-hp, 3.0-liter V-6 (flexible; E85) - 263-hp, 3.5-liter V-6 (regular gas)				
0034	4	235-hp, 6.0-liter V-8 (diesel)	255-hp, 5.4-liter V-8 (flexible; E85)	305-hp, 6.8-liter V-10 (regular gas)	235-hp, 6.0-liter V-8 (diesel) - 255-hp, 5.4-liter V-8 (flexible; E85) - 305-hp, 6.8-liter V-10 (regular gas)				
0035	4	255-hp, 5.4-liter V-8 (flexible; E85)	255-hp, 5.4-liter V-8 (regular gas)	305-hp, 6.8-liter V-10 (regular gas)	255-hp, 5.4-liter V-8 (flexible; E85) - 255-hp, 5.4-liter V-8 (regular gas) - 305-hp, 6.8-liter V-10 (regular gas)				
0049	4	300-hp, 5.4-liter V-8 (regular gas)	350-hp, 6.4-liter V-8 (diesel)	362-hp, 6.8-liter V-10 (regular gas)	300-hp, 5.4-liter V-8 (regular gas) - 350-hp, 6.4-liter V-8 (diesel) - 362-hp, 6.8-liter V-10 (regular gas)				
0050	4	300-hp, 5.4-liter V-8 (regular gas)	350-hp, 6.4-liter V-8 (diesel)	362-hp, 6.8-liter V-10 (regular gas)	300-hp, 5.4-liter V-8 (regular gas) - 350-hp, 6.4-liter V-8 (diesel) - 362-hp, 6.8-liter V-10 (regular gas)				
0054	4	132-hp, 2.0-liter I-4 (regular gas)	140-hp, 2.0-liter I-4 (regular gas)	143-hp, 2.0-liter I-4 (regular gas)	132-hp, 2.0-liter I-4 (regular gas) - 140-hp, 2.0-liter I-4 (regular gas) - 143-hp, 2.0-liter I-4 (regular gas)				
0056	4	175-hp, 2.5-liter I-4 (regular gas)	240-hp, 3.0-liter V-6 (flexible; E85)	263-hp, 3.5-liter V-6 (regular gas)	175-hp, 2.5-liter I-4 (regular gas) - 240-hp, 3.0-liter V-6 (flexible; E85) - 263-hp, 3.5-liter V-6 (regular gas)				
0063	4	335-hp, 6.6-liter V-8 (diesel)	360-hp, 6.0-liter V-8 (regular gas)	397-hp, 6.6-liter V-8 (diesel)	335-hp, 6.6-liter V-8 (diesel) - 360-hp, 6.0-liter V-8 (regular gas) - 397-hp, 6.6-liter V-8 (diesel)				
0067	4	185-hp, 2.9-liter I-4 (regular gas)	242-hp, 3.7-liter I-5 (regular gas)	300-hp, 5.3-liter V-8 (flexible; E85)	185-hp, 2.9-liter I-4 (regular gas) - 242-hp, 3.7-liter I-5 (regular gas) - 300-hp, 5.3-liter V-8 (flexible; E85)				
0068	4	185-hp, 2.9-liter I-4 (regular gas)	242-hp, 3.7-liter I-5 (regular gas)	300-hp, 5.3-liter V-8 (flexible; E85)	185-hp, 2.9-liter I-4 (regular gas) - 242-hp, 3.7-liter I-5 (regular gas) - 300-hp, 5.3-liter V-8 (flexible; E85)				
0071	4	250-hp, 6.6-liter V-8 (diesel)	280-hp, 4.8-liter V-8 (flexible; E85)	323-hp, 6.0-liter V-8 (flexible; E85)	250-hp, 6.6-liter V-8 (diesel) - 280-hp, 4.8-liter V-8 (flexible; E85) - 323-hp, 6.0-liter V-8 (flexible; E85)				
0072	4	260-hp, 6.6-liter V-8 (diesel)	280-hp, 4.8-liter V-8 (flexible; E85)	324-hp, 6.0-liter V-8 (flexible; E85)	260-hp, 6.6-liter V-8 (diesel) - 280-hp, 4.8-liter V-8 (flexible; E85) - 324-hp, 6.0-liter V-8 (flexible; E85)				
0073	4	250-hp, 6.6-liter V-8 (diesel)	280-hp, 4.8-liter V-8 (flexible; E85)	323-hp, 6.0-liter V-8 (flexible; E85)	250-hp, 6.6-liter V-8 (diesel) - 280-hp, 4.8-liter V-8 (flexible; E85) - 323-hp, 6.0-liter V-8 (flexible; E85)				
0074	4	260-hp, 6.6-liter V-8 (diesel)	280-hp, 4.8-liter V-8 (flexible; E85)	324-hp, 6.0-liter V-8 (flexible; E85)	260-hp, 6.6-liter V-8 (diesel) - 280-hp, 4.8-liter V-8 (flexible; E85) - 324-hp, 6.0-liter V-8 (flexible; E85)				
0079	4	312-hp, 6.0-liter V-8 (regular gas)	360-hp, 6.0-liter V-8 (regular gas)	365-hp, 6.6-liter V-8 (diesel)	312-hp, 6.0-liter V-8 (regular gas) - 360-hp, 6.0-liter V-8 (regular gas) - 365-hp, 6.6-liter V-8 (diesel)				
0081	4	182-hp, 2.4-liter I-4 (regular gas)	264-hp, 3.0-liter V-6 (flexible; E85)	264-hp, 3.0-liter V-6 (regular gas)	182-hp, 2.4-liter I-4 (regular gas) - 264-hp, 3.0-liter V-6 (flexible; E85) - 264-hp, 3.0-liter V-6 (regular gas)				
0086	4	320-hp, 5.3-liter V-8 (flexible; E85)	395-hp, 6.2-liter V-8 (flexible; E85)	403-hp, 6.2-liter V-8 (flexible; E85)	320-hp, 5.3-liter V-8 (flexible; E85) - 395-hp, 6.2-liter V-8 (flexible; E85) - 403-hp, 6.2-liter V-8 (flexible; E85)				
0092	4	177-hp, 2.4-liter I-4 (regular gas)	190-hp, 2.4-liter I-4 (regular gas)	271-hp, 3.5-liter V-6 (regular gas)	177-hp, 2.4-liter I-4 (regular gas) - 190-hp, 2.4-liter I-4 (regular gas) - 271-hp, 3.5-liter V-6 (regular gas)				
0093	4	177-hp, 2.4-liter I-4 (regular gas)	190-hp, 2.4-liter I-4 (regular gas)	271-hp, 3.5-liter V-6 (regular gas)	177-hp, 2.4-liter I-4 (regular gas) - 190-hp, 2.4-liter I-4 (regular gas) - 271-hp, 3.5-liter V-6 (regular gas)				
0094	4	113-hp, 1.8-liter I-4 (natural gas)	140-hp, 1.8-liter I-4 (regular gas)	197-hp, 2.0-liter I-4 (premium)	113-hp, 1.8-liter I-4 (natural gas) - 140-hp, 1.8-liter I-4 (regular gas) - 197-hp, 2.0-liter I-4 (premium)				
0126	4	168-hp, 2.4-liter I-4 (regular gas)	175-hp, 2.4-liter I-4 (regular gas)	249-hp, 3.3-liter V-6 (regular gas)	168-hp, 2.4-liter I-4 (regular gas) - 175-hp, 2.4-liter I-4 (regular gas) - 249-hp, 3.3-liter V-6 (regular gas)				
0128	4	165-hp, 2.0-liter I-4 (regular gas)	170-hp, 2.4-liter I-4 (regular gas)	176-hp, 2.4-liter I-4 (regular gas)	165-hp, 2.0-liter I-4 (regular gas) - 170-hp, 2.4-liter I-4 (regular gas) - 176-hp, 2.4-liter I-4 (regular gas)				
0132	4	325-hp, 3.7-liter V-6 (premium)	328-hp, 3.7-liter V-6 (premium)	330-hp, 3.7-liter V-6 (premium)	325-hp, 3.7-liter V-6 (premium) - 328-hp, 3.7-liter V-6 (premium) - 330-hp, 3.7-liter V-6 (premium)				
0142	4	325-hp, 3.7-liter V-6 (premium)	328-hp, 3.7-liter V-6 (premium)	330-hp, 3.7-liter V-6 (premium)	325-hp, 3.7-liter V-6 (premium) - 328-hp, 3.7-liter V-6 (premium) - 330-hp, 3.7-liter V-6 (premium)				
0147	4	385-hp, 5.0-liter V-8 (premium)	470-hp, 5.0-liter V-8 (premium)	510-hp, 5.0-liter V-8 (premium)	385-hp, 5.0-liter V-8 (premium) - 470-hp, 5.0-liter V-8 (premium) - 510-hp, 5.0-liter V-8 (premium)				
0148	4	385-hp, 5.0-liter V-8 (premium)	470-hp, 5.0-liter V-8 (premium)	510-hp, 5.0-liter V-8 (premium)	385-hp, 5.0-liter V-8 (premium) - 470-hp, 5.0-liter V-8 (premium) - 510-hp, 5.0-liter V-8 (premium)				
0149	4	385-hp, 5.0-liter V-8 (premium)	470-hp, 5.0-liter V-8 (premium)	510-hp, 5.0-liter V-8 (premium)	385-hp, 5.0-liter V-8 (premium) - 470-hp, 5.0-liter V-8 (premium) - 510-hp, 5.0-liter V-8 (premium)				
0155	4	210-hp, 3.7-liter V-6 (regular gas)	357-hp, 5.7-liter V-8 (regular gas)	420-hp, 6.1-liter V-8 (premium)	210-hp, 3.7-liter V-6 (regular gas) - 357-hp, 5.7-liter V-8 (regular gas) - 420-hp, 6.1-liter V-8 (premium)				
0167	4	192-hp, 2.4-liter I-4 (regular gas)	200-hp, 2.4-liter I-4 (regular gas)	274-hp, 2.0-liter I-4 (regular gas)	192-hp, 2.4-liter I-4 (regular gas) - 200-hp, 2.4-liter I-4 (regular gas) - 274-hp, 2.0-liter I-4 (regular gas)				
0183	4	221-hp, 3.0-liter V-6 (diesel)	280-hp, 3.6-liter V-6 (premium)	350-hp, 4.2-liter V-8 (premium)	221-hp, 3.0-liter V-6 (diesel) - 280-hp, 3.6-liter V-6 (premium) - 350-hp, 4.2-liter V-8 (premium)				
0194	4	265-hp, 3.2-liter V-6 (premium)	300-hp, 3.0-liter V-6 (premium)	350-hp, 4.2-liter V-8 (premium)	265-hp, 3.2-liter V-6 (premium) - 300-hp, 3.0-liter V-6 (premium) - 350-hp, 4.2-liter V-8 (premium)				
0199	4	225-hp, 3.0-liter V-6 (diesel)	272-hp, 3.0-liter V-6 (premium)	333-hp, 3.0-liter V-6 (premium)	225-hp, 3.0-liter V-6 (diesel) - 272-hp, 3.0-liter V-6 (premium) - 333-hp, 3.0-liter V-6 (premium)				
0209	4	543-hp, 5.2-liter V-10 (premium)	552-hp, 5.2-liter V-10 (premium)	562-hp, 5.2-liter V-10 (premium)	543-hp, 5.2-liter V-10 (premium) - 552-hp, 5.2-liter V-10 (premium) - 562-hp, 5.2-liter V-10 (premium)				
0270	4	400-hp, 4.2-liter V-8 (premium)	425-hp, 4.7-liter V-8 (premium)	433-hp, 4.7-liter V-8 (premium)	400-hp, 4.2-liter V-8 (premium) - 425-hp, 4.7-liter V-8 (premium) - 433-hp, 4.7-liter V-8 (premium)				
0272	4	543-hp, 5.5-liter V-12 (premium)	604-hp, 6.0-liter V-12 (premium)	631-hp, 6.0-liter V-12 (premium)	543-hp, 5.5-liter V-12 (premium) - 604-hp, 6.0-liter V-12 (premium) - 631-hp, 6.0-liter V-12 (premium)				
0274	4	543-hp, 5.5-liter V-12 (premium)	604-hp, 6.0-liter V-12 (premium)	631-hp, 6.0-liter V-12 (premium)	543-hp, 5.5-liter V-12 (premium) - 604-hp, 6.0-liter V-12 (premium) - 631-hp, 6.0-liter V-12 (premium)				
0285	4	168-hp, 2.5-liter I-4 (regular gas)	170-hp, 2.5-liter I-4 (regular gas)	272-hp, 3.7-liter V-6 (regular gas)	168-hp, 2.5-liter I-4 (regular gas) - 170-hp, 2.5-liter I-4 (regular gas) - 272-hp, 3.7-liter V-6 (regular gas)				
0286	4	168-hp, 2.5-liter I-4 (regular gas)	170-hp, 2.5-liter I-4 (regular gas)	272-hp, 3.7-liter V-6 (regular gas)	168-hp, 2.5-liter I-4 (regular gas) - 170-hp, 2.5-liter I-4 (regular gas) - 272-hp, 3.7-liter V-6 (regular gas)				
0297	4	268-hp, 3.5-liter V-6 (premium)	382-hp, 5.5-liter V-8 (premium)	518-hp, 6.2-liter V-8 (premium)	268-hp, 3.5-liter V-6 (premium) - 382-hp, 5.5-liter V-8 (premium) - 518-hp, 6.2-liter V-8 (premium)				
0308	4	210-hp, 3.0-liter V-6 (diesel)	335-hp, 4.6-liter V-8 (premium)	382-hp, 5.5-liter V-8 (premium)	210-hp, 3.0-liter V-6 (diesel) - 335-hp, 4.6-liter V-8 (premium) - 382-hp, 5.5-liter V-8 (premium)				
