url,pob,name,team,dob,height,weight,web
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191787.html,Austrian,Rene Binder,Venezuela GP Lazarus,01/01/1992,,,http://www.rene-binder.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191788.html,American,Alexander Rossi,EQ8 Caterham Racing,25/09/1991,186 cm,70 kg,http://www.AlexanderRossi.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191789.html,Swedish,Marcus Ericsson,DAMS,02/09/1990,174 cm,64 kg,http://www.marcusericsson.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191790.html,Indonesian,Rio Haryanto,Barwa Addax Team,22/01/1993,170 cm,58 kg,http://www.rioharyanto.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191792.html,British,Sam Bird,RUSSIAN TIME,09/01/1987,160 cm,68 kg,http://www.sambird.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191793.html,Venezuelan,Johnny Cecotto,Arden International,09/09/1989,174 cm,65.5 kg,http://www.cecotto.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191794.html,New Zealander,Mitch Evans,Arden International,24/06/1994,174 cm,62 kg,http://www.mitchevans.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191795.html,Swiss,Fabio Leimer,Racing Engineering,17/04/1989,169 cm,62.5 kg,http://www.fabioleimer.ch
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191797.html,Dutch,Daniel De Jong,MP Motorsport,09/07/1992,182 cm,75 kg,http://www.danieldejong.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191798.html,Italian,Vittorio Ghirelli,Venezuela GP Lazarus,09/05/1994,175 cm,74 kg,http://www.vittorioghirelli.com/
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191799.html,American,Jake Rosenzweig,Barwa Addax Team,14/04/1989,n/a cm,n/a kg,http://jwrracing.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191800.html,French,Nathanaël Berthon,Trident Racing,01/07/1989,187 cm,73 kg,http://www.nathanaelberthon.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191804.html,Spanish,Sergio Canamasas,EQ8 Caterham Racing,30/04/1988,,,http://www.sergiocanamasas.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/196216.html,Mexican,Esteban Gutiérrez,Lotus GP,05/08/1991,183 cm,55 kg,http://www.estebangtz.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/196217.html,Brazilian,Luiz Razia,Arden International,04/04/1989,180 cm,73 kg,http://www.luizrazia.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/196218.html,Italian,Davide Valsecchi,DAMS,24/01/1987,173 cm,70 kg,http://www.davidevalsecchi.it
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/196219.html,Dutch,Giedo Van Der Garde,Caterham Racing,25/04/1985,182 cm,73 kg,http://www.giedovandergarde.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/196220.html,British,Max Chilton,Carlin,21/04/1991,181 cm,63.5 kg,http://www.maxchilton.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/196221.html,Czech,Josef Král,Barwa Addax Team,15/06/1990,182 cm,72 kg,http://www.josefkral.cz
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/196222.html,Italian,Luca Filippi ,,09/08/1985,177 cm,66 kg,http://www.lucafilippi.com/
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/196223.html,French,Romain Grosjean,DAMS,17/04/1986,175 cm,65 kg,http://www.romaingrosjean.com
