url,team,name,pob,dob
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172711.html,Trident Racing,Sandy Stuvik,Thailand,11 April 1995 (21)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172729.html,Red Bull Racing,Daniel Ricciardo,Australia,1 July 1989 (27)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172739.html,Rapax,Arthur Pic,France,5 October 1991 (24)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172759.html,Arden,Jake Dennis,Great Britain,30 June 1995 (21)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172762.html,Ajo Motorsport,Johann Zarco,France,16 July 1990 (26)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172792.html,Polestar Racing,Fredrik Ekblom,Sweden,6 October 1970 (45)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172885.html,Ed Carpenter Racing,Josef Newgarden,United States,22 December 1990 (25)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172892.html,Stop And Go Racing Team,Luis Salom,Spain,7 August 1991
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172899.html,Renault,Nicholas Latifi,Canada,29 June 1995 (21)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172906.html,MP Motorsport,Oliver Rowland,Great Britain,10 August 1992 (24)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172913.html,ART Grand Prix,Charles Leclerc,Monaco,16 October 1997 (18)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172920.html,Arden,Tatiana Calderon,Colombia,10 March 1993 (23)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172926.html,Husqvarna Factory Laglisse,Lorenzo Dalla Porta,Italy,22 June 1997 (19)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172928.html,Montaze Broz Racing Team,Anthony West,Australia,17 July 1981 (35)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172933.html,Ambrogio Racing,Marcos Ramirez,Spain,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172972.html,Interwetten Paddock,Dominique Aegerter,Switzerland,30 September 1990 (25)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173000.html,Williams,Lance Stroll,Canada,29 October 1998 (17)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173010.html,HWA Team,Daniel Juncadella,Spain,7 May 1991 (25)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173019.html,Kiefer Racing,Danny Kent,Great Britain,25 November 1993 (22)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173034.html,Sky Racing Team VR46,Andrea Migno,Italy,10 January 1996 (20)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173035.html,Honda Racing Team JAS,Robert Huff,United Kingdom,25 December 1979 (36)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173048.html,Interwetten Paddock,Iker Lecuona,Spain,6 January 2000 (16)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173059.html,Mücke Motorsport,Lucas Auer,Austria,11 September 1994 (21)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173068.html,Prema,Antonio Giovinazzi,Italy,14 December 1993 (22)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173075.html,Audi Sport Team Rosberg,Adrien Tambay,France,25 February 1991 (25)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173095.html,HP Tuenti 40,Alex Rins,Spain,8 December 1995 (20)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173101.html,KVSH Racing,Rubens Barrichello,Brazil,23 May 1972 (44)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173163.html,Marc VDS Racing Team,Alex Marquez,Spain,23 April 1996 (20)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173180.html,RW Racing GP,Livio Loi,Belgium,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173189.html,Campos Racing,Alex Palou,Spain,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173196.html,Estrella Galicia 0'0,Jorge Navarro,Spain,3 February 1996 (20)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173198.html,BMW Team MTEK,Augusto Farfus,Brazil,9 March 1983 (33)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173199.html,ART Grand Prix,Rene Binder,Austria,1 January 1992 (24)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173215.html,Chip Ganassi Racing,Max Chilton,United Kingdom,21 April 1991 (25)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173268.html,Red Bull Racing,Max Verstappen,Netherlands,30 September 1997 (18)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173275.html,Prema Powerteam,Nick Cassidy,New Zealand,19 August 1994 (22)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173302.html,Mahindra Racing,Jorge Martin,Spain,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173318.html,Carlin,Sergio Canamasas,Spain,3 April 1986 (30)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173341.html,Renault,Heikki Kovalainen,Finland,19 October 1981 (34)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173378.html,Gresini Racing,Enea Bastianini,Italy,30 December 1997 (18)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173393.html,ART Grand Prix,Nobuharu Matsushita,Japan,13 October 1993 (22)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173404.html,Scuderia Toro Rosso,Daniil Kvyat,Russia,26 April 1994 (22)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173426.html,Arden International,Nabil Jeffri,Malaysia,24 October 1993 (22)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173486.html,Tech 3 Racing,Xavi Vierge,Spain,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173515.html,Arginano Racing Team,Axel Pons,Spain,19 April 1991 (25)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173541.html,Prema Powerteam,Maximilian Günther,Germany,7 February 1997 (19)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173589.html,Zengo Motorsport,Ferenc Ficza,Hungary,13 May 1996 (20)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173596.html,Ferrari,Maurizio Arrivabene,Italy,7 March 1957 (59)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173608.html,Manor Racing,Pascal Wehrlein,Germany,18 October 1994 (21)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173624.html,Jaguar Formula E Team,Alex Lynn,Great Britain,17 September 1993 (22)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173644.html,Haas F1,Romain Grosjean,France,17 April 1986 (30)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173645.html,Petronas Malaysia,Hafizh Syarhin,Malaysia,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173664.html,Lotus Racing Junior,Roy Nissany,Israel,30 November 1994 (21)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173668.html,BMW Team RMG,Marco Wittmann,Germany,24 November 1989 (26)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173673.html,Motopark Academy,Sergio Sette Camara,Brazil,23 May 1998 (18)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173685.html,Octo Pramac Yakhnich,Scott Redding,United Kingdom,4 January 1993 (23)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173733.html,DS Virgin Racing,Jose Maria López,Argentina,21 February 1982 (34)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173748.html,Mücke Motorsport,Mikkel Jensen,Denmark,31 December 1994 (21)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173749.html,Avintia Racing,Michele Pirro,Italy,5 July 1986 (30)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173753.html,Campos,Sean Gelael,Indonesia,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173754.html,Audi Sport Team Abt Sportsline,Mattias Ekström,Sweden,14 July 1978 (38)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173758.html,Italtrans Racing Team,Federico Fuligni,Italy,1 June 1995 (21)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173771.html,Mahindra Racing,Marco Bezzecchi,Italy,12 November 1998 (17)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173773.html,"Estrella Galicia 0,0 Marc VDS",Esteve Rabat,Spain,25 May 1989 (27)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173785.html,Jenzer Motorsport,Oscar Tunjo,Colombia,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173809.html,Leopard Racing,Joan Mir,Spain,1 September 1997 (19)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173811.html,Force India F1,Sergio Perez,Mexico,26 December 1989 (26)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173855.html,ART Grand Prix,Alex Albon,Great Britain,23 March 1996 (20)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173860.html,Caterham Moto Racing Team,Adam Norrodin,Malaysia,13 June 1998 (18)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173879.html,JPM Malaysia,Ricard Cardus,Spain,18 March 1988 (28)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173888.html,Trident Racing,Luca Ghiotto,Italy,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173898.html,RP Motorsport,Artur Janosz,Poland,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173899.html,Arden International,Jimmy Eriksson,Sweden,14 March 1991 (25)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173909.html,Zengo Motorsport,Daniel Nagy,Hungary,9 April 1998 (18)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173916.html,Russian Time,Raffaele Marciello,Italy,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173937.html,Aprilia Racing,Álvaro Bautista,Spain,21 November 1984 (31)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173997.html,AV Formula,Tom Dillmann,France,6 April 1989 (27)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174006.html,Prema Powerteam,Ralf Aron,Estonia,21 March 1998 (18)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174014.html,Idemitsu Honda Team Asia,Ratthapark Wilairot,Thailand,14 April 1988 (28)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174044.html,Red Bull Racing,Helmut Marko,Austria,27 April 1943 (73)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174079.html,Caterham Moto Racing Team,Jakub Kornfeil,Czech Republic,8 April 1993 (23)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174097.html,SaxoPrint-RTG,Albert Arenas,Spain,11 December 1996 (19)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174116.html,Freudenberg Racing Team,Tim Georgi,Germany,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174152.html,SaxoPrint-RTG,John McPhee,Great Britain,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174198.html,Carlin,Zhicong Li,China,25 August 1993 (23)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174244.html,Mücke Motorsport,David Beckmann,Germany,27 April 2000 (16)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174254.html,ART Grand Prix,Gary Paffett,United Kingdom,24 March 1981 (35)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174260.html,Carlin,Weiron Tan,Malaysia,3 December 1994 (21)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174344.html,Interwetten Paddock,Robin Mulhauser,Switzerland,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174384.html,Avintia Racing,Loris Baz,France,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174410.html,Renault e.Dams,Sébastien Buemi,Switzerland,31 October 1988 (27)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174415.html,Mahindra Racing Formula E Team,Bruno Senna,Brazil,15 October 1983 (32)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174427.html,Van Amersfoort Racing,Pedro Piquet,Brazil,3 July 1998 (18)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174437.html,Force India F1,Alfonso Celis,Mexico,18 September 1996 (19)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174445.html,Sky Racing Team VR46,Nicolò Bulega,Italy,16 October 1999 (16)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174460.html,Repsol Honda Team,Marc Marquez,Spain,17 February 1993 (23)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174465.html,Manor Racing,Alexander Rossi,United States,25 September 1991 (24)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174473.html,Ambrogio Racing,Darryn Binder,South Africa,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174507.html,MP Motorsport,Daniel de Jong,Netherlands,9 July 1992 (24)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174514.html,Audi Sport Team Phoenix,Timo Scheider,Germany,10 November 1978 (37)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174526.html,Estrella Galicia 0'0,Aron Canet,Spain,30 September 1999 (16)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174544.html,Force India F1,Nikita Mazepin,Russia,2 March 1999 (17)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174554.html,Aprilia Racing,Stefan Bradl,Germany,29 November 1989 (26)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174593.html,Chip Ganassi Racing,Scott Dixon,New Zealand,22 July 1980 (36)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174595.html,Carlin,Raoul Hyman,South Africa,12 May 1996 (20)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174605.html,Audi Sport Team Abt Sportsline,Nico Muller,Switzerland,25 February 1992 (24)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174619.html,Husqvarna Factory Laglisse,Maria Herrera,Spain,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174621.html,Mücke Motorsport,Christian Vietoris,Germany,1 April 1989 (27)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174625.html,CIP,Tatsuki Suzuki,Japan,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174629.html,Rapax,Gustav Malja,Sweden,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174633.html,HitechGP,George Russell,United Kingdom,15 February 1998 (18)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174662.html,HWA Team,Maximillian Gotz,Germany,4 February 1986 (30)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174665.html,Italtrans Racing Team,Mattia Pasini,Italy,13 August 1985 (31)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174668.html,Gresini Racing,Fabio Di Giannantonio,Italy,10 October 1998 (17)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174745.html,Haas F1,Esteban Gutiérrez,Mexico,5 August 1991 (25)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174752.html,Ioda Racing Project,Efrén Vazquez Vazquez,Spain,2 September 1986 (30)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174758.html,Lada Sport,Nick Catsburg,Netherlands,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174771.html,Citroën Racing,Yvan Muller,France,16 August 1969 (47)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174788.html,Carlin,Marvin Kirchhofer,Germany,19 March 1994 (22)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174820.html,Sebastien Loeb Racing,Tom Chilton,Great Britain,15 March 1985 (31)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174821.html,Renault,Kevin Magnussen,Denmark,5 October 1992 (23)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174867.html,Williams,Paul di Resta,United Kingdom,16 April 1986 (30)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174869.html,HWA Team,Robert Wickens,Canada,13 March 1989 (27)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174925.html,"Estrella Galicia 0,0 Marc VDS",Jack Miller,Australia,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174934.html,SaxoPrint-RTG,Maximilian Kappler,Germany,1 October 1997 (18)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174943.html,Force India F1,Nico Hülkenberg,Germany,19 August 1987 (29)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174944.html,Marc VDS Racing Team,Franco Morbidelli,Italy,12 April 1994 (22)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174952.html,Mahindra Racing,Fabio Spiranelli,Italy,5 December 1999 (16)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174954.html,Ferrari,Jules Bianchi,France,3 August 1989
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174967.html,Tech 3 Racing,Isaac Vinales,Spain,6 November 1993 (22)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174982.html,ART Grand Prix,Nyck de Vries,Netherlands,6 February 1995 (21)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1174996.html,Audi Sport Team Abt Sportsline,Edoardo Mortara,Italy,12 January 1987 (29)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1175002.html,Jenzer Motorsport,Akash Nandy,Malaysia,10 January 1997 (19)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1175006.html,Caterham,Kamui Kobayashi,Japan,13 September 1986 (29)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1175036.html,DAMS,Jake Hughes,United Kingdom,30 May 1994 (22)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1175040.html,Mahindra Racing Formula E Team,Felix Rosenqvist,Sweden,7 November 1991 (24)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1175041.html,Italtrans Racing Team,Remy Gardner,Australia,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1175047.html,Koiranen Motorsport,Matt Parry,United Kingdom,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1175079.html,Carlin,Alessio Lorandi,Italy,8 September 1998 (17)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1175081.html,Sauber,Felipe Nasr,Brazil,21 August 1992 (24)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1175083.html,Honda Racing Team JAS,Norbert Michelisz,Hungary,8 August 1984 (32)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1175109.html,QMMF Racing Team,Xavier Simeon,Belgium,31 August 1989 (27)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1175115.html,Manor Racing,Esteban Ocon,France,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1175123.html,BMW Team RBM,Tom Blomqvist,Great Britain,30 November 1993 (22)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1175135.html,Arden,Jack Aitken,United Kingdom,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1175141.html,Tasca Racing,Alessandro Tonucci,Italy,23 April 1993 (23)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1175147.html,TT Motion,Philipp Oettl,Germany,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1175156.html,HitechGP,Ben Barnicoat,United Kingdom,20 December 1996 (19)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1175162.html,Leopard Racing,Andrea Locatelli,Italy,16 October 1996 (19)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1175179.html,Koiranen Motorsport,Matevos Isaakyan,Russia,17 April 1998 (18)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1175193.html,Jaguar Formula E Team,Mitchell Evans,New Zealand,24 June 1994 (22)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1175223.html,Ambrogio Racing,Danny Webb,United Kingdom,22 March 1991 (25)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1175246.html,Tech 3,Pol Espargaro,Spain,10 June 1991 (25)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1175256.html,SaxoPrint-RTG,Alexis Masbou,France,2 June 1987 (29)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1175315.html,Tech 3,Bradley Smith,United Kingdom,28 November 1990 (25)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1175324.html,Renault,Sergey Sirotkin,Russia,27 August 1995 (21)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1175337.html,Koiranen Motorsport,Niko Kari,Finland,6 October 1999 (16)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1175345.html,Motopark Academy,Guan Yu Zhou,China,30 May 1999 (17)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1175351.html,Trident Racing,Giuliano Alesi,France,20 September 1999 (16)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1175376.html,Ducati Team,Andrea Iannone,Italy,9 August 1989 (27)
