nbaplayer	slam	team	
0109	2	Denver Nuggets	#6 - Denver Nuggets
0110	2	Denver Nuggets	#6 - Denver Nuggets
0111	2	Denver Nuggets	#6 - Denver Nuggets
0112	2	Denver Nuggets	#6 - Denver Nuggets
0113	2	Denver Nuggets	#6 - Denver Nuggets
0114	2	Denver Nuggets	#6 - Denver Nuggets
0115	2	Denver Nuggets	#6 - Denver Nuggets
0116	2	Minnesota Timberwolves	#31 - Minnesota Timberwolves
0117	2	Minnesota Timberwolves	#31 - Minnesota Timberwolves
0118	2	Minnesota Timberwolves	#31 - Minnesota Timberwolves
0119	2	Minnesota Timberwolves	#31 - Minnesota Timberwolves
0120	2	Minnesota Timberwolves	#31 - Minnesota Timberwolves
0121	2	Minnesota Timberwolves	#31 - Minnesota Timberwolves
0122	2	Minnesota Timberwolves	#31 - Minnesota Timberwolves
0123	2	Minnesota Timberwolves	#31 - Minnesota Timberwolves
0124	2	Minnesota Timberwolves	#31 - Minnesota Timberwolves
0125	2	Minnesota Timberwolves	#31 - Minnesota Timberwolves
0126	2	Minnesota Timberwolves	#31 - Minnesota Timberwolves
0127	2	Minnesota Timberwolves	#31 - Minnesota Timberwolves
0128	2	Minnesota Timberwolves	#31 - Minnesota Timberwolves
0129	2	Minnesota Timberwolves	#31 - Minnesota Timberwolves
0130	2	Oklahoma City Thunder	#4 - Oklahoma City Thunder
0131	2	Oklahoma City Thunder	#4 - Oklahoma City Thunder
0132	2	Oklahoma City Thunder	#4 - Oklahoma City Thunder
0133	2	Oklahoma City Thunder	#4 - Oklahoma City Thunder
0134	2	Oklahoma City Thunder	#4 - Oklahoma City Thunder
0135	2	Oklahoma City Thunder	#4 - Oklahoma City Thunder
0136	2	Oklahoma City Thunder	#4 - Oklahoma City Thunder
0137	2	Oklahoma City Thunder	#4 - Oklahoma City Thunder
0138	2	Oklahoma City Thunder	#4 - Oklahoma City Thunder
0139	2	Oklahoma City Thunder	#4 - Oklahoma City Thunder
0140	2	Oklahoma City Thunder	#4 - Oklahoma City Thunder
0141	2	Oklahoma City Thunder	#4 - Oklahoma City Thunder
0142	2	Oklahoma City Thunder	#4 - Oklahoma City Thunder
0143	2	Oklahoma City Thunder	#4 - Oklahoma City Thunder
0144	2	Portland Trail Blazers	#12 - Portland Trail Blazers
0145	2	Portland Trail Blazers	#12 - Portland Trail Blazers
0146	2	Portland Trail Blazers	#12 - Portland Trail Blazers
0147	2	Portland Trail Blazers	#12 - Portland Trail Blazers
0148	2	Portland Trail Blazers	#12 - Portland Trail Blazers
0149	2	Portland Trail Blazers	#12 - Portland Trail Blazers
0150	2	Portland Trail Blazers	#12 - Portland Trail Blazers
0151	2	Portland Trail Blazers	#12 - Portland Trail Blazers
0152	2	Portland Trail Blazers	#12 - Portland Trail Blazers
0153	2	Portland Trail Blazers	#12 - Portland Trail Blazers
0154	2	Portland Trail Blazers	#12 - Portland Trail Blazers
0155	2	Portland Trail Blazers	#12 - Portland Trail Blazers
0156	2	Portland Trail Blazers	#12 - Portland Trail Blazers
0157	2	Portland Trail Blazers	#12 - Portland Trail Blazers
0158	2	Portland Trail Blazers	#12 - Portland Trail Blazers
0159	2	Utah Jazz	#19 - Utah Jazz
0160	2	Utah Jazz	#19 - Utah Jazz
0161	2	Utah Jazz	#19 - Utah Jazz
0162	2	Utah Jazz	#19 - Utah Jazz
0163	2	Utah Jazz	#19 - Utah Jazz
0164	2	Utah Jazz	#19 - Utah Jazz
0165	2	Utah Jazz	#19 - Utah Jazz
0166	2	Utah Jazz	#19 - Utah Jazz
0167	2	Utah Jazz	#19 - Utah Jazz
0168	2	Utah Jazz	#19 - Utah Jazz
0169	2	Utah Jazz	#19 - Utah Jazz
0170	2	Utah Jazz	#19 - Utah Jazz
0171	2	Utah Jazz	#19 - Utah Jazz
0172	2	New York Knicks	#7 - New York Knicks
0173	2	New York Knicks	#7 - New York Knicks
0174	2	New York Knicks	#7 - New York Knicks
0175	2	New York Knicks	#7 - New York Knicks
0176	2	New York Knicks	#7 - New York Knicks
0177	2	New York Knicks	#7 - New York Knicks
0178	2	New York Knicks	#7 - New York Knicks
0179	2	New York Knicks	#7 - New York Knicks
0180	2	New York Knicks	#7 - New York Knicks
0181	2	New York Knicks	#7 - New York Knicks
0182	2	New York Knicks	#7 - New York Knicks
0183	2	New York Knicks	#7 - New York Knicks
0184	2	New York Knicks	#7 - New York Knicks
0185	2	New York Knicks	#7 - New York Knicks
0186	2	New York Knicks	#7 - New York Knicks
0187	2	Golden State Warriors	#4 - Golden State Warriors
0188	2	Golden State Warriors	#4 - Golden State Warriors
0189	2	Golden State Warriors	#4 - Golden State Warriors
0190	2	Golden State Warriors	#4 - Golden State Warriors
0191	2	Golden State Warriors	#4 - Golden State Warriors
0192	2	Golden State Warriors	#4 - Golden State Warriors
0193	2	Golden State Warriors	#4 - Golden State Warriors
0194	2	Golden State Warriors	#4 - Golden State Warriors
0195	2	Golden State Warriors	#4 - Golden State Warriors
0196	2	Golden State Warriors	#4 - Golden State Warriors
0197	2	Golden State Warriors	#4 - Golden State Warriors
0198	2	Golden State Warriors	#4 - Golden State Warriors
0199	2	Golden State Warriors	#4 - Golden State Warriors
0200	2	Golden State Warriors	#4 - Golden State Warriors
0201	2	Golden State Warriors	#4 - Golden State Warriors
0202	2	Los Angeles Clippers	#3 - Los Angeles Clippers
0203	2	Los Angeles Clippers	#3 - Los Angeles Clippers
0204	2	Los Angeles Clippers	#3 - Los Angeles Clippers
0205	2	Los Angeles Clippers	#3 - Los Angeles Clippers
0206	2	Los Angeles Clippers	#3 - Los Angeles Clippers
0207	2	Los Angeles Clippers	#3 - Los Angeles Clippers
0208	2	Los Angeles Clippers	#3 - Los Angeles Clippers
0209	2	Los Angeles Clippers	#3 - Los Angeles Clippers
0210	2	Los Angeles Clippers	#3 - Los Angeles Clippers
0211	2	Los Angeles Clippers	#3 - Los Angeles Clippers
0212	2	Los Angeles Clippers	#3 - Los Angeles Clippers
0213	2	Los Angeles Clippers	#3 - Los Angeles Clippers
0214	2	Los Angeles Clippers	#3 - Los Angeles Clippers
0215	2	Los Angeles Clippers	#3 - Los Angeles Clippers
0216	2	Los Angeles Lakers	#15 - Los Angeles Lakers
0217	2	Los Angeles Lakers	#15 - Los Angeles Lakers
0218	2	Los Angeles Lakers	#15 - Los Angeles Lakers
0219	2	Los Angeles Lakers	#15 - Los Angeles Lakers
0220	2	Los Angeles Lakers	#15 - Los Angeles Lakers
0221	2	Los Angeles Lakers	#15 - Los Angeles Lakers
0222	2	Los Angeles Lakers	#15 - Los Angeles Lakers
0223	2	Los Angeles Lakers	#15 - Los Angeles Lakers
0224	2	Los Angeles Lakers	#15 - Los Angeles Lakers
0225	2	Los Angeles Lakers	#15 - Los Angeles Lakers
0226	2	Los Angeles Lakers	#15 - Los Angeles Lakers
0227	2	Los Angeles Lakers	#15 - Los Angeles Lakers
0228	2	Los Angeles Lakers	#15 - Los Angeles Lakers
0229	2	Los Angeles Lakers	#15 - Los Angeles Lakers
0230	2	Phoenix Suns	#30 - Phoenix Suns
0231	2	Phoenix Suns	#30 - Phoenix Suns
0232	2	Phoenix Suns	#30 - Phoenix Suns
0233	2	Phoenix Suns	#30 - Phoenix Suns
0234	2	Phoenix Suns	#30 - Phoenix Suns
0235	2	Phoenix Suns	#30 - Phoenix Suns
0236	2	Phoenix Suns	#30 - Phoenix Suns
0237	2	Phoenix Suns	#30 - Phoenix Suns
0238	2	Phoenix Suns	#30 - Phoenix Suns
0239	2	Phoenix Suns	#30 - Phoenix Suns
0240	2	Phoenix Suns	#30 - Phoenix Suns
0241	2	Phoenix Suns	#30 - Phoenix Suns
0242	2	Phoenix Suns	#30 - Phoenix Suns
0243	2	Sacramento Kings	#18 - Sacramento Kings
0244	2	Sacramento Kings	#18 - Sacramento Kings
0245	2	Sacramento Kings	#18 - Sacramento Kings
0246	2	Sacramento Kings	#18 - Sacramento Kings
0247	2	Sacramento Kings	#18 - Sacramento Kings
0248	2	Sacramento Kings	#18 - Sacramento Kings
0249	2	Sacramento Kings	#18 - Sacramento Kings
0250	2	Sacramento Kings	#18 - Sacramento Kings
0251	2	Sacramento Kings	#18 - Sacramento Kings
0252	2	Sacramento Kings	#18 - Sacramento Kings
0253	2	Sacramento Kings	#18 - Sacramento Kings
0254	2	Sacramento Kings	#18 - Sacramento Kings
0255	2	Sacramento Kings	#18 - Sacramento Kings
0256	2	Dallas Mavericks	#8 - Dallas Mavericks
0257	2	Dallas Mavericks	#8 - Dallas Mavericks
0258	2	Dallas Mavericks	#8 - Dallas Mavericks
0259	2	Dallas Mavericks	#8 - Dallas Mavericks
0260	2	Dallas Mavericks	#8 - Dallas Mavericks
0261	2	Dallas Mavericks	#8 - Dallas Mavericks
0262	2	Dallas Mavericks	#8 - Dallas Mavericks
0263	2	Dallas Mavericks	#8 - Dallas Mavericks
0264	2	Dallas Mavericks	#8 - Dallas Mavericks
0265	2	Dallas Mavericks	#8 - Dallas Mavericks
0266	2	Dallas Mavericks	#8 - Dallas Mavericks
0267	2	Dallas Mavericks	#8 - Dallas Mavericks
0268	2	Dallas Mavericks	#8 - Dallas Mavericks
0269	2	Houston Rockets	#31 - Houston Rockets
0270	2	Houston Rockets	#31 - Houston Rockets
0271	2	Houston Rockets	#31 - Houston Rockets
0272	2	Houston Rockets	#31 - Houston Rockets
0273	2	Houston Rockets	#31 - Houston Rockets
0274	2	Houston Rockets	#31 - Houston Rockets
0275	2	Houston Rockets	#31 - Houston Rockets
0276	2	Houston Rockets	#31 - Houston Rockets
0277	2	Houston Rockets	#31 - Houston Rockets
0278	2	Houston Rockets	#31 - Houston Rockets
0279	2	Houston Rockets	#31 - Houston Rockets
0280	2	Houston Rockets	#31 - Houston Rockets
0281	2	Houston Rockets	#31 - Houston Rockets
0282	2	Houston Rockets	#31 - Houston Rockets
0283	2	Memphis Grizzlies	#9 - Memphis Grizzlies
0284	2	Memphis Grizzlies	#9 - Memphis Grizzlies
0285	2	Memphis Grizzlies	#9 - Memphis Grizzlies
0286	2	Memphis Grizzlies	#9 - Memphis Grizzlies
0287	2	Memphis Grizzlies	#9 - Memphis Grizzlies
0288	2	Memphis Grizzlies	#9 - Memphis Grizzlies
0289	2	Memphis Grizzlies	#9 - Memphis Grizzlies
0290	2	Memphis Grizzlies	#9 - Memphis Grizzlies
0291	2	Memphis Grizzlies	#9 - Memphis Grizzlies
0292	2	Memphis Grizzlies	#9 - Memphis Grizzlies
0293	2	Memphis Grizzlies	#9 - Memphis Grizzlies
0294	2	Memphis Grizzlies	#9 - Memphis Grizzlies
0295	2	Memphis Grizzlies	#9 - Memphis Grizzlies
0296	2	New Orleans Hornets	#11 - New Orleans Hornets
0297	2	New Orleans Hornets	#11 - New Orleans Hornets
0298	2	New Orleans Hornets	#11 - New Orleans Hornets
0299	2	New Orleans Hornets	#11 - New Orleans Hornets
0300	2	New Orleans Hornets	#11 - New Orleans Hornets
0301	2	New Orleans Hornets	#11 - New Orleans Hornets
0302	2	New Orleans Hornets	#11 - New Orleans Hornets
0303	2	New Orleans Hornets	#11 - New Orleans Hornets
0304	2	New Orleans Hornets	#11 - New Orleans Hornets
0305	2	New Orleans Hornets	#11 - New Orleans Hornets
0306	2	New Orleans Hornets	#11 - New Orleans Hornets
0307	2	New Orleans Hornets	#11 - New Orleans Hornets
0308	2	New Orleans Hornets	#11 - New Orleans Hornets
0309	2	New Orleans Hornets	#11 - New Orleans Hornets
0310	2	New Orleans Hornets	#11 - New Orleans Hornets
0311	2	San Antonio Spurs	#25 - San Antonio Spurs
0312	2	San Antonio Spurs	#25 - San Antonio Spurs
0313	2	San Antonio Spurs	#25 - San Antonio Spurs
0314	2	San Antonio Spurs	#25 - San Antonio Spurs
0315	2	San Antonio Spurs	#25 - San Antonio Spurs
0316	2	San Antonio Spurs	#25 - San Antonio Spurs
0317	2	San Antonio Spurs	#25 - San Antonio Spurs
0318	2	San Antonio Spurs	#25 - San Antonio Spurs
0319	2	San Antonio Spurs	#25 - San Antonio Spurs
0320	2	San Antonio Spurs	#25 - San Antonio Spurs
0321	2	San Antonio Spurs	#25 - San Antonio Spurs
0322	2	San Antonio Spurs	#25 - San Antonio Spurs
0323	2	San Antonio Spurs	#25 - San Antonio Spurs
0324	2	Philadelphia 76ers	#4 - Philadelphia 76ers
0325	2	Philadelphia 76ers	#4 - Philadelphia 76ers
0326	2	Philadelphia 76ers	#4 - Philadelphia 76ers
0327	2	Philadelphia 76ers	#4 - Philadelphia 76ers
0328	2	Philadelphia 76ers	#4 - Philadelphia 76ers
0329	2	Philadelphia 76ers	#4 - Philadelphia 76ers
0330	2	Philadelphia 76ers	#4 - Philadelphia 76ers
0331	2	Philadelphia 76ers	#4 - Philadelphia 76ers
0332	2	Philadelphia 76ers	#4 - Philadelphia 76ers
0333	2	Philadelphia 76ers	#4 - Philadelphia 76ers
0334	2	Philadelphia 76ers	#4 - Philadelphia 76ers
0335	2	Philadelphia 76ers	#4 - Philadelphia 76ers
0336	2	Philadelphia 76ers	#4 - Philadelphia 76ers
0337	2	Toronto Raptors	#20 - Toronto Raptors
0338	2	Toronto Raptors	#20 - Toronto Raptors
0339	2	Toronto Raptors	#20 - Toronto Raptors
0340	2	Toronto Raptors	#20 - Toronto Raptors
0341	2	Toronto Raptors	#20 - Toronto Raptors
0342	2	Toronto Raptors	#20 - Toronto Raptors
0343	2	Toronto Raptors	#20 - Toronto Raptors
0344	2	Toronto Raptors	#20 - Toronto Raptors
0345	2	Toronto Raptors	#20 - Toronto Raptors
0346	2	Toronto Raptors	#20 - Toronto Raptors
0347	2	Toronto Raptors	#20 - Toronto Raptors
0348	2	Toronto Raptors	#20 - Toronto Raptors
0349	2	Toronto Raptors	#20 - Toronto Raptors
0350	2	Chicago Bulls	#3 - Chicago Bulls
0351	2	Chicago Bulls	#3 - Chicago Bulls
0352	2	Chicago Bulls	#3 - Chicago Bulls
0353	2	Chicago Bulls	#3 - Chicago Bulls
0354	2	Chicago Bulls	#3 - Chicago Bulls
0355	2	Chicago Bulls	#3 - Chicago Bulls
0356	2	Chicago Bulls	#3 - Chicago Bulls
0357	2	Chicago Bulls	#3 - Chicago Bulls
0358	2	Chicago Bulls	#3 - Chicago Bulls
0359	2	Chicago Bulls	#3 - Chicago Bulls
0360	2	Chicago Bulls	#3 - Chicago Bulls
0361	2	Chicago Bulls	#3 - Chicago Bulls
0362	2	Chicago Bulls	#3 - Chicago Bulls
0363	2	Chicago Bulls	#3 - Chicago Bulls
0364	2	Cleveland Cavaliers	#1 - Cleveland Cavaliers
0365	2	Cleveland Cavaliers	#1 - Cleveland Cavaliers
0366	2	Cleveland Cavaliers	#1 - Cleveland Cavaliers
0367	2	Cleveland Cavaliers	#1 - Cleveland Cavaliers
0368	2	Cleveland Cavaliers	#1 - Cleveland Cavaliers
0369	2	Cleveland Cavaliers	#1 - Cleveland Cavaliers
0370	2	Cleveland Cavaliers	#1 - Cleveland Cavaliers
0371	2	Cleveland Cavaliers	#1 - Cleveland Cavaliers
0372	2	Cleveland Cavaliers	#1 - Cleveland Cavaliers
0373	2	Cleveland Cavaliers	#1 - Cleveland Cavaliers
0374	2	Cleveland Cavaliers	#1 - Cleveland Cavaliers
0375	2	Cleveland Cavaliers	#1 - Cleveland Cavaliers
0376	2	Cleveland Cavaliers	#1 - Cleveland Cavaliers
0377	2	Cleveland Cavaliers	#1 - Cleveland Cavaliers
0378	2	Detroit Pistons	#31 - Detroit Pistons
0379	2	Detroit Pistons	#31 - Detroit Pistons
0380	2	Detroit Pistons	#31 - Detroit Pistons
0381	2	Detroit Pistons	#31 - Detroit Pistons
0382	2	Detroit Pistons	#31 - Detroit Pistons
0383	2	Detroit Pistons	#31 - Detroit Pistons
0384	2	Detroit Pistons	#31 - Detroit Pistons
0385	2	Detroit Pistons	#31 - Detroit Pistons
0386	2	Detroit Pistons	#31 - Detroit Pistons
0387	2	Detroit Pistons	#31 - Detroit Pistons
0388	2	Detroit Pistons	#31 - Detroit Pistons
0389	2	Detroit Pistons	#31 - Detroit Pistons
0390	2	Detroit Pistons	#31 - Detroit Pistons
0391	2	Detroit Pistons	#31 - Detroit Pistons
0392	2	Detroit Pistons	#31 - Detroit Pistons
0393	2	Indiana Pacers	#2 - Indiana Pacers
0394	2	Indiana Pacers	#2 - Indiana Pacers
0395	2	Indiana Pacers	#2 - Indiana Pacers
0396	2	Indiana Pacers	#2 - Indiana Pacers
0397	2	Indiana Pacers	#2 - Indiana Pacers
0398	2	Indiana Pacers	#2 - Indiana Pacers
0399	2	Indiana Pacers	#2 - Indiana Pacers
0400	2	Indiana Pacers	#2 - Indiana Pacers
0401	2	Indiana Pacers	#2 - Indiana Pacers
0402	2	Indiana Pacers	#2 - Indiana Pacers
0403	2	Indiana Pacers	#2 - Indiana Pacers
0404	2	Indiana Pacers	#2 - Indiana Pacers
0405	2	Indiana Pacers	#2 - Indiana Pacers
0406	2	Indiana Pacers	#2 - Indiana Pacers
0407	2	Indiana Pacers	#2 - Indiana Pacers
0408	2	Milwaukee Bucks	#6 - Milwaukee Bucks
0409	2	Milwaukee Bucks	#6 - Milwaukee Bucks
0410	2	Milwaukee Bucks	#6 - Milwaukee Bucks
0411	2	Milwaukee Bucks	#6 - Milwaukee Bucks
0412	2	Milwaukee Bucks	#6 - Milwaukee Bucks
0413	2	Milwaukee Bucks	#6 - Milwaukee Bucks
0414	2	Milwaukee Bucks	#6 - Milwaukee Bucks
0415	2	Milwaukee Bucks	#6 - Milwaukee Bucks
0416	2	Milwaukee Bucks	#6 - Milwaukee Bucks
0417	2	Milwaukee Bucks	#6 - Milwaukee Bucks
0418	2	Milwaukee Bucks	#6 - Milwaukee Bucks
0419	2	Milwaukee Bucks	#6 - Milwaukee Bucks
0420	2	Milwaukee Bucks	#6 - Milwaukee Bucks
0421	2	Milwaukee Bucks	#6 - Milwaukee Bucks
0422	2	Milwaukee Bucks	#6 - Milwaukee Bucks
