book	booksamillion	author				
0391	4	The Biggest Loser Experts and Cast	Maggie Greenwood-Robinson	Jillian Michaels	The Biggest Loser Experts and Cast - Maggie Greenwood-Robinson - Jillian Michaels	
0471	4	Norman Geisler	Frank Turek	David Limbaugh	Norman Geisler - Frank Turek - David Limbaugh	
0510	4	Sherrilyn Kenyon	Joshua Hale Fialkov	Claudia Campos	Sherrilyn Kenyon - Joshua Hale Fialkov - Claudia Campos	
0515	4	Jason Hawes	Grant Wilson	Michael Jan Friedman	Jason Hawes - Grant Wilson - Michael Jan Friedman	
0531	4	Ellen Schreiber	Elisa Kwon	REM	Ellen Schreiber - Elisa Kwon - REM	
0556	4	Tal Ronnen	Danielle Claro	Linda Long	Tal Ronnen - Danielle Claro - Linda Long	
0578	4	Douglas Preston	Lincoln Child	Rene Auberjonois	Douglas Preston - Lincoln Child - Rene Auberjonois	
0586	4	Heidi Murkoff	Sharon Mazel	Charles J. Lockwood	Heidi Murkoff - Sharon Mazel - Charles J. Lockwood	
0610	4	Rick Burgess	Bill Bussey	Martha Bolton	Rick Burgess - Bill Bussey - Martha Bolton	
0630	4	Triple H	Shawn Michaels	Aaron Williams	Triple H - Shawn Michaels - Aaron Williams	
0676	4	Richard Atwater	Florence Atwater	Robert Lawson	Richard Atwater - Florence Atwater - Robert Lawson	
0685	4	Pat Schwiebert	Chuck DeKlyen	Taylor Bills	Pat Schwiebert - Chuck DeKlyen - Taylor Bills	
0698	4	Sally Fallon	Mary G. Enig	Pat Connolly	Sally Fallon - Mary G. Enig - Pat Connolly	
0702	4	Bobby Flay	Stephanie Banyas	Sally Jackson	Bobby Flay - Stephanie Banyas - Sally Jackson	
0755	4	Clive Cussler	Justin Scott	Scott Brick	Clive Cussler - Justin Scott - Scott Brick	
0759	4	Daniel Lipkowitz	Alastair Dougall	Jorgen Vig Knudstorp	Daniel Lipkowitz - Alastair Dougall - Jorgen Vig Knudstorp	
0768	4	Charlaine Harris	Maggie Shayne	Barbara Hambly	Charlaine Harris - Maggie Shayne - Barbara Hambly	
0773	4	Jane Austen	Ben H. Winters	Eugene Smith	Jane Austen - Ben H. Winters - Eugene Smith	
0785	4	Jason Hawes	Grant Wilson	Michael Jan Friedman	Jason Hawes - Grant Wilson - Michael Jan Friedman	
0793	4	Shannon Ethridge	Stephen Arterburn	Josh McDowell	Shannon Ethridge - Stephen Arterburn - Josh McDowell	
0798	4	Newt Gingrich	Vince Haley	Rick Tyler	Newt Gingrich - Vince Haley - Rick Tyler	
0804	4	Rita Mae Brown	Sneaky Pie Brown	Michael Gellatly	Rita Mae Brown - Sneaky Pie Brown - Michael Gellatly	
0810	4	Roger Connors	Tom Smith	Craig Hickman	Roger Connors - Tom Smith - Craig Hickman	
0824	4	Robin Furth	Peter David	Richard Isanove	Robin Furth - Peter David - Richard Isanove	
0827	4	James Patterson	Maxine Paetro	Christian Rummel	James Patterson - Maxine Paetro - Christian Rummel	
0828	4	Beth Wiseman	Barbara Cameron	Kathleen Fuller	Beth Wiseman - Barbara Cameron - Kathleen Fuller	
0834	4	Zora Neale Hurston	Edwidge Danticat	Henry Louis Gates	Zora Neale Hurston - Edwidge Danticat - Henry Louis Gates	
0908	4	Grant Morrison	J. G. Jones	Carlos Pacheco	Grant Morrison - J. G. Jones - Carlos Pacheco	
0930	4	Raisa Ruder	Susan Campos	Mona Shafer Edwards	Raisa Ruder - Susan Campos - Mona Shafer Edwards	
0941	4	Stan Berenstain	Jan Berenstain	Michael Berenstain	Stan Berenstain - Jan Berenstain - Michael Berenstain	
0967	4	Linda Kaplan Thaler	Robin Koval	Jay Leno	Linda Kaplan Thaler - Robin Koval - Jay Leno	
0991	4	Kenneth H. Blanchard	Susan Fowler	Laurence F. Hawkins	Kenneth H. Blanchard - Susan Fowler - Laurence F. Hawkins	
0993	4	Jr. John Trigilio	Kenneth Brighenti	Rich Tennant	Jr. John Trigilio - Kenneth Brighenti - Rich Tennant	
1022	4	Shonda Schilling	Curt Schilling	Peter B. Rosenberger	Shonda Schilling - Curt Schilling - Peter B. Rosenberger	
1027	4	Lori Foster	L. L. Foster	Erin McCarthy	Lori Foster - L. L. Foster - Erin McCarthy	
1094	4	Matthew McKay	Jeffrey C. Wood	Jeffrey Brantley	Matthew McKay - Jeffrey C. Wood - Jeffrey Brantley	
1156	4	Robert B. Miller	Stephen E. Heiman	Tad Tuleja	Robert B. Miller - Stephen E. Heiman - Tad Tuleja	
1163	4	Dante Alighieri	John Ciardi	Edward M. Cifelli	Dante Alighieri - John Ciardi - Edward M. Cifelli	
1195	4	Marc Hudgeons	Jr. Tom Hudgeons	Sr. Tom Hudgeons	Marc Hudgeons - Jr. Tom Hudgeons - Sr. Tom Hudgeons	
1247	4	Paula Deen	Martha Nesbit	Susan Mitchell	Paula Deen - Martha Nesbit - Susan Mitchell	
1251	4	Corrie Ten Boom	Elizabeth Sherrill	John Sherrill	Corrie Ten Boom - Elizabeth Sherrill - John Sherrill	
1272	4	Lisa Kleypas	Julia Quinn	Kinley MacGregor	Lisa Kleypas - Julia Quinn - Kinley MacGregor	
1290	4	Rick Smith	Bruce Lourie	Sarah Dopp	Rick Smith - Bruce Lourie - Sarah Dopp	
1300	4	John Ortberg	Laurie Pederson	Judson Poling	John Ortberg - Laurie Pederson - Judson Poling	
1304	4	Dick Morris	Eileen Mcgann	Pete Larkin	Dick Morris - Eileen Mcgann - Pete Larkin	
1376	4	Michelle Rose Gilman	Veronica Saydak	Suzee Vlk	Michelle Rose Gilman - Veronica Saydak - Suzee Vlk	
1379	4	Tia Sillers	Mark D. Sanders	Lee Ann Womack	Tia Sillers - Mark D. Sanders - Lee Ann Womack	
1387	4	Lawrence Neves	Kristina Naudus	Anthony Zumpano	Lawrence Neves - Kristina Naudus - Anthony Zumpano	
1388	4	Debbie Macomber	Susan Wiggs	Jill Barnett	Debbie Macomber - Susan Wiggs - Jill Barnett	
1396	4	Geoffrey Chaucer	Donald Roy Howard	James Dean	Geoffrey Chaucer - Donald Roy Howard - James Dean	
1402	4	Mercedes Lackey	Eric Flint	Dave Freer	Mercedes Lackey - Eric Flint - Dave Freer	
1428	4	Bill Martin	John Archambault	Lois Ehlert	Bill Martin - John Archambault - Lois Ehlert	
1435	4	Mario Batali	Mark Ladner	Quentin Bacon	Mario Batali - Mark Ladner - Quentin Bacon	
1442	4	Charles Dickens	Frederick Busch	A. N. Wilson	Charles Dickens - Frederick Busch - A. N. Wilson	
1484	4	Vikram Vij	Meeru Dhalwala	John Sherlock	Vikram Vij - Meeru Dhalwala - John Sherlock	
1532	4	Nagaru Tanigawa	Gaku Tsugano	Noizi Ito	Nagaru Tanigawa - Gaku Tsugano - Noizi Ito	
1551	4	Larry Hama	Frank Springer	Rod Whigham	Larry Hama - Frank Springer - Rod Whigham	
1606	4	Jack Canfield	Mark Victor Hansen	Leann Thieman	Jack Canfield - Mark Victor Hansen - Leann Thieman	
1635	4	Wendy Williams	Michelle Bredeson	Carla Scott	Wendy Williams - Michelle Bredeson - Carla Scott	
1750	4	Bob Greene	Erik Johnson	Alan Richardson	Bob Greene - Erik Johnson - Alan Richardson	
1758	4	Jeffrey C. Geoghegan	Karl Schultz	Michael M. Homan	Jeffrey C. Geoghegan - Karl Schultz - Michael M. Homan	
1797	4	Dr Seuss	Theo LeSieg	George Booth	Dr Seuss - Theo LeSieg - George Booth	
1807	4	Catherine Saunders	Heather Scott	Julia March	Catherine Saunders - Heather Scott - Julia March	
1820	4	Bill Blass	Jon Jefferson	William M. Bass	Bill Blass - Jon Jefferson - William M. Bass	
1848	4	Frederick Douglass	Peter J. Gomes	Gregory Stephens	Frederick Douglass - Peter J. Gomes - Gregory Stephens	
1862	4	Lindly Haunani	Maggie Maggio	Cynthia Tinapple	Lindly Haunani - Maggie Maggio - Cynthia Tinapple	
1864	4	Linda Howard	Linda Jones	Vanessa Hart	Linda Howard - Linda Jones - Vanessa Hart	
1869	4	Rob Heinsoo	Logan Bonner	Robert J. Schwalb	Rob Heinsoo - Logan Bonner - Robert J. Schwalb	
1880	4	Dave Lieberman	Anahad O'connor	Bonnie Timmons	Dave Lieberman - Anahad O'connor - Bonnie Timmons	
1921	4	Will Osborne	Mary Pope Osborne	Sal Murdocca	Will Osborne - Mary Pope Osborne - Sal Murdocca	
1932	4	Jakusho Kwong	Thich Nhat Hanh	Peter Levitt	Jakusho Kwong - Thich Nhat Hanh - Peter Levitt	
1958	4	William Shakespeare	Barbara A. Mowat	Paul Werstine	William Shakespeare - Barbara A. Mowat - Paul Werstine	
1971	4	Lisa Kleypas	Lynsay Sands	Leigh Greenwood	Lisa Kleypas - Lynsay Sands - Leigh Greenwood	
1984	4	Homer	W. H. D. Rouse	Deborah Steiner	Homer - W. H. D. Rouse - Deborah Steiner	
1992	4	Margaret Weis	Tracy Hickman	Michael Williams	Margaret Weis - Tracy Hickman - Michael Williams	
1996	4	David S. Kidder	Noah D. Oppenheim	Bruce K. Young	David S. Kidder - Noah D. Oppenheim - Bruce K. Young	
0020	3	Fern Michaels	Laural Merlington	Fern Michaels - Laural Merlington		
0030	3	Steve Harvey	Denene Millner	Steve Harvey - Denene Millner		
0051	3	Greg Mortenson	David Oliver Relin	Greg Mortenson - David Oliver Relin		
0055	3	Susan Mallery	Tanya Eby Sirois	Susan Mallery - Tanya Eby Sirois		
0063	3	Clive Cussler	Jack B. Du Brul	Clive Cussler - Jack B. Du Brul		
0065	3	Marcus Buckingham	Donald O. Clifton	Marcus Buckingham - Donald O. Clifton		
0067	3	Dave Zinczenko	Matt Goulding	Dave Zinczenko - Matt Goulding		
0080	3	Erin Hunter	Wayne McLoughlin	Erin Hunter - Wayne McLoughlin		
0084	3	Kenneth L. Fisher	Lara Hoffmans	Kenneth L. Fisher - Lara Hoffmans		
0090	3	Dick Morris	Eileen Mcgann	Dick Morris - Eileen Mcgann		
0097	3	J. Michael Straczynski	Marko Djurdjevic	J. Michael Straczynski - Marko Djurdjevic		
0112	3	Cornelia Caroline Funke	Anthea Bell	Cornelia Caroline Funke - Anthea Bell		
0115	3	Janine Driver	Mariska Van Aalst	Janine Driver - Mariska Van Aalst		
0117	3	James Patterson	Richard Dilallo	James Patterson - Richard Dilallo		
0118	3	J. K. Rowling	Mary GrandPre	J. K. Rowling - Mary GrandPre		
0123	3	Dayton Duncan	Ken Burns	Dayton Duncan - Ken Burns		
0127	3	Vicki Myron	Bret Witter	Vicki Myron - Bret Witter		
0133	3	J. K. Rowling	Mary GrandPre	J. K. Rowling - Mary GrandPre		
0146	3	Tim F. LaHaye	Craig Parshall	Tim F. LaHaye - Craig Parshall		
0159	3	Sam Kashner	Nancy Schoenberger	Sam Kashner - Nancy Schoenberger		
0165	3	W. E. B. Griffin	IV William E. Butterworth	W. E. B. Griffin - IV William E. Butterworth		
0174	3	Mary Ann Shaffer	Annie Barrows	Mary Ann Shaffer - Annie Barrows		
0176	3	Madeleine L'Engle	Anna Quindlen	Madeleine L'Engle - Anna Quindlen		
0177	3	Neil Gaiman	Dave McKean	Neil Gaiman - Dave McKean		
0189	3	Roger Fisher	William Ury	Roger Fisher - William Ury		
0205	3	Margaret Wise Brown	Clement Hurd	Margaret Wise Brown - Clement Hurd		
0209	3	Chesley Sullenberger	Jeffrey Zaslow	Chesley Sullenberger - Jeffrey Zaslow		
0210	3	John Sandford	Richard Ferrone	John Sandford - Richard Ferrone		
0212	3	Patricia Briggs	Francis Tsai	Patricia Briggs - Francis Tsai		
0218	3	Patrick Doughtie	John Perry	Patrick Doughtie - John Perry		
0221	3	James Patterson	Howard Roughan	James Patterson - Howard Roughan		
0224	3	Friedrich A. Von Hayek	Bruce Caldwell	Friedrich A. Von Hayek - Bruce Caldwell		
0229	3	Mario Lopez	Jimmy Pena	Mario Lopez - Jimmy Pena		
0230	3	Tony DiTerlizzi	Holly Black	Tony DiTerlizzi - Holly Black		
0238	3	Chris Crowley	Henry S. Lodge	Chris Crowley - Henry S. Lodge		
0243	3	William W. Johnstone	J. A. Johnstone	William W. Johnstone - J. A. Johnstone		
0256	3	Glenn Beck	Kevin Balfe	Glenn Beck - Kevin Balfe		
0276	3	Anne Byrn	Ben Fink	Anne Byrn - Ben Fink		
0295	3	Steven D. Levitt	Stephen J. Dubner	Steven D. Levitt - Stephen J. Dubner		
0297	3	Pam Grier	Andrea Cagan	Pam Grier - Andrea Cagan		
0301	3	Clive Cussler	Jack B. Du Brul	Clive Cussler - Jack B. Du Brul		
0306	3	Dorothea Benton Frank	Robin Miles	Dorothea Benton Frank - Robin Miles		
0309	3	Mary Higgins Clark	Carol Higgins Clark	Mary Higgins Clark - Carol Higgins Clark		
0310	3	Karen Kingsbury	Mary Collier	Karen Kingsbury - Mary Collier		
0313	3	Sharon Lee	Steve Miller	Sharon Lee - Steve Miller		
0337	3	J. K. Rowling	Mary GrandPre	J. K. Rowling - Mary GrandPre		
0343	3	Jonathan Wilson-Hartgrove	Kathleen Norris	Jonathan Wilson-Hartgrove - Kathleen Norris		
0345	3	Quinrose	Hoshino Soumei	Quinrose - Hoshino Soumei		
0351	3	Cornelia Caroline Funke	Anthea Bell	Cornelia Caroline Funke - Anthea Bell		
0362	3	Henry T. Blackaby	Richard Blackaby	Henry T. Blackaby - Richard Blackaby		
0367	3	Clive Cussler	Jack B. Du Brul	Clive Cussler - Jack B. Du Brul		
0376	3	Mark Millar	Jr. John Romita	Mark Millar - Jr. John Romita		
0378	3	Jerry Weintraub	Rich Cohen	Jerry Weintraub - Rich Cohen		
0380	3	J. K. Rowling	Mary GrandPre	J. K. Rowling - Mary GrandPre		
0392	3	Shaunti Feldhahn	Jeff Feldhahn	Shaunti Feldhahn - Jeff Feldhahn		
0400	3	Lis Wiehl	April Henry	Lis Wiehl - April Henry		
0402	3	Mary Pope Osborne	Sal Murdocca	Mary Pope Osborne - Sal Murdocca		
0403	3	Sue Monk Kidd	Ann Kidd Taylor	Sue Monk Kidd - Ann Kidd Taylor		
0404	3	Chip Heath	Dan Heath	Chip Heath - Dan Heath		
0413	3	Kat Von D.	Nikki Sixx	Kat Von D. - Nikki Sixx		
0428	3	J. K. Rowling	Mary GrandPre	J. K. Rowling - Mary GrandPre		
0429	3	R. Crumb	Robert Alter	R. Crumb - Robert Alter		
0430	3	David Benedictus	Mark Burgess	David Benedictus - Mark Burgess		
0437	3	Pete Egoscue	Roger Gittines	Pete Egoscue - Roger Gittines		
0443	3	J. K. Rowling	Mary GrandPre	J. K. Rowling - Mary GrandPre		
0445	3	Sam McBratney	Anita Jeram	Sam McBratney - Anita Jeram		
0462	3	Chris Crowley	Henry S. Lodge	Chris Crowley - Henry S. Lodge		
0464	3	J. D. Robb	Susan Ericksen	J. D. Robb - Susan Ericksen		
0469	3	Henning Mankell	Laurie Thompson	Henning Mankell - Laurie Thompson		
0480	3	Kenneth H. Blanchard	Phil Hodges	Kenneth H. Blanchard - Phil Hodges		
0481	3	Bethenny Frankel	Eve Adamson	Bethenny Frankel - Eve Adamson		
0484	3	James W. Moore	Bob J. Moore	James W. Moore - Bob J. Moore		
0502	3	Derek Benz	J. S. Lewis	Derek Benz - J. S. Lewis		
0523	3	Lewis Carroll	John Tenniel	Lewis Carroll - John Tenniel		
0526	3	Robert B. Parker	James Naughton	Robert B. Parker - James Naughton		
0535	3	Linda Castillo	Kathleen McLnerney	Linda Castillo - Kathleen McLnerney		
0546	3	Mark Yarnell	Rene Reid Yarnell	Mark Yarnell - Rene Reid Yarnell		
0548	3	James Lorelei	Lorelei James	James Lorelei - Lorelei James		
0558	3	JaQuavis Coleman	Ashley Snell	JaQuavis Coleman - Ashley Snell		
0571	3	Carlos Ruiz Zafon	Lucia Graves	Carlos Ruiz Zafon - Lucia Graves		
0587	3	Irene Nemirovsky	Sandra Smith	Irene Nemirovsky - Sandra Smith		
0601	3	Corey Sandler	Janice Keefe	Corey Sandler - Janice Keefe		
0605	3	George Klein	Chuck Crisafulli	George Klein - Chuck Crisafulli		
0628	3	Immaculee Ilibagiza	Steve Erwin	Immaculee Ilibagiza - Steve Erwin		
0632	3	Jack Welch	Suzy Welch	Jack Welch - Suzy Welch		
0636	3	Ted Dekker	Kaci Hill	Ted Dekker - Kaci Hill		
0655	3	Esther Forbes	Lynd Ward	Esther Forbes - Lynd Ward		
0658	3	Ronda Rich	Stevie Waltrip	Ronda Rich - Stevie Waltrip		
0660	3	Mary Higgins Clark	Jan Maxwell	Mary Higgins Clark - Jan Maxwell		
0664	3	David Weber	Eric Flint	David Weber - Eric Flint		
0667	3	Steve Martini	Dan Woren	Steve Martini - Dan Woren		
0668	3	Jessica Fletcher	Donald Bain	Jessica Fletcher - Donald Bain		
0679	3	Arthur Agatston	Arthur Agatson	Arthur Agatston - Arthur Agatson		
0686	3	Amanda Quick	Anne T. Flosnik	Amanda Quick - Anne T. Flosnik		
0696	3	Zane	Sara Camilli	Zane - Sara Camilli		
0699	3	Mary Pope Osborne	Sal Murdocca	Mary Pope Osborne - Sal Murdocca		
0705	3	Mary Pope Osborne	Sal Murdocca	Mary Pope Osborne - Sal Murdocca		
0709	3	Nikki Sixx	Ian Gittins	Nikki Sixx - Ian Gittins		
0714	3	Lola M. Schaefer	Sylvie Wickstrom	Lola M. Schaefer - Sylvie Wickstrom		
0716	3	Giada De Laurentiis	Tina Rupp	Giada De Laurentiis - Tina Rupp		
0720	3	Judith Viorst	Ray Cruz	Judith Viorst - Ray Cruz		
0723	3	Brian Azzarello	Lee Bermejo	Brian Azzarello - Lee Bermejo		
0727	3	Johanna Lindsey	Laural Merlington	Johanna Lindsey - Laural Merlington		
0737	3	John Grisham	Erik Singer	John Grisham - Erik Singer		
0738	3	John Green	David Levithan	John Green - David Levithan		
0740	3	Janet Evanovich	Charlotte Hughes	Janet Evanovich - Charlotte Hughes		
0745	3	Greg Behrendt	Liz Tuccillo	Greg Behrendt - Liz Tuccillo		
0747	3	Steve Scott	Gary Smalley	Steve Scott - Gary Smalley		
0748	3	Janet Evanovich	Charlotte Hughes	Janet Evanovich - Charlotte Hughes		
0750	3	Tim F. LaHaye	Jerry B. Jenkins	Tim F. LaHaye - Jerry B. Jenkins		
0751	3	Ray Whittington	Patrick R. Delaney	Ray Whittington - Patrick R. Delaney		
0758	3	Marcus Pfister	J. Alison James	Marcus Pfister - J. Alison James		
0762	3	Beth Ostrosky Stern	Kristina Grish	Beth Ostrosky Stern - Kristina Grish		
0767	3	Dante Alighieri	John Ciardi	Dante Alighieri - John Ciardi		
0780	3	Tim F. LaHaye	Jerry B. Jenkins	Tim F. LaHaye - Jerry B. Jenkins		
0782	3	Stan Berenstain	Jan Berenstain	Stan Berenstain - Jan Berenstain		
0788	3	John Bomm	Malinda Bomm	John Bomm - Malinda Bomm		
0794	3	James Dobson	Shirley Dobson	James Dobson - Shirley Dobson		
0799	3	Mary Pope Osborne	Sal Murdocca	Mary Pope Osborne - Sal Murdocca		
0800	3	Robert T. Kiyosaki	Sharon L. Lechter	Robert T. Kiyosaki - Sharon L. Lechter		
0821	3	Tim F. LaHaye	Jerry B. Jenkins	Tim F. LaHaye - Jerry B. Jenkins		
0829	3	Erin Hunter	James Barry	Erin Hunter - James Barry		
0832	3	Roald Dahl	Quentin Blake	Roald Dahl - Quentin Blake		
0839	3	Arthur Agatston	Joseph Signorile	Arthur Agatston - Joseph Signorile		
0845	3	Tim F. LaHaye	Jerry B. Jenkins	Tim F. LaHaye - Jerry B. Jenkins		
0850	3	Julia Child	Alex Prud'Homme	Julia Child - Alex Prud'Homme		
0857	3	Holly Black	Tony DiTerlizzi	Holly Black - Tony DiTerlizzi		
0865	3	Janet Evanovich	Charlotte Hughes	Janet Evanovich - Charlotte Hughes		
0866	3	Jenna Lucado	Max Lucado	Jenna Lucado - Max Lucado		
0877	3	Steve Schapiro	Paul Duncan	Steve Schapiro - Paul Duncan		
0884	3	Nora Roberts	Angela Dawe	Nora Roberts - Angela Dawe		
0889	3	Sherrilyn Kenyon	Dianna Love	Sherrilyn Kenyon - Dianna Love		
0891	3	George E. Verrilli	Anne Marie Mueser	George E. Verrilli - Anne Marie Mueser		
0896	3	Lance Armstrong	Elizabeth Kreutz	Lance Armstrong - Elizabeth Kreutz		
0904	3	John C. Maxwell	Wayne Shepherd	John C. Maxwell - Wayne Shepherd		
0911	3	Seth Godin	Hugh Macleod	Seth Godin - Hugh Macleod		
0917	3	Daniel G. Amen	Marc Cashman	Daniel G. Amen - Marc Cashman		
0918	3	Carolyn Abram	Leah Pearlman	Carolyn Abram - Leah Pearlman		
0921	3	Charles Colson	Harold Fickett	Charles Colson - Harold Fickett		
0937	3	Jean Marzollo	Walter Wick	Jean Marzollo - Walter Wick		
