book	barnesandnoble	author					
0856	4	Mike Mearls	Rob Heinsoo	Robert J. Schwalb	Mike Mearls - Rob Heinsoo - Robert J. Schwalb		
0940	4	J. D. Robb	Nora D. Roberts	Nora Roberts	J. D. Robb - Nora D. Roberts - Nora Roberts		
0985	4	Bo Schembechler	John Bacon	John U. Bacon	Bo Schembechler - John Bacon - John U. Bacon		
0991	4	J. D. Robb	Nora Roberts	Nora D. Roberts	J. D. Robb - Nora Roberts - Nora D. Roberts		
1041	4	William R. Miller	Stephen Rollnick	Kelly Conforti	William R. Miller - Stephen Rollnick - Kelly Conforti		
1137	4	Bernadette Peters	Liz Murphy	Blue Apple Staff	Bernadette Peters - Liz Murphy - Blue Apple Staff		
1144	4	Joshua Piven	David Borgenicht	Ben H. Winters	Joshua Piven - David Borgenicht - Ben H. Winters		
1152	4	Betty Crocker Editors	Diane Reader	Maureen Doran	Betty Crocker Editors - Diane Reader - Maureen Doran		
1169	4	Siegfried Engelmann	Phyllis Haddox	Elaine Bruner	Siegfried Engelmann - Phyllis Haddox - Elaine Bruner		
1183	4	Edward R Emberley	Emberley	Edward R. Emberley	Edward R Emberley - Emberley - Edward R. Emberley		
1221	4	J. D. Robb	Nora Roberts	Nora D. Roberts	J. D. Robb - Nora Roberts - Nora D. Roberts		
1315	4	Thomas H. Davenport	Robert Morison	Jeanne G. Harris	Thomas H. Davenport - Robert Morison - Jeanne G. Harris		
1350	4	Karl Marx	Friedrich Engels	Martin Malia	Karl Marx - Friedrich Engels - Martin Malia		
1512	4	Clayton M. Christensen	Jerome H. Grossman	Jason Hwang	Clayton M. Christensen - Jerome H. Grossman - Jason Hwang		
1515	4	David Hirshey	Roger Bennett	Steve Nash	David Hirshey - Roger Bennett - Steve Nash		
1519	4	Ray H Garrison	Eric Noreen	Peter C. Brewer	Ray H Garrison - Eric Noreen - Peter C. Brewer		
1522	4	Corrie Ten Boom	John Sherrill	John Scherrill	Corrie Ten Boom - John Sherrill - John Scherrill		
1529	4	Maxime Valette	Guillaume Passaglia	Didier Guedj	Maxime Valette - Guillaume Passaglia - Didier Guedj		
1543	4	Robert J. Marzano	Timothy Waters	Brian A. McNulty	Robert J. Marzano - Timothy Waters - Brian A. McNulty		
1563	4	Ram Charan	James Noel	Stephen Drotter	Ram Charan - James Noel - Stephen Drotter		
1578	4	Joyce LeFever Kee	Evelyn R. Hayes	Linda E. McCuistion	Joyce LeFever Kee - Evelyn R. Hayes - Linda E. McCuistion		
1591	4	Jennifer Thompson-Cannino	Erin Torneo	Ronald Cotton	Jennifer Thompson-Cannino - Erin Torneo - Ronald Cotton		
1595	4	Charlotte Gerson	D.P.M., Morto Walker Morton	Morton Walker	Charlotte Gerson - D.P.M., Morto Walker Morton - Morton Walker		
1644	4	Ranya Idliby	Suzanne Oliver	Priscilla Warner	Ranya Idliby - Suzanne Oliver - Priscilla Warner		
1711	4	Brothers Grimm	Jacob Grimm	Wilhelm Grimm	Brothers Grimm - Jacob Grimm - Wilhelm Grimm		
1755	4	John O. Cooper	William L. Heward	Timothy E. Heron	John O. Cooper - William L. Heward - Timothy E. Heron		
1756	4	Kitty Gurkin Rosati	Robert Rosati	Kitty Rosati	Kitty Gurkin Rosati - Robert Rosati - Kitty Rosati		
1773	4	Blair Underwood	Tananarive Due	Steven Barnes	Blair Underwood - Tananarive Due - Steven Barnes		
1792	4	Marion Cunningham	Fannie Farmer Cookbook Corporation	Archibald Candy Corporation	Marion Cunningham - Fannie Farmer Cookbook Corporation - Archibald Candy Corporation		
1808	4	Bill Martin Jr.	John Archambault	Ray Charles	Bill Martin Jr. - John Archambault - Ray Charles		
1845	4	Dr. Seuss	Dr. Suess	Yanitzia Canetti	Dr. Seuss - Dr. Suess - Yanitzia Canetti		
1863	4	Phil Mickelson	Guy Yocom	T.r. Reinman	Phil Mickelson - Guy Yocom - T.r. Reinman		
1871	4	Isabel L. Beck	Margaret G. McKeown	Linda Kucan	Isabel L. Beck - Margaret G. McKeown - Linda Kucan		
1965	4	Albert L. Winseman	Donald O. Clifton	Curt Liesveld	Albert L. Winseman - Donald O. Clifton - Curt Liesveld		
0006	3	Lynn Brunelle	Chronicle Books Staff	Lynn Brunelle - Chronicle Books Staff			
0011	3	Russell Ash	Brian Lake	Russell Ash - Brian Lake			
0025	3	James Patterson	Maxine Paetro	James Patterson - Maxine Paetro			
0051	3	Howard Dully	Charles Fleming	Howard Dully - Charles Fleming			
0071	3	Bethenny Frankel	Eve Adamson	Bethenny Frankel - Eve Adamson			
0076	3	Greg Mortenson	David Oliver Relin	Greg Mortenson - David Oliver Relin			
0092	3	Ayn Rand	Leonard Peikoff	Ayn Rand - Leonard Peikoff			
0095	3	John Steinbeck	Robert DeMott	John Steinbeck - Robert DeMott			
0103	3	P. C. Cast	Kristin Cast	P. C. Cast - Kristin Cast			
0105	3	Peter Arnell	Steve Kettmann	Peter Arnell - Steve Kettmann			
0107	3	Clive Cussler	Justin Scott	Clive Cussler - Justin Scott			
0127	3	Larry Schweikart	Michael Patrick Allen	Larry Schweikart - Michael Patrick Allen			
0137	3	William Strunk	E. B. White	William Strunk - E. B. White			
0138	3	Valorie Lee Schaefer	Norm Bendel	Valorie Lee Schaefer - Norm Bendel			
0145	3	H. A. Rey	Joe Fallon	H. A. Rey - Joe Fallon			
0191	3	Lise Friedman	Ceil Friedman	Lise Friedman - Ceil Friedman			
0194	3	Olivia Munn	Mac Montandon	Olivia Munn - Mac Montandon			
0199	3	James Patterson	Maxine Paetro	James Patterson - Maxine Paetro			
0212	3	David Zinczenko	Matt Goulding	David Zinczenko - Matt Goulding			
0232	3	Spencer Johnson	Ken Blanchard	Spencer Johnson - Ken Blanchard			
0244	3	Carol V. Aebersold	Chanda A. Bell	Carol V. Aebersold - Chanda A. Bell			
0254	3	Clive Cussler	Jack Du Brul	Clive Cussler - Jack Du Brul			
0266	3	P. C. Cast	Kristin Cast	P. C. Cast - Kristin Cast			
0281	3	John Gottman	Nan Silver	John Gottman - Nan Silver			
0289	3	Natalie Pope Boyce	Mary Pope Osborne	Natalie Pope Boyce - Mary Pope Osborne			
0294	3	Hobbs Julia	Carla Fisher	Hobbs Julia - Carla Fisher			
0309	3	Queen Rania of Jordan Al Abdullah	Kelly Dipucchio	Queen Rania of Jordan Al Abdullah - Kelly Dipucchio			
0313	3	Tom Rath	Donald O. Clifton	Tom Rath - Donald O. Clifton			
0314	3	Po Bronson	Ashley Merryman	Po Bronson - Ashley Merryman			
0326	3	Esther Hicks	Jerry Hicks	Esther Hicks - Jerry Hicks			
0348	3	Devin Alexander	The Biggest Loser Experts and Cast	Devin Alexander - The Biggest Loser Experts and Cast			
0350	3	Sandra Brown	Inc. Doubleday And Company	Sandra Brown - Inc. Doubleday And Company			
0360	3	Karen Tack	Alan Richardson	Karen Tack - Alan Richardson			
0362	3	James Patterson	Michael Ledwidge	James Patterson - Michael Ledwidge			
0364	3	Armin A. Brott	Jennifer Ash	Armin A. Brott - Jennifer Ash			
0367	3	P. C. Cast	Kristin Cast	P. C. Cast - Kristin Cast			
0373	3	Beto Perez	Maggie Greenwood-Robinson	Beto Perez - Maggie Greenwood-Robinson			
0383	3	Simon Johnson	James Kwak	Simon Johnson - James Kwak			
0390	3	Peter J. D'Adamo	Catherine Whitney	Peter J. D'Adamo - Catherine Whitney			
0398	3	Glenn Beck	Kevin Balfe	Glenn Beck - Kevin Balfe			
0403	3	Sidney Sheldon	Tilly Bagshawe	Sidney Sheldon - Tilly Bagshawe			
0405	3	Ashley	JaQuavis	Ashley - JaQuavis			
0411	3	Grant P. Wiggins	Jay McTighe	Grant P. Wiggins - Jay McTighe			
0414	3	Gary Ezzo	Robert Bucknam	Gary Ezzo - Robert Bucknam			
0435	3	John Wooden	Don Yeager	John Wooden - Don Yeager			
0437	3	Miguel Don Ruiz	Jose Don Ruiz	Miguel Don Ruiz - Jose Don Ruiz			
0444	3	Jeff Hertzberg	Zoe Francois	Jeff Hertzberg - Zoe Francois			
0460	3	Don Piper	Cecil Murphey	Don Piper - Cecil Murphey			
0464	3	Hobbs Ann Julia	Carla Fisher	Hobbs Ann Julia - Carla Fisher			
0468	3	The Biggest Loser Experts and Cast	Cheryl Forberg	The Biggest Loser Experts and Cast - Cheryl Forberg			
0508	3	Clate Mask	Scott Martineau	Clate Mask - Scott Martineau			
0511	3	Ian McLean	Orin Thomas	Ian McLean - Orin Thomas			
0515	3	Pearl S. Buck	Stephanie Reents	Pearl S. Buck - Stephanie Reents			
0526	3	Hobbs Julia	Carla Fisher	Hobbs Julia - Carla Fisher			
0529	3	Bill Martin Jr.	John Archambault	Bill Martin Jr. - John Archambault			
0532	3	Charlotte Gerson	Beata Bishop	Charlotte Gerson - Beata Bishop			
0538	3	John Steinbeck	David Wyatt	John Steinbeck - David Wyatt			
0544	3	David J. Schwartz	David Joseph Schwartz	David J. Schwartz - David Joseph Schwartz			
0553	3	Dr. Seuss	Roy McKie	Dr. Seuss - Roy McKie			
0562	3	Lucy Danziger	Catherine Birndorf	Lucy Danziger - Catherine Birndorf			
0568	3	Gabriel Garc�a M�rquez	Gregory Rabassa	Gabriel Garc�a M�rquez - Gregory Rabassa			
0592	3	Donalyn Miller	Miller	Donalyn Miller - Miller			
0602	3	Dick Francis	Felix Francis	Dick Francis - Felix Francis			
0615	3	Ken Blanchard	Sheldon Bowles	Ken Blanchard - Sheldon Bowles			
0625	3	Sarah Ferguson, Duchess of York	Ian Cunliffe	Sarah Ferguson, Duchess of York - Ian Cunliffe			
0649	3	Neal Barnard	Jennifer Raymond	Neal Barnard - Jennifer Raymond			
0661	3	Barry Lyga	Todd Nauck	Barry Lyga - Todd Nauck			
0665	3	Newt Gingrich	William R. Forstchen	Newt Gingrich - William R. Forstchen			
0669	3	Elizabeth Lluch	Alex Lluch	Elizabeth Lluch - Alex Lluch			
0678	3	Michael F. Roizen	Mehmet C. Oz	Michael F. Roizen - Mehmet C. Oz			
0699	3	John Eldredge	Stasi Eldredge	John Eldredge - Stasi Eldredge			
0710	3	James Patterson	Michael Ledwidge	James Patterson - Michael Ledwidge			
0720	3	Hazelden Meditations Hazelden Meditations	Hazelden Meditatio Hazelden Meditations	Hazelden Meditations Hazelden Meditations - Hazelden Meditatio Hazelden Meditations			
0722	3	Richard A. Clarke	Robert Knake	Richard A. Clarke - Robert Knake			
0726	3	Jennifer Crusie	Bob Mayer	Jennifer Crusie - Bob Mayer			
0729	3	Bob Burg	John David Mann	Bob Burg - John David Mann			
0753	3	Milton Friedman	Rose Friedman	Milton Friedman - Rose Friedman			
0759	3	Douglas Preston	Lincoln Child	Douglas Preston - Lincoln Child			
0761	3	William Shakespeare	Sparknotes Editors	William Shakespeare - Sparknotes Editors			
0782	3	Tony Dungy	Nathan Whitaker	Tony Dungy - Nathan Whitaker			
0796	3	Eric Carle	Leiggi	Eric Carle - Leiggi			
0815	3	Jamie Purviance	Weber Grills	Jamie Purviance - Weber Grills			
0816	3	American Diabetes Association	American Heart Association	American Diabetes Association - American Heart Association			
0839	3	Conn Iggulden	Hal Iggulden	Conn Iggulden - Hal Iggulden			
0851	3	Kat Von D	Katherine Drachenberg	Kat Von D - Katherine Drachenberg			
0857	3	Dara Torres	Billie Fitzpatraick	Dara Torres - Billie Fitzpatraick			
0863	3	Bill Martin Jr.	Eric Carle	Bill Martin Jr. - Eric Carle			
0864	3	Patricia A. Potter	Anne Griffin Perry	Patricia A. Potter - Anne Griffin Perry			
0876	3	Sherrilyn Kenyon	Dianna Love	Sherrilyn Kenyon - Dianna Love			
0886	3	Og Mandino	George	Og Mandino - George			
0889	3	Robert J. Mackenzie	Robert J. MacKenzie	Robert J. Mackenzie - Robert J. MacKenzie			
0898	3	Sharon L. Lechter	Greg S. Reid	Sharon L. Lechter - Greg S. Reid			
0899	3	Hulk Hogan	Mark Dagostino	Hulk Hogan - Mark Dagostino			
0907	3	Elaine N. Marieb	Katja Hoehn	Elaine N. Marieb - Katja Hoehn			
0915	3	W. E. B. Griffin	William E. Butterworth IV	W. E. B. Griffin - William E. Butterworth IV			
0931	3	Todd Strasser	Morton Rhue	Todd Strasser - Morton Rhue			
0932	3	Jayme Adelson-Goldstein	Norma Shapiro	Jayme Adelson-Goldstein - Norma Shapiro			
0935	3	Richard Preston	Preston	Richard Preston - Preston			
0941	3	Mark Yarnell	Rene Reid Yarnell	Mark Yarnell - Rene Reid Yarnell			
0947	3	Paula Denton	Roxann Kriete	Paula Denton - Roxann Kriete			
0967	3	Denise Gee	Chronicle Books Staff	Denise Gee - Chronicle Books Staff			
0968	3	Harry N. Abrams, Inc. Staff	Jean de Brunhoff	Harry N. Abrams, Inc. Staff - Jean de Brunhoff			
0972	3	F. Scott Fitzgerald	George Stade	F. Scott Fitzgerald - George Stade			
0976	3	Michael F. Roizen	Mehmet C. Oz	Michael F. Roizen - Mehmet C. Oz			
0980	3	James Patterson	Liza Marklund	James Patterson - Liza Marklund			
0982	3	Josh Richman	Anish Sheth	Josh Richman - Anish Sheth			
0984	3	Roberta Pianaro	Donna Leon	Roberta Pianaro - Donna Leon			
0990	3	James P. Womack	Daniel T. Jones	James P. Womack - Daniel T. Jones			
1001	3	Conrad Fischer	Sonia Reichert	Conrad Fischer - Sonia Reichert			
1016	3	Henry M. Robert	Sarah Corbin Robert	Henry M. Robert - Sarah Corbin Robert			
1026	3	Arthur B. Laffer Ph.D.	Stephen Moore	Arthur B. Laffer Ph.D. - Stephen Moore			
1033	3	Derald Wing Sue	David Sue	Derald Wing Sue - David Sue			
1035	3	Dan Kindlon	Michael Thompson	Dan Kindlon - Michael Thompson			
1038	3	P. C. Cast	Kristin Cast	P. C. Cast - Kristin Cast			
1052	3	Peg Dawson	Richard Guare	Peg Dawson - Richard Guare			
1060	3	Kay Thompson	Marc Cheshire	Kay Thompson - Marc Cheshire			
1069	3	Patt Levine M.D.	Michele Bontmpo-Saray	Patt Levine M.D. - Michele Bontmpo-Saray			
1072	3	Rebecca Katz	Mat Edelson	Rebecca Katz - Mat Edelson			
1074	3	Jo Casey	Laura Gilbert	Jo Casey - Laura Gilbert			
1075	3	Lis Wiehl	April Henry	Lis Wiehl - April Henry			
1087	3	Jessica Fletcher	Donald Bain	Jessica Fletcher - Donald Bain			
1090	3	Jack Welch	Suzy Welch	Jack Welch - Suzy Welch			
1121	3	J. D. Robb	Nora Roberts	J. D. Robb - Nora Roberts			
1123	3	Jeanne Houston	James D. Houston	Jeanne Houston - James D. Houston			
1126	3	Daphne du Maurier	Daphne Du Maurier	Daphne du Maurier - Daphne Du Maurier			
1153	3	Dan Armstrong	Dustin Black	Dan Armstrong - Dustin Black			
1157	3	Jay Dobyns	Nils Johnson-Shelton	Jay Dobyns - Nils Johnson-Shelton			
1164	3	Kathleen Deska Pagana	Timothy J. Pagana	Kathleen Deska Pagana - Timothy J. Pagana			
1179	3	Lance Armstrong	Sally Jenkins	Lance Armstrong - Sally Jenkins			
1190	3	Wayne W. Dyer	Kristina Tracy	Wayne W. Dyer - Kristina Tracy			
1192	3	Charlene Li	Josh Bernoff	Charlene Li - Josh Bernoff			
1197	3	Julie Andrews	Emma Walton Hamilton	Julie Andrews - Emma Walton Hamilton			
1212	3	Rick Steves	Pat O'Connor	Rick Steves - Pat O'Connor			
1226	3	Clive Cussler	Dirk Cussler	Clive Cussler - Dirk Cussler			
1228	3	Marissa Cloutier	Eve Adamson	Marissa Cloutier - Eve Adamson			
1236	3	Leland Graham	Frankie Long	Leland Graham - Frankie Long			
1237	3	Powers	Jennifer Lawler	Powers - Jennifer Lawler			
1243	3	Scott Andrew Selby	Greg Campbell	Scott Andrew Selby - Greg Campbell			
1244	3	Stephen Kendrick	Alex Kendrick	Stephen Kendrick - Alex Kendrick			
1265	3	Rosie O'Donnell	Lois Kam Heymann	Rosie O'Donnell - Lois Kam Heymann			
1282	3	David Zinczenko	Matt Goulding	David Zinczenko - Matt Goulding			
1291	3	Clive Cussler	Jack B. Du Brul	Clive Cussler - Jack B. Du Brul			
1328	3	Michael E. Agnes	Michael Agnes	Michael E. Agnes - Michael Agnes			
1329	3	Wayne W. Dyer	Kristina Tracy	Wayne W. Dyer - Kristina Tracy			
1336	3	Meg Cabot	Allie Finkle	Meg Cabot - Allie Finkle			
1348	3	Robert McEntarffer	Allyson J. Weseley	Robert McEntarffer - Allyson J. Weseley			
1349	3	Ed Brubaker	Matt Fraction	Ed Brubaker - Matt Fraction			
1371	3	Ashley	JaQuavis	Ashley - JaQuavis			
1385	3	Sharon Smith Murray	Emily Slone McKinney	Sharon Smith Murray - Emily Slone McKinney			
1396	3	Cherie Currie	Tony O'Neill	Cherie Currie - Tony O'Neill			
1400	3	Annabelle Gurwitch	Jeff Kahn	Annabelle Gurwitch - Jeff Kahn			
1413	3	Carol Ann Tomlinson	Jay McTighe	Carol Ann Tomlinson - Jay McTighe			
1418	3	Jim Collins	Jerry I. Porras	Jim Collins - Jerry I. Porras			
1419	3	James Cameron	Benjamin Harper	James Cameron - Benjamin Harper			
1424	3	Elizabeth Warren	Amelia Warren Tyagi	Elizabeth Warren - Amelia Warren Tyagi			
1449	3	Anthony Bourdain	Breaulove Swells Whimsy	Anthony Bourdain - Breaulove Swells Whimsy			
1464	3	Nancy L. Mace	Peter V. Rabins	Nancy L. Mace - Peter V. Rabins			
1477	3	Adele Faber	Elaine Mazlish	Adele Faber - Elaine Mazlish			
1482	3	Brian Greene	B. Greene	Brian Greene - B. Greene			
1485	3	James Patterson	Howard Roughan	James Patterson - Howard Roughan			
1501	3	Rodd Wagner	James K. Harter	Rodd Wagner - James K. Harter			
1504	3	Neil Rackham	Rackham	Neil Rackham - Rackham			
1508	3	David Cloud	Greg Jaffe	David Cloud - Greg Jaffe			
1524	3	Maria Wilhelm	Dirk Mathison	Maria Wilhelm - Dirk Mathison			
1528	3	Meg Gulanick	Judith L. Myers	Meg Gulanick - Judith L. Myers			
1544	3	Arthur Benjamin	Michael Shermer	Arthur Benjamin - Michael Shermer			
1546	3	Susan Moss Marks	William A. Hopkins	Susan Moss Marks - William A. Hopkins			
1548	3	Richard Walker	Steve Parker	Richard Walker - Steve Parker			
1549	3	Jessica Fletcher	Donald Bain	Jessica Fletcher - Donald Bain			
1551	3	Benjamin Black	John Banville	Benjamin Black - John Banville			
1567	3	Sharon Lee	Steve Miller	Sharon Lee - Steve Miller			
1570	3	Stan Berenstain	Jan Berenstain	Stan Berenstain - Jan Berenstain			
1577	3	J. D. Robb	Nora Roberts	J. D. Robb - Nora Roberts			
1580	3	Rick Steves	Gene Openshaw	Rick Steves - Gene Openshaw			
1584	3	David Zinczenko	Ted Spiker	David Zinczenko - Ted Spiker			
1596	3	Sal Gilbertie	Larry Sheehan	Sal Gilbertie - Larry Sheehan			
1600	3	John A. Van de Walle	LouAnn H. Lovin	John A. Van de Walle - LouAnn H. Lovin			
1602	3	Mercedes Lackey	James Mallory	Mercedes Lackey - James Mallory			
1610	3	Jean De Brunhoff	Jean de Brunhoff	Jean De Brunhoff - Jean de Brunhoff			
1611	3	Jack Covert	Todd Sattersten	Jack Covert - Todd Sattersten			
1612	3	Sean Stewart	Jordan Weisman	Sean Stewart - Jordan Weisman			
1615	3	Margaret Weis	Tracy Hickman	Margaret Weis - Tracy Hickman			
1618	3	Seuss	Dr. Seuss	Seuss - Dr. Seuss			
1619	3	Nancy Burns	Susan K. Grove	Nancy Burns - Susan K. Grove			
1621	3	Mickey Gill	Cheryl Gill	Mickey Gill - Cheryl Gill			
1623	3	Dave Gaubatz	Paul Sperry	Dave Gaubatz - Paul Sperry			
1634	3	Phil Parham	Amy Parham	Phil Parham - Amy Parham			
1645	3	Patrick R. Delaney CPA, PhD Patrick R.	O. Ray Whittington CPA, PhD O. Ray	Patrick R. Delaney CPA, PhD Patrick R. - O. Ray Whittington CPA, PhD O. Ray			
1650	3	Will Shortz	The New York Times	Will Shortz - The New York Times			
1653	3	Rick Riordan	Leah Wilson	Rick Riordan - Leah Wilson			
1657	3	J. D. Robb	Nora Roberts	J. D. Robb - Nora Roberts			
1661	3	Sharon Tyler Herbst	Ron Herbst	Sharon Tyler Herbst - Ron Herbst			
1675	3	Kern Alexander	M. David Alexander	Kern Alexander - M. David Alexander			
1687	3	Heidi Murkoff	Sharon Mazel	Heidi Murkoff - Sharon Mazel			
1697	3	Tony DiTerlizzi	Holly Black	Tony DiTerlizzi - Holly Black			
1702	3	Francisco Jimenez	Jimenez	Francisco Jimenez - Jimenez			
1706	3	J. D. Robb	Nora Roberts	J. D. Robb - Nora Roberts			
1732	3	Anthony Robbins	Robbins	Anthony Robbins - Robbins			
1733	3	Esther Hicks	Jerry Hicks	Esther Hicks - Jerry Hicks			
1735	3	Lise Friedman	Ceil Friedman	Lise Friedman - Ceil Friedman			
1749	3	Good Housekeeping	Susan Westmoreland	Good Housekeeping - Susan Westmoreland			
1750	3	Wendy Mullin	Eviana Hartman	Wendy Mullin - Eviana Hartman			
1757	3	John P. Kotter	Dan S. Cohen	John P. Kotter - Dan S. Cohen			
1787	3	Douglas Preston	Lincoln Child	Douglas Preston - Lincoln Child			
1791	3	Stan Berenstain	Jan Berenstain	Stan Berenstain - Jan Berenstain			
1795	3	Tera Patrick	Carrie Borzillo	Tera Patrick - Carrie Borzillo			
1798	3	Forrest Griffin	Erich Krauss	Forrest Griffin - Erich Krauss			
1803	3	Mark Sisson	Jennifer Meier	Mark Sisson - Jennifer Meier			
1815	3	George Bernard Shaw	James Hynes	George Bernard Shaw - James Hynes			
1816	3	College Board	Robin O'callaghan	College Board - Robin O'callaghan			
1829	3	Gabrielle Zevin	Alison McGhee	Gabrielle Zevin - Alison McGhee			
1848	3	Anonymous	George Stade	Anonymous - George Stade			
1850	3	Jack Canfield	D.D. Watkins	Jack Canfield - D.D. Watkins			
1851	3	Susan B. O'Sullivan	Thomas J. Schmitz	Susan B. O'Sullivan - Thomas J. Schmitz			
1854	3	Frances Hodgson Burnett	Scott McKowen	Frances Hodgson Burnett - Scott McKowen			
1856	3	Dick Morris	Eileen McGann	Dick Morris - Eileen McGann			
1870	3	Clive Cussler	Jack Du Brul	Clive Cussler - Jack Du Brul			
1873	3	Nancy Holder	Debbie Viguie	Nancy Holder - Debbie Viguie			
1885	3	Anne Rice	A. N. Roquelaure	Anne Rice - A. N. Roquelaure			
1906	3	Mark D. Sanders	Tia Sillers-Purcell	Mark D. Sanders - Tia Sillers-Purcell			
1923	3	Betty Crocker Editors	Betty Crocker	Betty Crocker Editors - Betty Crocker			
1924	3	Amy Nebens	Greg Stadler	Amy Nebens - Greg Stadler			
1925	3	Emma McLaughlin	Nicola Kraus	Emma McLaughlin - Nicola Kraus			
1929	3	Robert Louis Stevenson	D. Ed. Stevenson	Robert Louis Stevenson - D. Ed. Stevenson			
1937	3	Gail Reichlin	Caroline Winkler	Gail Reichlin - Caroline Winkler			
1953	3	John Wooden	Steve Jamison	John Wooden - Steve Jamison			
1959	3	Steve Schapiro	Paul Duncan	Steve Schapiro - Paul Duncan			
1967	3	Tony DiTerlizzi	Holly Black	Tony DiTerlizzi - Holly Black			
1969	3	Wendy Wax	Naomi Wax	Wendy Wax - Naomi Wax			
1971	3	Aimee Thurlo	David Thurlo	Aimee Thurlo - David Thurlo			
1975	3	Barry Z. Posner	James M. Kouzes	Barry Z. Posner - James M. Kouzes			
1985	3	Brian A. Hall	Robert C. Chantigian	Brian A. Hall - Robert C. Chantigian			
1986	3	J. D. Robb	Nora Roberts	J. D. Robb - Nora Roberts			
1997	3	R. A. Salvatore	Andrew Dabb	R. A. Salvatore - Andrew Dabb			
1998	3	Tor Books	Various	Tor Books - Various			
0000	1	David Nicholls					
0001	1	Gena Showalter					
0002	1	M. Stanton Evans					
0003	1	Carmindy					
0004	1	Ishmael Beah					
0005	1	Claire LaZebnik					
0008	1	Peter A. Lillback					
0009	1	Jenna Blum					
