book	abebooks	author						
0196	3	Ellis Weiner	Barbara Davilman	Ellis Weiner - Barbara Davilman				
0197	3	Patrick Tam	Patrick T. Tam	Patrick Tam - Patrick T. Tam				
0199	3	Edward Gorey	Karen Wilkin	Edward Gorey - Karen Wilkin				
0203	3	Alan Cook	Alan H. Cook	Alan Cook - Alan H. Cook				
0204	3	Thich Nhat Hanh	Fred Eppsteiner	Thich Nhat Hanh - Fred Eppsteiner				
0212	3	Sylvie Matton	Tamsin Black	Sylvie Matton - Tamsin Black				
0219	3	Greg Mortenson	David Oliver Relin	Greg Mortenson - David Oliver Relin				
0221	3	Joyce Hifler	Joyce Sequichie Hifler	Joyce Hifler - Joyce Sequichie Hifler				
0238	3	Gilles Deleuze	Felix Guattari	Gilles Deleuze - Felix Guattari				
0239	3	Nassim Taleb	Nassim Nicholas Taleb	Nassim Taleb - Nassim Nicholas Taleb				
0298	3	John Sandford	John Sanford	John Sandford - John Sanford				
0359	3	Astrid Lindgren	Alfred Lindgren	Astrid Lindgren - Alfred Lindgren				
0370	3	David Foster Wallace	Little Brown & Co	David Foster Wallace - Little Brown & Co				
0377	3	Herbert F. Solow	Robert H. Justman	Herbert F. Solow - Robert H. Justman				
0378	3	Irma S. Rombauer	Marion Rombauer Becker	Irma S. Rombauer - Marion Rombauer Becker				
0392	3	Udo MacHat	Cal Brown	Udo MacHat - Cal Brown				
0407	3	Eric Flint	David Drake	Eric Flint - David Drake				
0409	3	Barbara Ann Brennan	Thomas J. Schneider	Barbara Ann Brennan - Thomas J. Schneider				
0443	3	Chuck Yeager	Leo Janos	Chuck Yeager - Leo Janos				
0482	3	Charles Addams	Wilfrid Sheed	Charles Addams - Wilfrid Sheed				
0508	3	Stephen King	Peter Straub	Stephen King - Peter Straub				
0514	3	James Segrest	Mark Hoffman	James Segrest - Mark Hoffman				
0515	3	Bob Frissell	Brett Lilly	Bob Frissell - Brett Lilly				
0526	3	Charles Bonnet	Dominique Valbelle	Charles Bonnet - Dominique Valbelle				
0536	3	Not Available	Joel Henry	Not Available - Joel Henry				
0556	3	Henning Mankell	Steven T. Murray	Henning Mankell - Steven T. Murray				
0560	3	Hal A. Huggins	Thomas E. Levy	Hal A. Huggins - Thomas E. Levy				
0562	3	David B. Currie	David Currie	David B. Currie - David Currie				
0576	3	Hiromi Peterson	Naomi Omizo	Hiromi Peterson - Naomi Omizo				
0587	3	Howard K. Bloom	Howard Bloom	Howard K. Bloom - Howard Bloom				
0589	3	Don Gossett	E. W. Kenyon	Don Gossett - E. W. Kenyon				
0599	3	Paul Clark	Julian Freeman	Paul Clark - Julian Freeman				
0615	3	Brian Tracy	Ron Arden	Brian Tracy - Ron Arden				
0623	3	Peter Marshall	David Manuel	Peter Marshall - David Manuel				
0649	3	John McPhee	John A. McPhee	John McPhee - John A. McPhee				
0652	3	Raymond Coppinger	Lorna Coppinger	Raymond Coppinger - Lorna Coppinger				
0662	3	Gore Vidal	Random House	Gore Vidal - Random House				
0674	3	Judy Jones	William Wilson	Judy Jones - William Wilson				
0689	3	Jacques Barzun	Wendell Hertig Taylor	Jacques Barzun - Wendell Hertig Taylor				
0714	3	Marianna Shreve Simpson	Massumeh Farhad	Marianna Shreve Simpson - Massumeh Farhad				
0758	3	B. E. Thiering	Barbara Thiering	B. E. Thiering - Barbara Thiering				
0763	3	Joe Trippi	Jess Walter	Joe Trippi - Jess Walter				
0818	3	Timothy V. Rasinski	Belinda S. Zimmerman	Timothy V. Rasinski - Belinda S. Zimmerman				
0824	3	Margaret Drabble	Paul Harvey	Margaret Drabble - Paul Harvey				
0825	3	Michael Baigent	Richard Leigh	Michael Baigent - Richard Leigh				
0848	3	Dan Davin	Daniel Marcus Davin	Dan Davin - Daniel Marcus Davin				
0862	3	Jose Saramago	Margaret Jull Costa	Jose Saramago - Margaret Jull Costa				
0867	3	Jan T. Gross	Jan Tomasz Gross	Jan T. Gross - Jan Tomasz Gross				
0878	3	Larry Long	Nancy Long	Larry Long - Nancy Long				
0879	3	Jean Burt Polhamus	Steve O'Neill	Jean Burt Polhamus - Steve O'Neill				
0891	3	Charles D. Kirkpatrick	Julie R. Dahlquist	Charles D. Kirkpatrick - Julie R. Dahlquist				
0907	3	Jon W. Mark	Weihua Zhuang	Jon W. Mark - Weihua Zhuang				
0916	3	Robert T. Kiyosaki	Sharon L. Lechter	Robert T. Kiyosaki - Sharon L. Lechter				
0981	3	P. D. Eastman	Philip D. Eastman	P. D. Eastman - Philip D. Eastman				
0986	3	Stan Berenstain	Jan Berenstain	Stan Berenstain - Jan Berenstain				
1026	3	William Shakespeare	Rex Gibson	William Shakespeare - Rex Gibson				
1036	3	Clayton R. Koppes	Gregory D. Black	Clayton R. Koppes - Gregory D. Black				
1042	3	Robert Darnton	Daniel Roche	Robert Darnton - Daniel Roche				
1055	3	Fred Beckey	Fred W. Beckey	Fred Beckey - Fred W. Beckey				
1078	3	Joe Vitale	Jo Han Mok	Joe Vitale - Jo Han Mok				
1087	3	Donald Gross	Carl M. Harris	Donald Gross - Carl M. Harris				
1136	3	Yaron Svoray	Nick Taylor	Yaron Svoray - Nick Taylor				
1159	3	Katharine Kerr	Katharaine Kerr	Katharine Kerr - Katharaine Kerr				
1162	3	Dan Simmons	Homer	Dan Simmons - Homer				
1176	3	Amitav Ghosh	Avon Books	Amitav Ghosh - Avon Books				
1209	3	Elaine Nicpon Marieb	Susan J. Mitchell	Elaine Nicpon Marieb - Susan J. Mitchell				
1236	3	Buzz Aldrin	John Barnes	Buzz Aldrin - John Barnes				
1251	3	Anatoli Boukreev	G. Weston Dewalt	Anatoli Boukreev - G. Weston Dewalt				
1252	3	James Herriot	Ruth Brown	James Herriot - Ruth Brown				
1256	3	Harry Browne	Prelude Pr	Harry Browne - Prelude Pr				
1265	3	John M. Marzluff	Tony Angell	John M. Marzluff - Tony Angell				
1267	3	P. R. Roosevelt	Priscilla Roosevelt	P. R. Roosevelt - Priscilla Roosevelt				
1295	3	Harry Nimmo	Harry Arlo Nimmo	Harry Nimmo - Harry Arlo Nimmo				
1298	3	Anne Van Cutsem	Mauro Magliani	Anne Van Cutsem - Mauro Magliani				
1303	3	Juan Valera	Enrique Rubio Cremades	Juan Valera - Enrique Rubio Cremades				
1307	3	Carlo Starnazzi	Carlo Pedretti	Carlo Starnazzi - Carlo Pedretti				
1308	3	Ivan Lansberg	Alicia Merli	Ivan Lansberg - Alicia Merli				
1318	3	Sei Shonagon	Ivan I. Morris	Sei Shonagon - Ivan I. Morris				
1322	3	Raymond Masse	Jean Benoist	Raymond Masse - Jean Benoist				
1323	3	Nick Maxwell	Nicolas Maxwell	Nick Maxwell - Nicolas Maxwell				
1325	3	Joel Blanchard	Jean-Claude Muhlethaler	Joel Blanchard - Jean-Claude Muhlethaler				
1327	3	Harley Brown	Lewis Barrett Lehrman	Harley Brown - Lewis Barrett Lehrman				
1331	3	Claude Geffre	Gwendoline Jarczyk	Claude Geffre - Gwendoline Jarczyk				
1385	3	Addison, Paul	Crang, Jeremy	Addison, Paul - Crang, Jeremy				
1391	3	Jim Hughes	William Henry Jackson	Jim Hughes - William Henry Jackson				
1392	3	Robin Butler	Gillian Walkling	Robin Butler - Gillian Walkling				
1400	3	Tilahun Kebebe	Daniel Aboye Aberra	Tilahun Kebebe - Daniel Aboye Aberra				
1413	3	Nassim Taleb	Nassim Nicholas Taleb	Nassim Taleb - Nassim Nicholas Taleb				
1416	3	Society for Human Resource Management (U.S.)	Towers Perrin	Society for Human Resource Management (U.S.) - Towers Perrin				
1426	3	Bruce Wilkinson	David Kopp	Bruce Wilkinson - David Kopp				
1432	3	Randy C. Alcorn	Randy Alcorn	Randy C. Alcorn - Randy Alcorn				
1441	3	Nhat Hanh	Thich Nhat Hanh	Nhat Hanh - Thich Nhat Hanh				
1445	3	Jeffrey Alford	Naomi Duguid	Jeffrey Alford - Naomi Duguid				
1452	3	Barbara Hand Clow	Gerry Clow	Barbara Hand Clow - Gerry Clow				
1474	3	Edgar Stoesz	Edqar Stoesz	Edgar Stoesz - Edqar Stoesz				
1477	3	Wolfgang Hirschfeld	Geoffrey Brooks	Wolfgang Hirschfeld - Geoffrey Brooks				
1479	3	Ted Coleman	Robert Wenkam	Ted Coleman - Robert Wenkam				
1505	3	Brian Kelly	Daniel Francis	Brian Kelly - Daniel Francis				
1508	3	John Bridges	Bryan Curtis	John Bridges - Bryan Curtis				
1509	3	Victor Davis Hanson	Victor Hanson	Victor Davis Hanson - Victor Hanson				
1511	3	Henning Mankell	Ebba Segerberg	Henning Mankell - Ebba Segerberg				
1523	3	Robin S. Sharma	Robin Sharma	Robin S. Sharma - Robin Sharma				
1535	3	Fredric H. Jones	Frederic H. Jones	Fredric H. Jones - Frederic H. Jones				
1550	3	Estill Curtis Pennington	James C. Kelly	Estill Curtis Pennington - James C. Kelly				
1563	3	Michael Haren	Yolande de Pontfarcy	Michael Haren - Yolande de Pontfarcy				
1565	3	Harvey Cox	Harvey Gallagher Cox	Harvey Cox - Harvey Gallagher Cox				
1570	3	Lee D. Miller	F. Martin Brown	Lee D. Miller - F. Martin Brown				
1581	3	Meir Ben Dov	Yoel Rappel	Meir Ben Dov - Yoel Rappel				
1599	3	Peter Stafford	Jeremy Bigwood	Peter Stafford - Jeremy Bigwood				
1604	3	Mollie Katzen	Moosewood Restaurant	Mollie Katzen - Moosewood Restaurant				
1605	3	Julee Rosso	Sheila Lukins	Julee Rosso - Sheila Lukins				
1609	3	Girl Scouts of the United States of America	Karen Unger Sparks	Girl Scouts of the United States of America - Karen Unger Sparks				
1614	3	Stephen A. Bly	Stephen Bly	Stephen A. Bly - Stephen Bly				
1628	3	Wolfram George Schmid	W. George Schmid	Wolfram George Schmid - W. George Schmid				
1631	3	Ralph R. Kylloe	Ralph Kylloe	Ralph R. Kylloe - Ralph Kylloe				
1633	3	Jon Sobrino	Ignacio Ellacuria	Jon Sobrino - Ignacio Ellacuria				
1635	3	Zsuzsanna Palko	Linda Degh	Zsuzsanna Palko - Linda Degh				
1641	3	H. P. Lovecraft	Joyce Carol Oates	H. P. Lovecraft - Joyce Carol Oates				
1657	3	Robert S. Kaplan	David P. Norton	Robert S. Kaplan - David P. Norton				
1665	3	Tim F. Flannery	Peter Schouten	Tim F. Flannery - Peter Schouten				
1682	3	Susan Bagdade	Al Bagdade	Susan Bagdade - Al Bagdade				
1683	3	Kazuo Nishi	Kazuo Hozumi	Kazuo Nishi - Kazuo Hozumi				
1697	3	Ivan Lux	Laszlo Koblinger	Ivan Lux - Laszlo Koblinger				
1753	3	Roberto Bolano	Chris Andrews	Roberto Bolano - Chris Andrews				
1757	3	Julia Meech-Pekarik	Julia Meech	Julia Meech-Pekarik - Julia Meech				
1773	3	Omohundro Institute of Early American History & Culture	Va.) Institute of Early American History and Culture (Williamsburg	Omohundro Institute of Early American History & Culture - Va.) Institute of Early American History and Culture (Williamsburg				
1814	3	Alma Hogan Snell	Becky Matthews	Alma Hogan Snell - Becky Matthews				
1815	3	Keith Burns	Ronald V. Borst	Keith Burns - Ronald V. Borst				
1825	3	J.-M. G. Le Clezio	C. Dickson	J.-M. G. Le Clezio - C. Dickson				
1829	3	Jason Baird Jackson	Jason Baird (AFT) Jackson	Jason Baird Jackson - Jason Baird (AFT) Jackson				
1849	3	Christian E. Hauer	William A. Young	Christian E. Hauer - William A. Young				
1868	3	Ron Silver	Jen Bervin	Ron Silver - Jen Bervin				
1869	3	Robert Craig Brown	Ramsay Cook	Robert Craig Brown - Ramsay Cook				
1875	3	Nancy Schiffer	Schiffer Pub	Nancy Schiffer - Schiffer Pub				
1877	3	Brian Herbert	Kevin J. Anderson	Brian Herbert - Kevin J. Anderson				
1878	3	Thomas V. Morris	Tom Morris	Thomas V. Morris - Tom Morris				
1916	3	Doris Haggis-On-Whey	Benny Haggis-On-Whey	Doris Haggis-On-Whey - Benny Haggis-On-Whey				
1919	3	Elisabeth Kubler-Ross	David Kessler	Elisabeth Kubler-Ross - David Kessler				
1929	3	Duffy, Carol Ann	Moore, Clement C.	Duffy, Carol Ann - Moore, Clement C.				
1941	3	Thomas Senior	Cindy Senior	Thomas Senior - Cindy Senior				
1948	3	Toni Morrison	Slade Morrison	Toni Morrison - Slade Morrison				
1967	3	Vicki Myron	Bret Witter	Vicki Myron - Bret Witter				
1972	3	Ray Bradbury	Sam Weller	Ray Bradbury - Sam Weller				
1973	3	Dick Morris	EILEEN MCGANN	Dick Morris - EILEEN MCGANN				
1974	3	Dick Morris	EILEEN MCGANN	Dick Morris - EILEEN MCGANN				
1995	3	John Grogan	Susan Hill	John Grogan - Susan Hill				
1996	3	Robert Boyd Munger	Carolyn Nystrom	Robert Boyd Munger - Carolyn Nystrom				
0002	1	Stephanie Pearl-McPhee						
0003	1	Stephenie Meyer						
0004	1	Obama, Barack						
0005	1	Lynne Truss						
0006	1	William Ayers						
0007	1	Clay Shirky						
0008	1	Meyer, Stephenie						
0010	1	Glenn Beck						
0011	1	Michael E. Gerber						
0012	1	John C. Maxwell						
0014	1	Cormac McCarthy						
0015	1	Rhonda Byrne						
0016	1	Sue Monk Kidd						
0017	1	David Wroblewski						
0018	1	Roger Deakin						
0019	1	Nicholas A. Basbanes						
0020	1	Mak, Geert						
0022	1	Dan Brown						
0023	1	Mark Virkler						
0024	1	Daniel L. Everett						
0025	1	Mary Osborne						
0026	1	Margaret J. Wheatley						
0027	1	David Allen						
0028	1	J. K. Rowling						
0030	1	Martha Whitmore Hickman						
0031	1	Hillary Rodham Clinton						
0032	1	Robert W. Wendover						
0033	1	Betty J. Eadie						
0034	1	Francine Rivers						
0035	1	Thich Nhat Hanh						
0036	1	Charles Capps						
0037	1	Mitch Albom						
0038	1	Jon Krakauer						
0040	1	Learning Express						
0041	1	Leonard Cohen						
0043	1	Michael Connelly						
0044	1	Gerald Brommer						
0045	1	Betty J. Eadie						
0046	1	Beth Gates Warren						
0047	1	John Gray						
0048	1	Nicholas Sparks						
0050	1	Diana Gabaldon						
0051	1	Betty J. Eadie						
0052	1	David Halberstam						
0053	1	Neil Strauss						
0054	1	Nelson Demille						
0055	1	Umberto Eco						
0056	1	Malcolm Gladwell						
0057	1	Friends in Recovery						
0058	1	Meyer, Stephenie						
0059	1	Barbara Brackman						
0060	1	Neal Stephenson						
0061	1	William Faulkner						
0062	1	Joyce Meyer						
0063	1	J. I. Rodale						
0064	1	Paul E. Little						
0065	1	Michael Lewis						
0066	1	Peter Matthiessen						
0068	1	Joyce Meyer						
0069	1	Douglas Coupland						
0070	1	Vince Flynn						
0071	1	Steve Watkins						
0072	1	Anne Byrn						
0073	1	Harry K. Wong						
0074	1	Jimmy Carter						
0075	1	Margaret T. Jensen						
0076	1	Brown, Derren						
0077	1	Bill O'Reilly						
0078	1	Philipp Keel						
0079	1	Reader's Digest Editors						
0080	1	Bob Dylan						
0081	1	Rawi Hage						
0082	1	Michael E. Porter						
0083	1	Smith, Delia						
0084	1	Susan Casey						
0085	1	Mark Doty						
0086	1	Leon Uris						
0087	1	Irvin D. Yalom						
0088	1	Dennis Lehane						
0089	1	Nelson Demille						
0091	1	John Miller						
0092	1	Nelson Demille						
0093	1	Ian Rankin						
0094	1	Rabb, Theodore K.						
0096	1	Michel De Certeau						
0097	1	Niffenegger, Audrey						
0098	1	Milans Kundera						
0099	1	Richard Paul Evans						
0100	1	Max Lucado						
0101	1	Muhammad Yunus						
0102	1	Faulks, Sebastian						
0103	1	Peter Matthiessen						
0104	1	Arendt, Hannah						
0105	1	Jeffers, Susan						
0106	1	Richard Lederer						
0107	1	Marilynne Robinson						
0108	1	David Foster Wallace						
0109	1	Edward Behr						
0110	1	Candace Pert						
0111	1	Jacquelyn Mitchard						
0112	1	David Laskin						
0113	1	Salvatore Scibona						
0114	1	Nora Roberts						
0115	1	Smith, Wilbur						
0116	1	Patricia Evans						
0118	1	J. Allen Boone						
0119	1	Kevin Boyle						
0121	1	John Paul Lederach						
0122	1	Neale Donald Walsch						
0124	1	Ruby K. Payne						
0125	1	Noah Andre Trudeau						
0126	1	Richard Harrison Goree						
0127	1	Dalton Fury						
0129	1	Gary J. Stern						
0130	1	James Patterson						
0131	1	Benton L. Bradberry						
0132	1	Tony Judt						
0133	1	Scott Alexander						
0134	1	James Patterson						
0135	1	Henning Mankell						
0136	1	American Educational Research Association						
0137	1	Lipton, Bruce						
0138	1	Junot Diaz						
0139	1	Michael Connelly						
0140	1	Daniel A. Ionazzi						
0141	1	Jerry Bridges						
0142	1	Henrietta C. Mears						
0143	1	Jodi Picoult						
0144	1	Robert R. Prechter						
0145	1	Vince Flynn						
0146	1	Ulrich Steger						
0148	1	Hampton Sides						
0149	1	David Simon						
0150	1	Harlan Coben						
0151	1	Irvin D. Yalom						
0152	1	Robert Rodriguez						
0153	1	Markus Zusak						
0154	1	Ayaan Hirsi Ali						
0155	1	Daniel Silva						
0156	1	Tom Brokaw						
0157	1	E.L. Doctorow						
0158	1	Henri J.M. Nouwen						
0159	1	Clive Ponting						
0160	1	Steven Pressfield						
0161	1	Edmund Morris						
0162	1	John Le Carre						
0163	1	Jo Berry						
0164	1	Karen Kingsbury						
0165	1	Michael Connelly						
0168	1	David G. Myers						
0169	1	Terry Goodkind						
0170	1	Nancy J. Adler						
0171	1	Morgan Scott Peck						
0172	1	Follett, Ken						
0173	1	John M. Barry						
0174	1	Mildred D. Taylor						
0175	1	David Bell						
0176	1	Chelsea Cain						
0177	1	Rafe Esquith						
0178	1	Stephen Coonts						
0179	1	James M. Cain						
0180	1	Stephen E. Ambrose						
0181	1	Clarissa Pinkola Estes						
0182	1	Howard Zinn						
0184	1	John D. North						
0185	1	Richard Parker						
0186	1	Robert A. Johnson						
0188	1	Terry Goodkind						
0189	1	Paulo Coelho						
0190	1	Michael Pollan						
0191	1	W. Timothy Gallwey						
0192	1	Simon Winchester						
0193	1	Amis, Kingsley						
0195	1	Michael Connelly						
0198	1	North, John, Jr.						
0200	1	James M. McPherson						
0201	1	Karen C. Timberlake						
0202	1	Robert Higgs						
0205	1	Francis J. Bremer						
0206	1	Margaret J. Wheatley						
0207	1	Peter Ackroyd						
0208	1	Dava Sobel						
0209	1	Findley, Timothy						
0210	1	William Sleator						
0211	1	Upton Sinclair						
0213	1	Marse, Juan						
0214	1	James, Clive						
0215	1	Tom Bodett						
0216	1	Oswald Spengler						
0217	1	Sigmund Freud						
0218	1	Ivan Doig						
0220	1	John Steinbeck						
0222	1	Neale Donald Walsch						
0223	1	Kershaw, Ian						
0224	1	Paul Stamets						
0225	1	Studs Terkel						
0226	1	Fenelon						
0227	1	American Diabetes Association						
0228	1	Michelle Bevilacqua						
0229	1	John W. Creswell						
0230	1	Sandra Brown						
0232	1	Karl Iglesias						
0233	1	Khaled Hosseini						
0234	1	Joan Nestle						
0235	1	Chris Kuzneski						
0236	1	Bathroom Reader Institute						
0237	1	Pema Chodron						
0240	1	Florence Scovel Shinn						
0242	1	Mary Douglas						
0243	1	Jeff Markell						
0245	1	Candace Bushnell						
0246	1	Thomas Pynchon						
0247	1	Chuck Dean						
0248	1	Lewis Meyer						
0249	1	Shawn C. Shea						
0250	1	Gary Kinder						
0251	1	James Lee Burke						
0252	1	Jim Harrison						
0253	1	John Canemaker						
0254	1	C. Peter Wagner						
0255	1	Dan Brown						
0256	1	Winston Groom						
0257	1	John K. Singlaub						
0258	1	Bourdain, Anthony						
0259	1	Simon Schama						
0260	1	Peggy Noonan						
0261	1	Vince Flynn						
0262	1	Erving Goffman						
0263	1	Frank McCourt						
0264	1	Richard Preston						
0265	1	Nicholas Lore						
0266	1	Richard Paul Evans						
0267	1	Welsh, Irvine						
0268	1	Dare Wright						
0269	1	Alan Tucker						
0270	1	Tom Stoppard						
