url,name,dob,pob
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617360.html,Scott Redding,04/Jan/1993,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617362.html,Michael Laverty,07/Jun/1981,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617363.html,Cal Crutchlow,29/Oct/1985,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617364.html,Nicky Hayden,30/Jul/1981,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617365.html,Yonny Hernandez,25/Jul/1988,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617366.html,Stefan Bradl,29/Nov/1989,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617367.html,Valentino Rossi,16/Feb/1979,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617510.html,Freddie Spencer,,Shreveport
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617515.html,Giacomo Agostini,16/Jun/1942,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617520.html,Geoff Duke,29/Mar/1923,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617768.html,Dan Linfoot,,Horragate
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617774.html,Alex Debon,,Castellón
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617795.html,Mika Kallio,08/Nov/1982,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617799.html,Gabor Talmacsi,,Budapest
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617805.html,Chris Vermeulen,,Brisbane
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617809.html,Marco Melandri,,Ravenna
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617814.html,Casey Stoner,16/Oct/1985,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617818.html,Randy De Puniet,,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617820.html,Ben Spies,,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617827.html,James Ellison,,Kendal
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617829.html,David Salom,,Palma de Mallorca
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617836.html,Loris Capirossi,,Bologna
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617853.html,Sete Gibernau,,Barcelona
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617869.html,Ivan Silva,,Barcelona
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617879.html,Toni Elias,,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617884.html,James Toseland,,Sheffield
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617899.html,Mattia Pasini,13/Aug/1985,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617903.html,Jonathan Rea,02/Feb/1987,Larne
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617912.html,Dario Giuseppetti,01/Mar/1985,Berlin
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617917.html,Simone Corsi,24/Apr/1987,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617922.html,Gino Borsoi,11/Mar/1974,Motto di Livenza
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617932.html,Lucio Cecchinello,,Venezia
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617935.html,Christian Pistoni,30/May/1980,Reggide
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626295.html,Phil Read,01/Jan/1939,Luton
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626300.html,Kenny Roberts,31/Dec/1951,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626304.html,Mike Hailwood,02/Apr/1940,Great Milton
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626309.html,Anton Mang,29/Sep/1949,Inning
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626315.html,Wayne Rainey,23/Oct/1960,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626318.html,Carlo Ubbiali,24/Sep/1929,Bergamo
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626322.html,Jarno Saarinen,11/Dec/1945,Turku
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626325.html,Angel Nieto,25/Jan/1947,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626331.html,Mick Doohan,04/Jun/1965,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626335.html,Eddie Lawson,11/Mar/1958,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626339.html,Barry Sheene,11/Sep/1950,London
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626341.html,Wayne Gardner,11/Oct/1959,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626364.html,Kevin Schwantz,19/Jun/1964,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626373.html,Jim Redman,08/Nov/1931,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626380.html,John Surtees,11/Feb/1934,Tatsfield
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626383.html,Daijiro Kato,04/Jul/1976,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626584.html,Alex Marquez,23/Apr/1996,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626586.html,Philipp Oettl,03/May/1996,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626592.html,Jack Miller,18/Jan/1995,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626594.html,Karel Hanika,,Karel Hanika
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626597.html,Efren Vazquez,02/Sep/1986,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626599.html,Gabriel Ramos,,Gabriel Ramos
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626602.html,Brad Binder,11/Aug/1995,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626606.html,Livio Loi,27/Apr/1997,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626608.html,Francesco Bagnaia,14/Jan/1997,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626611.html,Alex Rins,08/Dec/1995,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626613.html,Romano Fenati,15/Jan/1996,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626616.html,Niklas Ajo,10/Jul/1994,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626620.html,Arthur Sissis,15/Jun/1995,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626624.html,John Mcphee,14/Jul/1994,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626626.html,Niccolò Antonelli,23/Feb/1996,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626631.html,Alexis Masbou,02/Jun/1987,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626632.html,Luca Grunwald,,Luca Grunwald
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626638.html,Andrea Locatelli,,Andrea Locatelli
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626640.html,Jules Danilo,,Jules Danilo
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626642.html,Jakub Kornfeil,08/Apr/1993,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626647.html,Danny Kent,25/Nov/1993,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626650.html,Miguel Oliveira,04/Jan/1995,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626651.html,Matteo Ferrari,12/Feb/1997,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626653.html,Bryan Schouten,,Bryan Schouten
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626657.html,Eric Granado,10/Jun/1996,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626660.html,Hafiq Azmi,,Hafiq Azmi
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626664.html,Juanfran Guevara,19/Aug/1995,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626668.html,Zulfahmi Khairuddin,20/Oct/1991,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626671.html,Alessandro Tonucci,23/Apr/1993,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626680.html,Alessandro Nocco,,Alessandro Nocco
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626683.html,Thitipong Warokorn,,Thitipong Warokorn
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626686.html,Robin Mulhauser,,Robin Mulhauser
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626690.html,Julian Simon,03/Apr/1987,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626694.html,Maverick Viñales,12/Jan/1995,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626701.html,Thomas Luthi,06/Sep/1986,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626704.html,Sam Lowes,,Sam Lowes
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626708.html,Luis Salom,07/Aug/1991,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626712.html,Takaaki Nakagami,09/Feb/1992,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626715.html,Gino Rea,,Gino Rea
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626719.html,Alex De Angelis,26/Feb/1984,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626725.html,Marcel Schrotter,02/Jan/1993,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626728.html,Nicolas Terol,27/Sep/1988,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626731.html,Randy Krummenacher,24/Feb/1990,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626735.html,Dominique Aegerter,30/Sep/1990,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626737.html,Hafizh Syahrin,,Hafizh Syahrin
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626740.html,Jordi Torres,27/Aug/1987,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626743.html,Esteve Rabat,25/May/1989,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626746.html,Jonas Folger,13/Aug/1993,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626750.html,Azlan Shah,,Azlan Shah
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626752.html,Kohta Nozane,,Kohta Nozane
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626756.html,Lorenzo Baldassarri,06/Nov/1996,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626759.html,Axel Pons,09/Apr/1991,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626763.html,Louis Rossi,23/Jun/1989,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626767.html,Sandro Cortese,06/Jan/1990,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626771.html,Johann Zarco,16/Jul/1990,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626774.html,Alex Mariñelarena,,Alex Mariñelarena
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626776.html,Xavier Simeon,31/Aug/1989,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/626778.html,Josh Herrin,,Josh Herrin
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658248.html,William De Angelis,20/Jun/1981,Rimini
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658251.html,Eric Bataille,18/Apr/1981,Andorra
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658254.html,Joan Olive,,Tarragona
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658257.html,Gaspare Caffiero,23/May/1976,Roma
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658259.html,Angel Rodriguez,,Elche
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658260.html,Jarno Müller,06/Jan/1979,Limbach-Oberfrohna
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658262.html,Adrian Araujo,14/Aug/1981,Barcelona
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658265.html,Steve Jenkner,31/May/1976,Lichtenstein
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658275.html,Noboru Ueda,,Aichi
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658279.html,Angel Nieto Jr.,19/Nov/1976,Madrid
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658288.html,Lukas Pesek,,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658292.html,Hugo Van Den Berg,23/May/1990,Hulshorst
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658295.html,Roberto Tamburini,,Rivazzurra
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658298.html,Joey Litjens,,Venray
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658301.html,Dino Lombardi,,Benevento
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658308.html,Raffaele De Rosa,,Napoli
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658310.html,Nico Vivarelli,30/Aug/1986,Grosseto
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658313.html,Clement Dunikowski,11/Feb/1991,dans la Somme
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658315.html,Hiroaki Kuzuhara,14/Jun/1983,Tokushima
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658321.html,Lorenzo Zanetti,,Brescia
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658330.html,Hector Faubel,,Llíria
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658335.html,Imre Toth,,Budapest
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658341.html,Pablo Nieto,,Madrid
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658344.html,Michele Conti,03/Jul/1983,Lecco
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658347.html,Sergio Gadea,,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658349.html,Manuel Hernandez,,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658352.html,John Hopkins,,Ramona
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658357.html,Doni Tata Pradita,,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658361.html,Fabrizio Lai,,Rho
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658363.html,Russel Gomez,17/Nov/1987,Barcelona
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658369.html,Ralf Waldmann,14/Jul/1966,Hagen
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658372.html,Raul Jara,17/Apr/1980,St. Boi Llobregat
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658376.html,Haruchika Aoki,,Gumma
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658379.html,Henk Vd Lagemaat,13/Nov/1968,Schoonkewoerd
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658382.html,Leon Haslam,31/May/1983,Derbyshire
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658387.html,Hugo Marchand,22/Apr/1981,Perigny
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658391.html,Julian Miralles,18/Sep/1965,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658395.html,Raymond Schouten,15/Mar/1985,Waardhuizen
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658398.html,David Bonache,21/Sep/1983,Librilla
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658402.html,Michele Pirro,,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658405.html,Mateo Tunez,21/Nov/1989,Navarres
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658413.html,Stefano Perugini,,Viterbo
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658417.html,Federico Sandi,,Voghera
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658422.html,Claudio Corti,,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658425.html,Damian Cudlin,,Sydney
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658430.html,Michel Fabrizio,17/Sep/1984,Roma
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658435.html,Stefano Bianco,,Chivasso
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658439.html,Robbin Harms,09/Jun/1981,Copenhagen
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658443.html,Max Sabbatani,04/Aug/1975,Forli
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658446.html,Simone Sanna,,Firenze
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658450.html,Norick Abe,,Tokyo
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658452.html,Andrew Pitt,19/Feb/1976,Kempsey
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658454.html,Troy Bayliss,30/Mar/1969,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658457.html,Tamaki Serizawa,28/Sep/1972,Saitama
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658460.html,Olivier Jacque,,Villerupt
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658463.html,Aitor Rodriguez,,Alcarcón
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658466.html,Valentin Debise,,Albi
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658469.html,Shoya Tomizawa,,Chiba
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658472.html,Makoto Tamada,,Ehime
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658474.html,Ryuichi Kiyonari,23/Sep/1982,Kawagoe
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658478.html,Garry Mccoy,18/Apr/1972,Sydney
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658482.html,Alex Barros,18/Oct/1970,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658484.html,Shane Byrne,,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658487.html,Alex Hofmann,,Mindelheim
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658492.html,Max Biaggi,26/Jun/1971,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658496.html,Kenny Roberts Jr,,Mountain View
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658499.html,Tohru Ukawa,,Chiba
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658504.html,Gianluigi Scalvini,,Brescia
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658508.html,Reinhard Stolz,22/Jan/1976,Prein/Chiemsee
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658512.html,Jaroslav Hules,02/Jul/1974,Pisek
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/658517.html,Mirko Giansanti,14/Sep/1976,Termi
