movie	yahoo	director			
0629	4	Brummbaer	Jerzy Kular	Satoshi Kitahara	Brummbaer - Jerzy Kular - Satoshi Kitahara
0636	4	Doug Aarniokoski	Joe Dunne	Douglas Aarniokoski	Doug Aarniokoski - Joe Dunne - Douglas Aarniokoski
0660	4	David Zucker	Conrad Palmisano	Robert K. Weiss	David Zucker - Conrad Palmisano - Robert K. Weiss
0675	4	William Wyler	Andrew Marton	Yakima Canutt (II)	William Wyler - Andrew Marton - Yakima Canutt (II)
0678	4	Craig Haagensen (II)	Artie Malesci	Michael Dinner	Craig Haagensen (II) - Artie Malesci - Michael Dinner
0701	4	David Hand	Perce Pearce (II)	William Cottrell (II)	David Hand - Perce Pearce (II) - William Cottrell (II)
0710	4	Peter Farrelly	Bobby Farrelly	Piet Kroon	Peter Farrelly - Bobby Farrelly - Piet Kroon
0785	4	Carlos Saldanha	Chris Wedge	Mark Baldo (II)	Carlos Saldanha - Chris Wedge - Mark Baldo (II)
0787	4	John Eng	John A. Davis	Russell Calabrese	John Eng - John A. Davis - Russell Calabrese
0789	4	Allen Hughes	Albert Hughes	Artur Wooster	Allen Hughes - Albert Hughes - Artur Wooster
0812	4	Robin Budd	Donovan Cook	Ian Harrowell	Robin Budd - Donovan Cook - Ian Harrowell
0815	4	Emmett Malloy	Brendan Malloy	JJ Makaro (II)	Emmett Malloy - Brendan Malloy - JJ Makaro (II)
0838	4	Jack Gill	Tom Dey	E. J. Foerster	Jack Gill - Tom Dey - E. J. Foerster
0930	4	Bibo Bergeron (II)	Vicky Jenson	Rob Letterman	Bibo Bergeron (II) - Vicky Jenson - Rob Letterman
1002	4	Jacques Perrin	Jacques Cluzaud	Michel Debats	Jacques Perrin - Jacques Cluzaud - Michel Debats
1118	4	Satoshi Kon	Shogo Furuya	IDP Films	Satoshi Kon - Shogo Furuya - IDP Films
1382	4	Jill Culton	Roger Allers	Anthony F. Stacchi	Jill Culton - Roger Allers - Anthony F. Stacchi
1703	4	Morgan Spurlock	Rachel Grady	Heidi Ewing	Morgan Spurlock - Rachel Grady - Heidi Ewing
0000	3	Joel Schumacher	Eli Richbourg	Joel Schumacher - Eli Richbourg	
0001	3	Michael Hoffman	Garth Craven	Michael Hoffman - Garth Craven	
0011	3	Hugh Johnson	Billy Burton	Hugh Johnson - Billy Burton	
0014	3	Adam Rifkin	Peter Schink	Adam Rifkin - Peter Schink	
0016	3	Jim Jenkins	Maurice Joyce	Jim Jenkins - Maurice Joyce	
0018	3	Jack Gill	Hugh Wilson	Jack Gill - Hugh Wilson	
0019	3	Ron Howard	Todd Hallowell	Ron Howard - Todd Hallowell	
0020	3	Alexander Payne	George Parra	Alexander Payne - George Parra	
0025	3	Alan Oxman	Todd Solondz	Alan Oxman - Todd Solondz	
0032	3	John Sayles	Sandy McLeod (II)	John Sayles - Sandy McLeod (II)	
0037	3	Carl Franklin	William W. Wilson III	Carl Franklin - William W. Wilson III	
0039	3	Jake Scott	Norris Spencer	Jake Scott - Norris Spencer	
0040	3	Mike Newell	Philip C. Pfeiffer	Mike Newell - Philip C. Pfeiffer	
0044	3	Raoul Ruiz	Halil Ergün	Raoul Ruiz - Halil Ergün	
0045	3	Bob Spiers	Barnaby Thompson	Bob Spiers - Barnaby Thompson	
0050	3	John McTiernan	John Sullivan (IV)	John McTiernan - John Sullivan (IV)	
0066	3	Stuart Baird	Gary Davis (II)	Stuart Baird - Gary Davis (II)	
0069	3	John Fortenberry	Peter Markle	John Fortenberry - Peter Markle	
0080	3	Campbell Scott	Stanley Tucci	Campbell Scott - Stanley Tucci	
0092	3	Gary Capo	Carroll Ballard	Gary Capo - Carroll Ballard	
0101	3	Steve Mirkovich	Jim Gillespie	Steve Mirkovich - Jim Gillespie	
0102	3	Gaspar Noe	Gasper Noe	Gaspar Noe - Gasper Noe	
0105	3	Tom Shadyac	Mickey Gilbert (II)	Tom Shadyac - Mickey Gilbert (II)	
0106	3	Stephen Hopkins	John Stephenson (II)	Stephen Hopkins - John Stephenson (II)	
0120	3	Gregory Nava	Barbara Jitner Martinez	Gregory Nava - Barbara Jitner Martinez	
0124	3	William Shatner	Robert Carmichael	William Shatner - Robert Carmichael	
0125	3	Nicholas Meyer	Steven Charles Jaffe	Nicholas Meyer - Steven Charles Jaffe	
0130	3	Mal Wolfe	Mal Wolfe=A0	Mal Wolfe - Mal Wolfe=A0	
0137	3	Michael Bay	Ken Bates	Michael Bay - Ken Bates	
0140	3	Ridley Scott	Bobby Bass	Ridley Scott - Bobby Bass	
0146	3	Peter Berg	Chris Howell	Peter Berg - Chris Howell	
0164	3	John Irvin	Arthur Wooster	John Irvin - Arthur Wooster	
0174	3	Richard Ciupka	Jonathan Stryker	Richard Ciupka - Jonathan Stryker	
0183	3	David Lean	Roy Rossotti	David Lean - Roy Rossotti	
0188	3	Hikmet Avedis	Howard Avedis	Hikmet Avedis - Howard Avedis	
0194	3	George Pan Cosmatos	George P. Cosmatos	George Pan Cosmatos - George P. Cosmatos	
0218	3	Ron Howard	Tony Ganz (II)	Ron Howard - Tony Ganz (II)	
0219	3	Vincent McEveety	Arthur J. Vitarelli	Vincent McEveety - Arthur J. Vitarelli	
0237	3	Robert Stevenson	Arthur J. Vitarelli	Robert Stevenson - Arthur J. Vitarelli	
0255	3	Joseph Zito	Newton Arnold (II)	Joseph Zito - Newton Arnold (II)	
0259	3	Joe Alves	Rupert Hitzig	Joe Alves - Rupert Hitzig	
0261	3	Lewis Teague	Glenn Randall	Lewis Teague - Glenn Randall	
0264	3	Penny Marshall	Kyle McCarthy	Penny Marshall - Kyle McCarthy	
0265	3	Brian G. Hutton	Andrew Marton	Brian G. Hutton - Andrew Marton	
0274	3	Robert Bolt	Robert Bold	Robert Bolt - Robert Bold	
0280	3	Billy Wilder	Noel Howard	Billy Wilder - Noel Howard	
0284	3	David S. Ward	Irby Smith	David S. Ward - Irby Smith	
0289	3	Renee Daalder	Rene Daalder	Renee Daalder - Rene Daalder	
0295	3	Jonathan Demme	Evelyn Purcell	Jonathan Demme - Evelyn Purcell	
0296	3	Willard Huyck	Gloria Huyck	Willard Huyck - Gloria Huyck	
0298	3	Martin Brest	Glenn H. Randall Jr	Martin Brest - Glenn H. Randall Jr	
0301	3	Arthur Penn	Michael D. Moore	Arthur Penn - Michael D. Moore	
0309	3	George Mihalka	Ray Sager (II)	George Mihalka - Ray Sager (II)	
0321	3	Arthur Hiller	Michael D. Moore	Arthur Hiller - Michael D. Moore	
0324	3	Ron Howard	Walter Von Huene	Ron Howard - Walter Von Huene	
0332	3	Ernest Lehman	Michael D. Moore	Ernest Lehman - Michael D. Moore	
0333	3	John McTiernan	Craig R. Baxley	John McTiernan - Craig R. Baxley	
0348	3	David Lane (II)	Jeannot Szwarc	David Lane (II) - Jeannot Szwarc	
0350	3	Brian De Palma	David Hans Dreyfuss	Brian De Palma - David Hans Dreyfuss	
0355	3	Gene Kelly	Stanley Donen	Gene Kelly - Stanley Donen	
0356	3	King Vidor	Noel Howard	King Vidor - Noel Howard	
0376	3	Robert Epstein	Rob Epstein	Robert Epstein - Rob Epstein	
0377	3	Alfred Hitchcock	Herbert Coleman	Alfred Hitchcock - Herbert Coleman	
0379	3	Roger Spottiswoode	Garth Craven	Roger Spottiswoode - Garth Craven	
0386	3	Ted Kotcheff	Conrad Palmisano	Ted Kotcheff - Conrad Palmisano	
0387	3	Robert Wise	Jerome Robbins	Robert Wise - Jerome Robbins	
0390	3	Brian G. Hutton	Yakima Canutt (II)	Brian G. Hutton - Yakima Canutt (II)	
0399	3	Paul Verhoeven	Vic Armstrong	Paul Verhoeven - Vic Armstrong	
0400	3	Renny Harlin	Charles Picerni Sr	Renny Harlin - Charles Picerni Sr	
0401	3	Dennis Dugan	Mickey Gilbert (II)	Dennis Dugan - Mickey Gilbert (II)	
0406	3	Mario Van Peebles	Jeff Lengyel	Mario Van Peebles - Jeff Lengyel	
0408	3	Ron Howard	Todd Hallowell	Ron Howard - Todd Hallowell	
0410	3	Glenn Wilder	Kathryn Bigelow	Glenn Wilder - Kathryn Bigelow	
0413	3	Russell Mulcahy	Arthur Wooster	Russell Mulcahy - Arthur Wooster	
0430	3	Harold Ramis	Steve Boyum	Harold Ramis - Steve Boyum	
0433	3	Richard Benjamin	Patrick Palmer	Richard Benjamin - Patrick Palmer	
0434	3	Freddie Hice	Nick Castle	Freddie Hice - Nick Castle	
0435	3	Ivan Reitman	Michael C. Gross	Ivan Reitman - Michael C. Gross	
0440	3	Daniel Stern	Irby Smith	Daniel Stern - Irby Smith	
0441	3	John McTiernan	Fred Waugh (II)	John McTiernan - Fred Waugh (II)	
0444	3	Marco Brambilla	Charles Picerni Sr	Marco Brambilla - Charles Picerni Sr	
0446	3	Jon Turteltaub	Micky Moore	Jon Turteltaub - Micky Moore	
0447	3	Stephen Herek	Micky Moore	Stephen Herek - Micky Moore	
0451	3	George Pan Cosmatos	George P. Cosmatos	George Pan Cosmatos - George P. Cosmatos	
0453	3	Terry George	Jim Sheridan	Terry George - Jim Sheridan	
0454	3	Simon Wincer	Bill Burton	Simon Wincer - Bill Burton	
0462	3	Robert Zemeckis	Steve Starkey	Robert Zemeckis - Steve Starkey	
0464	3	William Dear	Irby Smith	William Dear - Irby Smith	
0468	3	Peter Farrelly	Gerald T. Olson (II)	Peter Farrelly - Gerald T. Olson (II)	
0469	3	Gillian Armstrong	Mark Lewis (VIII)	Gillian Armstrong - Mark Lewis (VIII)	
0472	3	Arne Glimcher	Steve Perry	Arne Glimcher - Steve Perry	
0474	3	Sam Peckinpah	Buzz Henry (II)	Sam Peckinpah - Buzz Henry (II)	
0477	3	Robert Longo	Vic Armstrong	Robert Longo - Vic Armstrong	
0479	3	Mike Gabriel	Eric Goldberg	Mike Gabriel - Eric Goldberg	
0481	3	Kevin Reynolds	Mickey Gilbert (II)	Kevin Reynolds - Mickey Gilbert (II)	
0489	3	Gary Hymes	John Woo	Gary Hymes - John Woo	
0494	3	Ric Kidney	James Foley	Ric Kidney - James Foley	
0497	3	John Robotham	Arlene Sanford	John Robotham - Arlene Sanford	
0502	3	F. Gary Gray	Gary Gray	F. Gary Gray - Gary Gray	
0505	3	Alan J. Pakula	John Rusk	Alan J. Pakula - John Rusk	
0508	3	Joel Schumacher	Peter MacDonald	Joel Schumacher - Peter MacDonald	
0509	3	Robert Zemeckis	Steve Starkey	Robert Zemeckis - Steve Starkey	
0510	3	Taylor Hackford	Gary Davis (II)	Taylor Hackford - Gary Davis (II)	
0512	3	Darrell Rooney	Rob LaDuca	Darrell Rooney - Rob LaDuca	
0525	3	Chris Columbus	Todd Hallowell	Chris Columbus - Todd Hallowell	
0530	3	Tim Burton	Peter MacDonald	Tim Burton - Peter MacDonald	
0531	3	Blake Edwards	Joe Dunne	Blake Edwards - Joe Dunne	
0540	3	John Musker	Ron Clements	John Musker - Ron Clements	
0544	3	William Malone	Gregg Brazzel (II)	William Malone - Gregg Brazzel (II)	
0549	3	Nick Gillard	John Singleton	Nick Gillard - John Singleton	
0556	3	Stephen Kay (II)	Spiro Razatos	Stephen Kay (II) - Spiro Razatos	
0561	3	Madhur Jaffrey	Ismail Merchant	Madhur Jaffrey - Ismail Merchant	
0565	3	Chris Browne	Suzanne Fenn	Chris Browne - Suzanne Fenn	
0567	3	Nick Gomez	Maura Naughton	Nick Gomez - Maura Naughton	
0573	3	Matt Williams	Matt Earl Beesley	Matt Williams - Matt Earl Beesley	
0579	3	Jenniphr Goodman	Sarah Gartner	Jenniphr Goodman - Sarah Gartner	
0586	3	Jamie Babbit	Jamie Babbitt	Jamie Babbit - Jamie Babbitt	
0591	3	Jean-Philippe Toussaint	Jean-Phillippe Toussaint	Jean-Philippe Toussaint - Jean-Phillippe Toussaint	
0595	3	Tom Dey	E. J. Foerster	Tom Dey - E. J. Foerster	
0596	3	Daniele Thompson	Danièle Thompson	Daniele Thompson - Danièle Thompson	
0601	3	Amy Heckerling	Sam Mendes	Amy Heckerling - Sam Mendes	
0603	3	Val Lik	Vladimir Lik	Val Lik - Vladimir Lik	
0605	3	Nick Park	Peter Lord	Nick Park - Peter Lord	
0612	3	Robert Zemeckis	Max Kleven	Robert Zemeckis - Max Kleven	
0614	3	Jang Seon-woo	Sun Woo Jang	Jang Seon-woo - Sun Woo Jang	
0622	3	Andrew Lau	Dion Lam	Andrew Lau - Dion Lam	
0628	3	Boaz Yakin	Joe Hutcheson	Boaz Yakin - Joe Hutcheson	
0631	3	Kunihiko Yuyama	Michael Haigney	Kunihiko Yuyama - Michael Haigney	
0639	3	Jose Luis Cuerda	José Luis Cuerda	Jose Luis Cuerda - José Luis Cuerda	
0647	3	Mark Dindal	Marc Dindal	Mark Dindal - Marc Dindal	
0649	3	Philip Steuer	Neil LaBute	Philip Steuer - Neil LaBute	
0651	3	M. Night Shyamalan	Larry Fulton	M. Night Shyamalan - Larry Fulton	
0653	3	Philip Kaufman	Vic Armstrong	Philip Kaufman - Vic Armstrong	
0657	3	Zhang Yimou	Ding Jiancheng	Zhang Yimou - Ding Jiancheng	
0664	3	David Zucker	Robert K. Weiss	David Zucker - Robert K. Weiss	
0670	3	Olivier Ducastel	Jacques Martineau	Olivier Ducastel - Jacques Martineau	
0673	3	Christian Duguay	Jeffrey Ward	Christian Duguay - Jeffrey Ward	
0676	3	Alfonso Gomez-Rejon	Nora Ephron	Alfonso Gomez-Rejon - Nora Ephron	
0679	3	Joe Charbanic	Jeff Jensen	Joe Charbanic - Jeff Jensen	
0690	3	Rob Walker	Robert Walker	Rob Walker - Robert Walker	
0693	3	Julia Query	Vicky Funari	Julia Query - Vicky Funari	
0694	3	Gary Capo	Terrence Malick	Gary Capo - Terrence Malick	
0698	3	Donald Petrie	Ray Prado	Donald Petrie - Ray Prado	
0703	3	Jean-Jacques Annaud	Allen Smith (III)	Jean-Jacques Annaud - Allen Smith (III)	
0704	3	Kevin Lima	Micky Moore	Kevin Lima - Micky Moore	
0706	3	Doug Lindeman	Ken Roht	Doug Lindeman - Ken Roht	
0712	3	Pawel Pawlikowski	Paul Pawlikowski	Pawel Pawlikowski - Paul Pawlikowski	
0717	3	Courtney Solomon	Francis Delia	Courtney Solomon - Francis Delia	
0718	3	Ronald Judkins	Ron Judkins	Ronald Judkins - Ron Judkins	
0726	3	Vic Sarin	Victor Sarin	Vic Sarin - Victor Sarin	
0727	3	John Madden	Vic Armstrong	John Madden - Vic Armstrong	
0728	3	Rob Cohen	Mic Rodgers	Rob Cohen - Mic Rodgers	
0733	3	Chris Hegedus	Jehane Noujaim	Chris Hegedus - Jehane Noujaim	
0735	3	Joel Hopkins	Jimmy Price	Joel Hopkins - Jimmy Price	
0736	3	Barbet Schroeder	Luis Ospina	Barbet Schroeder - Luis Ospina	
0740	3	Adam Brooks	Tim Van Rellim	Adam Brooks - Tim Van Rellim	
0743	3	Stephen Sommers	Greg Michael	Stephen Sommers - Greg Michael	
0745	3	Max Fisher	Shundo Okawa	Max Fisher - Shundo Okawa	
0747	3	María Ripoll (II)	Lulu Zezza	María Ripoll (II) - Lulu Zezza	
0751	3	Agnes Varda	Francois Wertheimer	Agnes Varda - Francois Wertheimer	
0753	3	Piyush Dinker Pandya	Piyush Dinka Pandya	Piyush Dinker Pandya - Piyush Dinka Pandya	
0756	3	Sharon Maguire	Cilla Ware	Sharon Maguire - Cilla Ware	
0762	3	Frank Oz	Bud Davis (II)	Frank Oz - Bud Davis (II)	
0780	3	Gil Junger	Ernie Orsatti (II)	Gil Junger - Ernie Orsatti (II)	
0788	3	Larry Wachowski	Andy Wachowski	Larry Wachowski - Andy Wachowski	
0804	3	Mel Smith	John Greaves	Mel Smith - John Greaves	
0806	3	Hirotsugu Kawasaki	Hirotsuge Kawasaki	Hirotsugu Kawasaki - Hirotsuge Kawasaki	
0814	3	Jan Sverak	Alice Nellis	Jan Sverak - Alice Nellis	
0817	3	Rintaro	Tarô Rin	Rintaro - Tarô Rin	
0825	3	Kang Je-gyu	Je-Kyu Kang	Kang Je-gyu - Je-Kyu Kang	
0884	3	Larry Wachowski	Andy Wachowski	Larry Wachowski - Andy Wachowski	
0887	3	Richard LaGravenese	Ted Demme	Richard LaGravenese - Ted Demme	
0901	3	Renny Harlin	Paul Schrader	Renny Harlin - Paul Schrader	
0915	3	Tom McGrath	Eric Darnell	Tom McGrath - Eric Darnell	
0920	3	Hayao Miyazaki	Kirk Wise	Hayao Miyazaki - Kirk Wise	
0931	3	Tim Johnson	Patrick Gilmore	Tim Johnson - Patrick Gilmore	
0982	3	John C. Walsh	John Walsh	John C. Walsh - John Walsh	
0986	3	Ruedi Gerber	Rudolph Gerber	Ruedi Gerber - Rudolph Gerber	
0992	3	Lee Jung-hyang	Jeong-Hyang Lee	Lee Jung-hyang - Jeong-Hyang Lee	
1010	3	Fernando Meirelles	Katia Lund	Fernando Meirelles - Katia Lund	
1027	3	Timothy Bjorklund	Timothy Björklund	Timothy Bjorklund - Timothy Björklund	
1030	3	Sam Green	Bill Siegel	Sam Green - Bill Siegel	
1037	3	D.A. Pennebaker	Chris Hegedus	D.A. Pennebaker - Chris Hegedus	
1047	3	Malcolm Clarke	Stuart Sender	Malcolm Clarke - Stuart Sender	
1086	3	Brad Bird	Jan Pinkava	Brad Bird - Jan Pinkava	
1089	3	Fenton Bailey	Randy Barbato	Fenton Bailey - Randy Barbato	
1091	3	Nick Broomfield	Joan Churchill (II)	Nick Broomfield - Joan Churchill (II)	
1102	3	Greg Pritikin	Gregory Pritikin	Greg Pritikin - Gregory Pritikin	
1103	3	David Hillenbrand	Scott Hillenbrand	David Hillenbrand - Scott Hillenbrand	
1108	3	Chris Wedge	Carlos Saldanha	Chris Wedge - Carlos Saldanha	
1113	3	Alison Thompson	Allison Thompson	Alison Thompson - Allison Thompson	
1123	3	Manuel Boursinhac	Gary Bennett	Manuel Boursinhac - Gary Bennett	
1158	3	Christian Taylor	Lindy Heymann	Christian Taylor - Lindy Heymann	
1161	3	Kang Je-gyu	Je-Kyu Kang	Kang Je-gyu - Je-Kyu Kang	
1169	3	Andrew Tennant	Andy Tennant	Andrew Tennant - Andy Tennant	
1197	3	Pi Ware	Susan Kraker	Pi Ware - Susan Kraker	
1214	3	Mike Johnson	Tim Burton	Mike Johnson - Tim Burton	
1252	3	Huck Botko	Andrew Gurland	Huck Botko - Andrew Gurland	
1258	3	Gulshad Omarova	Guka Omarova	Gulshad Omarova - Guka Omarova	
1260	3	Steve Suissa	Steven Suissa	Steve Suissa - Steven Suissa	
1270	3	Joachim Roenning	Espen Sandberg	Joachim Roenning - Espen Sandberg	
1272	3	Jia Zhang-ke	Zhang Ke Jia	Jia Zhang-ke - Zhang Ke Jia	
1290	3	Katrina Holden Bronson	Katrina Bronson	Katrina Holden Bronson - Katrina Bronson	
1293	3	Lisa Lax	Nancy Stern	Lisa Lax - Nancy Stern	
1294	3	Michael Powell	Emeric Pressburger	Michael Powell - Emeric Pressburger	
1303	3	Chris Miller	Raman Hui	Chris Miller - Raman Hui	
1305	3	Keith Beauchamp	Keith A. Beauchamp	Keith Beauchamp - Keith A. Beauchamp	
1316	3	Susan Kaplan	Toby Shimin (II)	Susan Kaplan - Toby Shimin (II)	
1323	3	Grace Lee	Bryant Wang	Grace Lee - Bryant Wang	
1336	3	Antoine Fuqua	Peter Collister	Antoine Fuqua - Peter Collister	
1338	3	Peter MacDonald	George Pan Cosmatos	Peter MacDonald - George Pan Cosmatos	
1344	3	Marc Adler	Jason Maurer	Marc Adler - Jason Maurer	
1355	3	Kevin Arbouet	Larry Strong	Kevin Arbouet - Larry Strong	
1386	3	Oxide Pang	Danny Pang	Oxide Pang - Danny Pang	
1430	3	Stephen Quay	Timothy Quay	Stephen Quay - Timothy Quay	
1440	3	Shari Springer Berman	Robert Pulcini	Shari Springer Berman - Robert Pulcini	
1447	3	Robert L. Friend	Lawrence Dobkin	Robert L. Friend - Lawrence Dobkin	
1449	3	Greg MacGillivray	Jim Freeman	Greg MacGillivray - Jim Freeman	
1450	3	Bob Godfrey (II)	Bev Roberts	Bob Godfrey (II) - Bev Roberts	
1484	3	Adam Jay Epstein	Andrew Jacobson	Adam Jay Epstein - Andrew Jacobson	
1493	3	Dalia Hager	Vidi Bilu	Dalia Hager - Vidi Bilu	
1498	3	Marjane Satrapi	Vincent Paronnaud	Marjane Satrapi - Vincent Paronnaud	
1511	3	Paul Bolger	Yvette Kaplan	Paul Bolger - Yvette Kaplan	
1529	3	Paul Fierlinger	Sandra Fierlinger	Paul Fierlinger - Sandra Fierlinger	
1539	3	Greg Strause	Colin Strause	Greg Strause - Colin Strause	
1546	3	Catherine Owens	Mark Pellington	Catherine Owens - Mark Pellington	
1555	3	William Guttentag	Dan Sturman	William Guttentag - Dan Sturman	
1556	3	Chris Williams	Byron Howard	Chris Williams - Byron Howard	
1577	3	Ron Clements	John Musker	Ron Clements - John Musker	
1583	3	Barnaby Thompson	Oliver Parker	Barnaby Thompson - Oliver Parker	
1589	3	Andy Wachowski	Larry Wachowski	Andy Wachowski - Larry Wachowski	
1605	3	Christopher Browne	Alexander Browne	Christopher Browne - Alexander Browne	
1607	3	Tony Jaa	Panna Ritthikrai	Tony Jaa - Panna Ritthikrai	
1641	3	Thomas Guard	Charles Guard	Thomas Guard - Charles Guard	
1660	3	Johnnie To	Wai Ka-fai	Johnnie To - Wai Ka-fai	
1673	3	Tia Lessin	Carl Deal	Tia Lessin - Carl Deal	
1675	3	Robb Moss	Peter Galison	Robb Moss - Peter Galison	
1717	3	Abbas Alibhai Burmawalla	Mastan Alibhai Burmawalla	Abbas Alibhai Burmawalla - Mastan Alibhai Burmawalla	
1726	3	Anthony Bell	Ben Gluck	Anthony Bell - Ben Gluck	
1727	3	Michael Selditch	Rob Tate	Michael Selditch - Rob Tate	
1728	3	John Lasseter	Brad Lewis	John Lasseter - Brad Lewis	
1733	3	Glenn Ficarra	John Requa	Glenn Ficarra - John Requa	
1746	3	Jon Favreau	Jonathan P B Taylor	Jon Favreau - Jonathan P B Taylor	
1777	3	Spike Lee	Annie Dorsen	Spike Lee - Annie Dorsen	
1807	3	John Erick Dowdle	Drew Dowdle	John Erick Dowdle - Drew Dowdle	
1814	3	Laura Gabbert	Justin Schein	Laura Gabbert - Justin Schein	
1822	3	Zach Cregger	Trevor Moore	Zach Cregger - Trevor Moore	
1826	3	Mark Duplass	Jay Duplass	Mark Duplass - Jay Duplass	
1883	3	Ricky Gervais	Stephen Merchant	Ricky Gervais - Stephen Merchant	
1900	3	David Hillenbrand	Scott Hillenbrand	David Hillenbrand - Scott Hillenbrand	
1901	3	Barry Cook	Sarah Smith	Barry Cook - Sarah Smith	
1927	3	Reed Cowan	Steven Greenstreet	Reed Cowan - Steven Greenstreet	
1929	3	Annie Sundberg	Ricki Stern	Annie Sundberg - Ricki Stern	
1933	3	Ariel Schulman	Henry Joost	Ariel Schulman - Henry Joost	
1956	3	Joel Coen	Ethan Coen	Joel Coen - Ethan Coen	
1978	3	Chris Sheridan	Patty Kim	Chris Sheridan - Patty Kim	
1998	3	Leila Conners Peterson	Nadia Conners	Leila Conners Peterson - Nadia Conners	
1999	3	Richard Glatzer	Wash Westmoreland	Richard Glatzer - Wash Westmoreland	
0002	1	Christopher Guest			
0003	1	Sam Mendes			
0005	1	Eduardo Mignogna			
0006	1	Emir Kusturica			
0007	1	Les Mayfield			
0008	1	Michael Cristofer			
0009	1	Frank Oz			
0010	1	Alan Rudolph			
0012	1	Pat O Connor			
0013	1	Renny Harlin			
0015	1	Bruce McCulloch			
0017	1	John Schultz			
0021	1	Jaime Humberto Hermosillo			
0022	1	Coke Sams			
0023	1	Bronwen Hughes			
0024	1	Simon Shore			
0026	1	Danny Cannon			
0027	1	Neil Jordan			
0028	1	Michael Rymer			
0029	1	Jon Turteltaub			
0030	1	Neil Abramson			
0031	1	Olivier Assayas			
0033	1	Jeff Franklin			
0034	1	Lawrence Kasdan			
0035	1	Kinka Usher			
0036	1	Roger Michell			
0038	1	Gary Ross			
0041	1	Frederik Du Chau			
0042	1	Patrice Toye			
0043	1	Steven Spielberg			
