movie	allmovie	genre					
1364	4	Children's/Family	Fantasy	Drama	Children's/Family - Fantasy - Drama		
1371	4	Romance	Comedy	Fantasy	Romance - Comedy - Fantasy		
1376	4	Action	Adventure	Fantasy	Action - Adventure - Fantasy		
1410	4	Adventure	Action	War	Adventure - Action - War		
1411	4	Romance	Drama	War	Romance - Drama - War		
1413	4	Action	Drama	War	Action - Drama - War		
1416	4	Action	Adventure	War	Action - Adventure - War		
1419	4	Adventure	Mystery	War	Adventure - Mystery - War		
1460	4	Crime	Mystery	Horror	Crime - Mystery - Horror		
1565	4	Crime	Comedy	Thriller	Crime - Comedy - Thriller		
1637	4	Action	Adventure	Science Fiction	Action - Adventure - Science Fiction		
1712	4	Musical	Children's/Family	Comedy	Musical - Children's/Family - Comedy		
1737	4	Comedy Drama	Romance	Fantasy	Comedy Drama - Romance - Fantasy		
1849	4	Thriller	Drama	Mystery	Thriller - Drama - Mystery		
1916	4	Comedy	Adventure	Western	Comedy - Adventure - Western		
1939	4	Crime	Action	Western	Crime - Action - Western		
1942	4	Action	Crime	Western	Action - Crime - Western		
1999	4	Romance	Crime	Comedy	Romance - Crime - Comedy		
0015	3	Drama	Romance	Drama - Romance			
0020	3	Mystery	Drama	Mystery - Drama			
0028	3	Drama	Mystery	Drama - Mystery			
0044	3	Romance	Comedy	Romance - Comedy			
0049	3	Musical	Comedy	Musical - Comedy			
0054	3	Musical	Comedy	Musical - Comedy			
0058	3	Comedy	Western	Comedy - Western			
0066	3	Comedy	Musical	Comedy - Musical			
0072	3	Romance	Comedy	Romance - Comedy			
0074	3	Comedy	Romance	Comedy - Romance			
0080	3	Comedy	Fantasy	Comedy - Fantasy			
0081	3	Comedy	Fantasy	Comedy - Fantasy			
0083	3	Comedy	Fantasy	Comedy - Fantasy			
0084	3	Comedy	Fantasy	Comedy - Fantasy			
0085	3	Comedy	Romance	Comedy - Romance			
0086	3	Children's/Family	Fantasy	Children's/Family - Fantasy			
0087	3	Musical	Children's/Family	Musical - Children's/Family			
0088	3	Children's/Family	Drama	Children's/Family - Drama			
0089	3	Fantasy	Children's/Family	Fantasy - Children's/Family			
0092	3	Children's/Family	Musical	Children's/Family - Musical			
0094	3	Adventure	Children's/Family	Adventure - Children's/Family			
0095	3	Children's/Family	Fantasy	Children's/Family - Fantasy			
0096	3	Children's/Family	Adventure	Children's/Family - Adventure			
0097	3	Children's/Family	Fantasy	Children's/Family - Fantasy			
0099	3	Children's/Family	Fantasy	Children's/Family - Fantasy			
0100	3	Children's/Family	Fantasy	Children's/Family - Fantasy			
0101	3	Children's/Family	Fantasy	Children's/Family - Fantasy			
0102	3	Children's/Family	Drama	Children's/Family - Drama			
0103	3	Children's/Family	Drama	Children's/Family - Drama			
0104	3	Children's/Family	Drama	Children's/Family - Drama			
0105	3	Children's/Family	Fantasy	Children's/Family - Fantasy			
0106	3	Children's/Family	Adventure	Children's/Family - Adventure			
0107	3	Children's/Family	Comedy	Children's/Family - Comedy			
0108	4	Theater	Children's/Family	Fantasy	Theater - Children's/Family - Fantasy		
0109	3	Children's/Family	Fantasy	Children's/Family - Fantasy			
0110	3	Children's/Family	Fantasy	Children's/Family - Fantasy			
0111	3	Children's/Family	Fantasy	Children's/Family - Fantasy			
0112	3	Comedy	Children's/Family	Comedy - Children's/Family			
0113	3	Children's/Family	Fantasy	Children's/Family - Fantasy			
0115	3	Children's/Family	Fantasy	Children's/Family - Fantasy			
0116	3	Drama	Children's/Family	Drama - Children's/Family			
0117	3	Adventure	Children's/Family	Adventure - Children's/Family			
0118	3	Fantasy	Children's/Family	Fantasy - Children's/Family			
0120	3	Children's/Family	Adventure	Children's/Family - Adventure			
0121	3	Children's/Family	Fantasy	Children's/Family - Fantasy			
0122	3	Children's/Family	Fantasy	Children's/Family - Fantasy			
0123	3	Comedy	Children's/Family	Comedy - Children's/Family			
0127	3	Children's/Family	Fantasy	Children's/Family - Fantasy			
0129	3	Children's/Family	Fantasy	Children's/Family - Fantasy			
0130	3	Children's/Family	Drama	Children's/Family - Drama			
0131	3	Children's/Family	Fantasy	Children's/Family - Fantasy			
0133	3	Drama	Children's/Family	Drama - Children's/Family			
0134	3	Epic	Historical Film	Epic - Historical Film			
0135	3	Epic	Historical Film	Epic - Historical Film			
0136	3	Epic	Historical Film	Epic - Historical Film			
0138	3	Epic	Historical Film	Epic - Historical Film			
0140	3	Epic	Historical Film	Epic - Historical Film			
0142	3	Drama	Historical Film	Drama - Historical Film			
0143	3	Historical Film	Epic	Historical Film - Epic			
0144	3	Historical Film	Epic	Historical Film - Epic			
0146	3	Epic	Historical Film	Epic - Historical Film			
0147	3	Historical Film	Adventure	Historical Film - Adventure			
0151	3	Drama	Historical Film	Drama - Historical Film			
0153	3	Historical Film	Epic	Historical Film - Epic			
0154	3	Epic	Historical Film	Epic - Historical Film			
0155	3	Historical Film	Drama	Historical Film - Drama			
0156	3	Historical Film	Drama	Historical Film - Drama			
0158	3	Historical Film	Drama	Historical Film - Drama			
0159	3	Adventure	Historical Film	Adventure - Historical Film			
0160	3	Historical Film	Drama	Historical Film - Drama			
0164	3	Drama	Historical Film	Drama - Historical Film			
0165	3	Historical Film	War	Historical Film - War			
0166	3	Historical Film	Epic	Historical Film - Epic			
0167	3	Historical Film	Comedy Drama	Historical Film - Comedy Drama			
0168	3	Historical Film	Drama	Historical Film - Drama			
0171	3	Epic	Historical Film	Epic - Historical Film			
0172	3	Action	Adventure	Action - Adventure			
0173	3	Adventure	Children's/Family	Adventure - Children's/Family			
0174	3	Action	Adventure	Action - Adventure			
0175	3	Action	Adventure	Action - Adventure			
0181	3	Adventure	Fantasy	Adventure - Fantasy			
0183	3	Comedy	Adventure	Comedy - Adventure			
0185	3	Fantasy	Adventure	Fantasy - Adventure			
0188	3	Adventure	Western	Adventure - Western			
0193	3	Adventure	Comedy	Adventure - Comedy			
0196	3	Adventure	Drama	Adventure - Drama			
0197	3	Adventure	Drama	Adventure - Drama			
0198	3	Fantasy	Adventure	Fantasy - Adventure			
0199	3	Action	Adventure	Action - Adventure			
0200	3	Action	Adventure	Action - Adventure			
0203	3	Drama	Adventure	Drama - Adventure			
0204	3	Adventure	Science Fiction	Adventure - Science Fiction			
0205	3	Adventure	Horror	Adventure - Horror			
0207	3	Thriller	Adventure	Thriller - Adventure			
0209	3	Adventure	Action	Adventure - Action			
0210	3	Fantasy	Adventure	Fantasy - Adventure			
0211	3	Children's/Family	Adventure	Children's/Family - Adventure			
0213	3	Adventure	Children's/Family	Adventure - Children's/Family			
0214	3	Adventure	Musical	Adventure - Musical			
0215	3	Action	Adventure	Action - Adventure			
0216	3	Adventure	Children's/Family	Adventure - Children's/Family			
0217	3	Adventure	Western	Adventure - Western			
0219	3	Fantasy	Adventure	Fantasy - Adventure			
0220	3	Drama	Adventure	Drama - Adventure			
0221	3	Drama	Adventure	Drama - Adventure			
0226	3	Drama	Avant-garde / Experimental	Drama - Avant-garde / Experimental			
0227	3	Avant-garde / Experimental	Comedy Drama	Avant-garde / Experimental - Comedy Drama			
0228	3	Avant-garde / Experimental	Fantasy	Avant-garde / Experimental - Fantasy			
0232	3	Fantasy	Avant-garde / Experimental	Fantasy - Avant-garde / Experimental			
0233	3	Avant-garde / Experimental	Comedy Drama	Avant-garde / Experimental - Comedy Drama			
0237	3	Crime	Thriller	Crime - Thriller			
0242	3	Action	Crime	Action - Crime			
0247	3	Crime	Action	Crime - Action			
0248	3	Thriller	Crime	Thriller - Crime			
0253	3	Crime	Mystery	Crime - Mystery			
0257	3	Crime	Thriller	Crime - Thriller			
0259	3	Action	Crime	Action - Crime			
0266	3	Thriller	Action	Thriller - Action			
0277	3	Comedy	Crime	Comedy - Crime			
0279	3	Crime	Action	Crime - Action			
0281	3	Crime	Thriller	Crime - Thriller			
0286	3	Crime	Mystery	Crime - Mystery			
0289	3	Crime	Drama	Crime - Drama			
0291	3	Crime	Drama	Crime - Drama			
0292	3	Comedy	Crime	Comedy - Crime			
0294	3	Crime	Thriller	Crime - Thriller			
0295	3	Comedy	Crime	Comedy - Crime			
0297	3	Crime	Action	Crime - Action			
0299	3	Crime	Comedy	Crime - Comedy			
0302	3	Drama	Crime	Drama - Crime			
0304	3	Epic	Romance	Epic - Romance			
0308	3	Epic	Romance	Epic - Romance			
0310	3	War	Epic	War - Epic			
0313	3	Epic	Drama	Epic - Drama			
0314	3	War	Epic	War - Epic			
0315	3	Epic	Drama	Epic - Drama			
0316	3	Epic	Romance	Epic - Romance			
0317	3	Epic	Drama	Epic - Drama			
0321	3	Epic	Romance	Epic - Romance			
0323	3	Epic	Romance	Epic - Romance			
0327	3	Epic	War	Epic - War			
0328	3	Fantasy	Adventure	Fantasy - Adventure			
0331	3	Fantasy	Children's/Family	Fantasy - Children's/Family			
0333	3	Fantasy	Children's/Family	Fantasy - Children's/Family			
0334	3	Comedy	Fantasy	Comedy - Fantasy			
0335	3	Drama	Fantasy	Drama - Fantasy			
0337	3	Romance	Fantasy	Romance - Fantasy			
0338	3	Romance	Fantasy	Romance - Fantasy			
0340	3	Fantasy	Romance	Fantasy - Romance			
0342	3	Fantasy	Romance	Fantasy - Romance			
0343	3	Fantasy	Comedy	Fantasy - Comedy			
0344	3	Fantasy	Horror	Fantasy - Horror			
0346	3	Mystery	Fantasy	Mystery - Fantasy			
0349	3	Action	Fantasy	Action - Fantasy			
0350	3	Adventure	Fantasy	Adventure - Fantasy			
0351	3	Spy Film	Action	Spy Film - Action			
0352	3	Spy Film	Action	Spy Film - Action			
0353	3	Action	Spy Film	Action - Spy Film			
0354	3	Action	Spy Film	Action - Spy Film			
0356	3	Spy Film	Action	Spy Film - Action			
0357	3	Spy Film	Comedy Drama	Spy Film - Comedy Drama			
0358	3	Spy Film	Action	Spy Film - Action			
0359	3	Spy Film	Drama	Spy Film - Drama			
0360	3	Drama	Spy Film	Drama - Spy Film			
0361	3	Spy Film	Action	Spy Film - Action			
0362	3	Spy Film	Adventure	Spy Film - Adventure			
0363	3	Spy Film	Action	Spy Film - Action			
0364	3	Action	Spy Film	Action - Spy Film			
0365	3	Action	Spy Film	Action - Spy Film			
0366	3	Musical	Spy Film	Musical - Spy Film			
0368	3	Action	Spy Film	Action - Spy Film			
0371	3	Spy Film	Thriller	Spy Film - Thriller			
0374	3	Spy Film	Thriller	Spy Film - Thriller			
0377	3	War	Spy Film	War - Spy Film			
0378	3	Spy Film	Action	Spy Film - Action			
0379	3	Action	Spy Film	Action - Spy Film			
0380	3	Spy Film	Action	Spy Film - Action			
0381	3	Spy Film	Action	Spy Film - Action			
0382	3	Action	Spy Film	Action - Spy Film			
0383	3	Spy Film	Romance	Spy Film - Romance			
0384	3	Spy Film	Action	Spy Film - Action			
0385	3	Spy Film	Action	Spy Film - Action			
0387	3	Spy Film	Action	Spy Film - Action			
0388	3	Action	Spy Film	Action - Spy Film			
0391	3	Thriller	Spy Film	Thriller - Spy Film			
0392	3	Action	Spy Film	Action - Spy Film			
0393	3	Spy Film	Thriller	Spy Film - Thriller			
0395	3	Spy Film	Thriller	Spy Film - Thriller			
0397	3	Thriller	Spy Film	Thriller - Spy Film			
0403	3	Drama	War	Drama - War			
0406	3	War	Drama	War - Drama			
0409	3	War	Comedy Drama	War - Comedy Drama			
0410	3	War	Fantasy	War - Fantasy			
0415	3	Drama	War	Drama - War			
0417	3	Drama	War	Drama - War			
0422	3	Action	War	Action - War			
0423	3	Action	War	Action - War			
0424	3	Drama	War	Drama - War			
0425	3	Drama	War	Drama - War			
0427	3	War	Drama	War - Drama			
0430	3	War	Adventure	War - Adventure			
0431	3	Drama	War	Drama - War			
0433	3	Horror	Comedy	Horror - Comedy			
0434	3	Science Fiction	Horror	Science Fiction - Horror			
0439	3	Science Fiction	Horror	Science Fiction - Horror			
0444	3	Science Fiction	Horror	Science Fiction - Horror			
0456	3	Horror	Science Fiction	Horror - Science Fiction			
0457	3	Horror	Comedy	Horror - Comedy			
0458	3	Science Fiction	Horror	Science Fiction - Horror			
0459	3	Science Fiction	Horror	Science Fiction - Horror			
0461	3	Horror	Comedy	Horror - Comedy			
0468	3	Horror	Comedy	Horror - Comedy			
0473	3	Thriller	Horror	Thriller - Horror			
0477	3	Horror	Mystery	Horror - Mystery			
0479	3	Horror	Comedy	Horror - Comedy			
0480	3	Thriller	Horror	Thriller - Horror			
0483	3	Mystery	Thriller	Mystery - Thriller			
0484	3	Musical	Romance	Musical - Romance			
0485	3	Crime	Thriller	Crime - Thriller			
0490	3	Musical	Drama	Musical - Drama			
0493	3	Drama	War	Drama - War			
0509	3	Thriller	Adventure	Thriller - Adventure			
0522	3	Drama	Romance	Drama - Romance			
0528	3	Drama	Romance	Drama - Romance			
0530	3	Action	Science Fiction	Action - Science Fiction			
0532	3	Science Fiction	Action	Science Fiction - Action			
0541	3	Thriller	Romance	Thriller - Romance			
0542	3	Romance	Comedy Drama	Romance - Comedy Drama			
0547	3	Romance	Comedy	Romance - Comedy			
0548	3	Comedy	Fantasy	Comedy - Fantasy			
0549	3	Action	Science Fiction	Action - Science Fiction			
0551	3	Romance	Drama	Romance - Drama			
0555	3	Musical	Drama	Musical - Drama			
0556	3	Romance	Musical	Romance - Musical			
0561	3	Romance	Drama	Romance - Drama			
0563	3	Comedy	Action	Comedy - Action			
0565	3	Drama	Romance	Drama - Romance			
0575	3	Drama	Mystery	Drama - Mystery			
0584	3	Comedy	Romance	Comedy - Romance			
0586	3	Romance	Comedy Drama	Romance - Comedy Drama			
0588	3	Drama	Science Fiction	Drama - Science Fiction			
0589	3	Drama	Dance [nf]	Drama - Dance [nf]			
0601	3	Romance	Drama	Romance - Drama			
0603	3	Action	Science Fiction	Action - Science Fiction			
0604	3	Comedy Drama	Romance	Comedy Drama - Romance			
0607	3	Adventure	Comedy	Adventure - Comedy			
0610	3	Comedy Drama	Fantasy	Comedy Drama - Fantasy			
0611	3	Drama	Romance	Drama - Romance			
0613	3	Science Fiction	Comedy	Science Fiction - Comedy			
0615	3	Romance	Drama	Romance - Drama			
0616	3	Comedy Drama	Romance	Comedy Drama - Romance			
0620	3	Romance	Comedy	Romance - Comedy			
0622	3	Romance	Comedy	Romance - Comedy			
0630	3	Drama	Crime	Drama - Crime			
0636	3	Drama	Romance	Drama - Romance			
0638	3	Romance	Drama	Romance - Drama			
0644	3	Comedy	Horror	Comedy - Horror			
0648	3	Drama	War	Drama - War			
0649	3	Drama	Romance	Drama - Romance			
0664	3	Thriller	Mystery	Thriller - Mystery			
0671	3	Thriller	Drama	Thriller - Drama			
0674	3	Thriller	Mystery	Thriller - Mystery			
0675	3	Thriller	Science Fiction	Thriller - Science Fiction			
0677	3	Thriller	Mystery	Thriller - Mystery			
0697	3	Mystery	Thriller	Mystery - Thriller			
0714	3	Drama	War	Drama - War			
0721	3	Drama	Romance	Drama - Romance			
0759	3	Drama	Romance	Drama - Romance			
0778	3	Comedy Drama	Romance	Comedy Drama - Romance			
0787	3	Drama	Historical Film	Drama - Historical Film			
0788	3	Action	Science Fiction	Action - Science Fiction			
0791	3	Action	Comedy	Action - Comedy			
0793	3	Action	Adventure	Action - Adventure			
0809	3	Action	Science Fiction	Action - Science Fiction			
0813	3	Action	Science Fiction	Action - Science Fiction			
0814	3	Romance	Science Fiction	Romance - Science Fiction			
0816	3	Science Fiction	Comedy Drama	Science Fiction - Comedy Drama			
0820	3	Science Fiction	Action	Science Fiction - Action			
0823	3	Science Fiction	Thriller	Science Fiction - Thriller			
0825	3	Science Fiction	Drama	Science Fiction - Drama			
0826	3	Science Fiction	Horror	Science Fiction - Horror			
0830	3	Thriller	Science Fiction	Thriller - Science Fiction			
0832	3	Science Fiction	Action	Science Fiction - Action			
0833	3	Science Fiction	Drama	Science Fiction - Drama			
0837	3	Comedy	Science Fiction	Comedy - Science Fiction			
0838	3	Horror	Science Fiction	Horror - Science Fiction			
0845	3	Science Fiction	Comedy	Science Fiction - Comedy			
0847	3	Fantasy	Science Fiction	Fantasy - Science Fiction			
0849	3	Action	Romance	Action - Romance			
0851	3	Drama	Epic	Drama - Epic			
0853	3	Children's/Family	Fantasy	Children's/Family - Fantasy			
0882	3	Fantasy	Children's/Family	Fantasy - Children's/Family			
0896	3	Drama	War	Drama - War			
0897	3	Thriller	Drama	Thriller - Drama			
0900	3	Romance	Drama	Romance - Drama			
0907	3	Romance	Drama	Romance - Drama			
0913	3	Musical	Comedy Drama	Musical - Comedy Drama			
0914	3	Musical	Drama	Musical - Drama			
0917	3	Musical	Drama	Musical - Drama			
0920	3	Comedy	Musical	Comedy - Musical			
0921	3	Comedy	Musical	Comedy - Musical			
0923	3	Drama	Musical	Drama - Musical			
0924	3	Musical	Romance	Musical - Romance			
0925	3	Romance	Musical	Romance - Musical			
0926	3	Drama	Musical	Drama - Musical			
0932	3	Comedy	Fantasy	Comedy - Fantasy			
0935	3	Drama	Romance	Drama - Romance			
0940	3	Comedy	Romance	Comedy - Romance			
0947	3	Comedy Drama	Romance	Comedy Drama - Romance			
0957	3	Romance	Drama	Romance - Drama			
0958	3	Children's/Family	Adventure	Children's/Family - Adventure			
0960	3	Children's/Family	Fantasy	Children's/Family - Fantasy			
0965	3	Comedy Drama	Musical	Comedy Drama - Musical			
0966	3	Comedy Drama	Romance	Comedy Drama - Romance			
0970	3	Comedy Drama	Romance	Comedy Drama - Romance			
0979	3	Drama	Romance	Drama - Romance			
0980	3	Drama	Romance	Drama - Romance			
0986	3	Drama	Romance	Drama - Romance			
0990	3	Drama	Romance	Drama - Romance			
0992	3	Comedy Drama	Romance	Comedy Drama - Romance			
0995	3	Culture & Society [nf]	Sports & Recreation [nf]	Culture & Society [nf] - Sports & Recreation [nf]			
1043	3	Adventure	Action	Adventure - Action			
1044	3	Action	Fantasy	Action - Fantasy			
1047	3	Action	Spy Film	Action - Spy Film			
1048	3	Adventure	Action	Adventure - Action			
1051	3	Action	Horror	Action - Horror			
1053	3	Crime	Action	Crime - Action			
1054	3	Action	Adventure	Action - Adventure			
1055	3	Action	Comedy	Action - Comedy			
1056	3	Action	Spy Film	Action - Spy Film			
1057	3	Action	Thriller	Action - Thriller			
1059	3	Action	Comedy	Action - Comedy			
1061	3	Fantasy	Action	Fantasy - Action			
1065	3	Science Fiction	Action	Science Fiction - Action			
1068	3	Action	Spy Film	Action - Spy Film			
1069	3	Comedy	Action	Comedy - Action			
1075	3	Action	Drama	Action - Drama			
1076	3	Crime	Action	Crime - Action			
1080	3	Action	Drama	Action - Drama			
1082	3	Comedy	Action	Comedy - Action			
1087	3	Science Fiction	Action	Science Fiction - Action			
1094	3	Drama	Mystery	Drama - Mystery			
1098	3	Drama	Romance	Drama - Romance			
1118	3	Drama	Avant-garde / Experimental	Drama - Avant-garde / Experimental			
1132	3	Drama	Mystery	Drama - Mystery			
1162	3	Drama	Romance	Drama - Romance			
1163	3	Romance	Drama	Romance - Drama			
1168	3	Romance	Drama	Romance - Drama			
1179	3	Romance	Drama	Romance - Drama			
1192	3	Drama	Fantasy	Drama - Fantasy			
1198	3	Romance	Drama	Romance - Drama			
1200	3	Comedy	Crime	Comedy - Crime			
1201	3	Comedy	Musical	Comedy - Musical			
1207	3	Spy Film	Comedy	Spy Film - Comedy			
1219	3	Comedy	Romance	Comedy - Romance			
1223	3	Comedy	Mystery	Comedy - Mystery			
1225	3	Comedy	Romance	Comedy - Romance			
1227	3	Comedy	Romance	Comedy - Romance			
1233	3	Romance	Comedy	Romance - Comedy			
1235	3	Comedy	Fantasy	Comedy - Fantasy			
1240	3	Comedy	Mystery	Comedy - Mystery			
1253	3	Adventure	Comedy	Adventure - Comedy			
1260	3	Romance	Comedy	Romance - Comedy			
1268	3	Comedy	Crime	Comedy - Crime			
1270	3	Comedy	Romance	Comedy - Romance			
1272	3	Comedy	Crime	Comedy - Crime			
1274	3	Romance	Comedy	Romance - Comedy			
1286	3	Comedy	Romance	Comedy - Romance			
1295	3	Comedy	Musical	Comedy - Musical			
1296	3	Comedy	Mystery	Comedy - Mystery			
1299	3	Romance	Comedy	Romance - Comedy			
1302	3	Comedy	Horror	Comedy - Horror			
1306	3	Children's/Family	Fantasy	Children's/Family - Fantasy			
1307	3	Children's/Family	Fantasy	Children's/Family - Fantasy			
1308	3	Fantasy	Children's/Family	Fantasy - Children's/Family			
1310	3	Children's/Family	Fantasy	Children's/Family - Fantasy			
1314	3	Comedy	Children's/Family	Comedy - Children's/Family			
1316	3	Children's/Family	Fantasy	Children's/Family - Fantasy			
1320	3	Children's/Family	Fantasy	Children's/Family - Fantasy			
1321	3	Children's/Family	Comedy	Children's/Family - Comedy			
1323	3	Children's/Family	Comedy	Children's/Family - Comedy			
1324	3	Children's/Family	Fantasy	Children's/Family - Fantasy			
1325	3	Children's/Family	Drama	Children's/Family - Drama			
1326	3	Children's/Family	Fantasy	Children's/Family - Fantasy			
1327	3	Children's/Family	Musical	Children's/Family - Musical			
1328	3	Children's/Family	Adventure	Children's/Family - Adventure			
1329	3	Children's/Family	Fantasy	Children's/Family - Fantasy			
1330	3	Children's/Family	Fantasy	Children's/Family - Fantasy			
1333	3	Children's/Family	Comedy	Children's/Family - Comedy			
1335	3	Comedy	Children's/Family	Comedy - Children's/Family			
1336	3	Drama	Children's/Family	Drama - Children's/Family			
1337	3	Children's/Family	Adventure	Children's/Family - Adventure			
1338	3	Children's/Family	Fantasy	Children's/Family - Fantasy			
1339	3	Children's/Family	Adventure	Children's/Family - Adventure			
1341	3	Children's/Family	Comedy Drama	Children's/Family - Comedy Drama			
1344	3	Children's/Family	Drama	Children's/Family - Drama			
1346	3	Science Fiction	Children's/Family	Science Fiction - Children's/Family			
1347	3	Fantasy	Children's/Family	Fantasy - Children's/Family			
1348	3	Children's/Family	Adventure	Children's/Family - Adventure			
1352	3	Drama	Children's/Family	Drama - Children's/Family			
1355	3	Avant-garde / Experimental	Drama	Avant-garde / Experimental - Drama			
1361	3	Comedy	Fantasy	Comedy - Fantasy			
1363	3	Musical	Fantasy	Musical - Fantasy			
1365	3	Comedy	Fantasy	Comedy - Fantasy			
1367	3	Fantasy	Children's/Family	Fantasy - Children's/Family			
1369	3	Fantasy	Comedy	Fantasy - Comedy			
1370	3	Fantasy	Adventure	Fantasy - Adventure			
1372	3	Fantasy	Comedy	Fantasy - Comedy			
1373	3	Fantasy	Comedy	Fantasy - Comedy			
1375	3	Comedy	Fantasy	Comedy - Fantasy			
1377	3	Fantasy	Romance	Fantasy - Romance			
1378	3	Drama	Fantasy	Drama - Fantasy			
1379	3	Science Fiction	Fantasy	Science Fiction - Fantasy			
1380	3	Drama	Western	Drama - Western			
1394	3	Western	Musical	Western - Musical			
1396	3	Drama	Western	Drama - Western			
1401	3	Drama	War	Drama - War			
1406	3	Action	War	Action - War			
1409	3	Romance	War	Romance - War			
1412	3	Drama	War	Drama - War			
1414	3	Comedy	War	Comedy - War			
1425	3	Horror	Romance	Horror - Romance			
1426	3	Horror	Fantasy	Horror - Fantasy			
1428	3	Horror	Science Fiction	Horror - Science Fiction			
1431	3	Science Fiction	Horror	Science Fiction - Horror			
1433	3	Thriller	Horror	Thriller - Horror			
1436	3	Thriller	Horror	Thriller - Horror			
1437	3	Horror	Drama	Horror - Drama			
1439	3	Science Fiction	Horror	Science Fiction - Horror			
1441	3	Thriller	Horror	Thriller - Horror			
1446	3	Thriller	Horror	Thriller - Horror			
1447	3	Thriller	Horror	Thriller - Horror			
1449	3	Horror	Comedy	Horror - Comedy			
1453	3	Crime	Horror	Crime - Horror			
1456	3	Crime	Horror	Crime - Horror			
1466	3	Thriller	Horror	Thriller - Horror			
1471	3	Horror	Comedy	Horror - Comedy			
1473	3	Horror	Comedy	Horror - Comedy			
1474	3	Horror	Science Fiction	Horror - Science Fiction			
1476	3	Horror	Action	Horror - Action			
1478	3	Horror	Comedy	Horror - Comedy			
1481	3	Horror	Comedy	Horror - Comedy			
1483	3	Horror	Science Fiction	Horror - Science Fiction			
1485	3	Horror	Comedy	Horror - Comedy			
1496	3	Crime	Thriller	Crime - Thriller			
1498	3	Thriller	Crime	Thriller - Crime			
1499	3	Thriller	Mystery	Thriller - Mystery			
1509	3	Comedy	Thriller	Comedy - Thriller			
1511	3	Thriller	Mystery	Thriller - Mystery			
1515	3	Thriller	Action	Thriller - Action			
1517	3	Crime	Thriller	Crime - Thriller			
1520	3	Action	Thriller	Action - Thriller			
1522	3	Thriller	Mystery	Thriller - Mystery			
1524	3	Action	Thriller	Action - Thriller			
1526	3	Thriller	Drama	Thriller - Drama			
1535	3	Thriller	Mystery	Thriller - Mystery			
1536	3	Thriller	Drama	Thriller - Drama			
1539	3	Mystery	Thriller	Mystery - Thriller			
1541	3	Mystery	Thriller	Mystery - Thriller			
1546	3	Thriller	Action	Thriller - Action			
1550	3	Horror	Thriller	Horror - Thriller			
