movie	hollywood	genre					
1173	4	History	Film	tv & radio	History - Film - tv & radio		
1194	4	Drama	Horror	Romance	Drama - Horror - Romance		
1232	4	Drama	War	Romance	Drama - War - Romance		
1287	4	Drama	Fantasy	Children's/family	Drama - Fantasy - Children's/family		
1323	4	Drama	Crime	Thriller	Drama - Crime - Thriller		
1717	4	History	Culture & society	Music	History - Culture & society - Music		
1728	4	Fantasy	Horror	Thriller	Fantasy - Horror - Thriller		
1733	4	History	Film	tv & radio	History - Film - tv & radio		
1776	4	Culture & society	Film	tv & radio	Culture & society - Film - tv & radio		
1913	4	Film	tv & radio	History	Film - tv & radio - History		
1927	4	Drama	Crime	Thriller	Drama - Crime - Thriller		
1944	4	History	Theater	Dance	History - Theater - Dance		
1945	4	Comedy drama	Drama	Comedy	Comedy drama - Drama - Comedy		
1954	4	Drama	Crime	Mystery	Drama - Crime - Mystery		
1958	4	Drama	War	Horror	Drama - War - Horror		
1977	4	Adult	Film	tv & radio	Adult - Film - tv & radio		
1990	4	Adventure	Comedy	Children's/family	Adventure - Comedy - Children's/family		
1992	4	Drama	Mystery	Crime	Drama - Mystery - Crime		
0002	3	Epic	Romance	Epic - Romance			
0005	3	Musical	Romance	Musical - Romance			
0012	3	Action	Adventure	Action - Adventure			
0014	3	Action	Adventure	Action - Adventure			
0026	3	Mystery	Thriller	Mystery - Thriller			
0039	3	Adventure	Horror	Adventure - Horror			
0047	3	Comedy	Mystery	Comedy - Mystery			
0055	3	Action	Thriller	Action - Thriller			
0056	3	Adventure	Fantasy	Adventure - Fantasy			
0057	3	Fantasy	Children's/family	Fantasy - Children's/family			
0058	3	Drama	Crime	Drama - Crime			
0061	3	Adventure	Comedy	Adventure - Comedy			
0062	3	Action	Crime	Action - Crime			
0063	3	Drama	Romance	Drama - Romance			
0075	3	Drama	Horror	Drama - Horror			
0079	3	Action	Adventure	Action - Adventure			
0082	3	Horror	Thriller	Horror - Thriller			
0084	3	Comedy	Musical	Comedy - Musical			
0088	3	Science fiction	Thriller	Science fiction - Thriller			
0090	3	Drama	Thriller	Drama - Thriller			
0091	3	Action	Adventure	Action - Adventure			
0101	3	Comedy	Mystery	Comedy - Mystery			
0102	3	Adventure	Science fiction	Adventure - Science fiction			
0108	3	Drama	Crime	Drama - Crime			
0111	3	Adventure	Comedy	Adventure - Comedy			
0113	3	Spy film	Action	Spy film - Action			
0125	3	Adventure	Fantasy	Adventure - Fantasy			
0127	3	Horror	Thriller	Horror - Thriller			
0128	3	Comedy	Romance	Comedy - Romance			
0136	3	Drama	Adult	Drama - Adult			
0142	3	Drama	Crime	Drama - Crime			
0144	3	Drama	Romance	Drama - Romance			
0148	3	Fantasy	Musical	Fantasy - Musical			
0150	3	Comedy	Science fiction	Comedy - Science fiction			
0158	3	Comedy	Crime	Comedy - Crime			
0160	3	Drama	Thriller	Drama - Thriller			
0162	3	Action	Adventure	Action - Adventure			
0165	3	Comedy	Romance	Comedy - Romance			
0166	3	Comedy	Science fiction	Comedy - Science fiction			
0167	3	Comedy	Fantasy	Comedy - Fantasy			
0170	3	Drama	Romance	Drama - Romance			
0173	3	Action	Thriller	Action - Thriller			
0183	3	Adventure	Fantasy	Adventure - Fantasy			
0184	3	Drama	Mystery	Drama - Mystery			
0185	3	Comedy drama	Romance	Comedy drama - Romance			
0186	3	Comedy	Crime	Comedy - Crime			
0192	3	Action	Drama	Action - Drama			
0196	3	Horror	Thriller	Horror - Thriller			
0198	3	Drama	Musical	Drama - Musical			
0200	3	Adventure	Drama	Adventure - Drama			
0204	3	Crime	Thriller	Crime - Thriller			
0206	3	Comedy	Horror	Comedy - Horror			
0211	3	Action	Science fiction	Action - Science fiction			
0220	3	Action	Science fiction	Action - Science fiction			
0222	3	Drama	Romance	Drama - Romance			
0230	3	Adventure	Fantasy	Adventure - Fantasy			
0236	3	Comedy	Drama	Comedy - Drama			
0247	3	Comedy	Romance	Comedy - Romance			
0256	3	Adventure	Children's/family	Adventure - Children's/family			
0257	3	Crime	Thriller	Crime - Thriller			
0259	3	Epic	Historical film	Epic - Historical film			
0260	3	Adventure	Drama	Adventure - Drama			
0262	3	Drama	Romance	Drama - Romance			
0264	3	Science fiction	Horror	Science fiction - Horror			
0270	3	Action	Thriller	Action - Thriller			
0280	3	Science fiction	Thriller	Science fiction - Thriller			
0287	3	Drama	Musical	Drama - Musical			
0288	3	Comedy	Science fiction	Comedy - Science fiction			
0295	3	Drama	Crime	Drama - Crime			
0296	3	Drama	Romance	Drama - Romance			
0300	3	Comedy	Science fiction	Comedy - Science fiction			
0306	3	War	Romance	War - Romance			
0307	3	Comedy	Adult	Comedy - Adult			
0308	3	Epic	Romance	Epic - Romance			
0312	3	Comedy	Adult	Comedy - Adult			
0313	3	Adventure	Western	Adventure - Western			
0314	3	Drama	Horror	Drama - Horror			
0316	3	Comedy	Mystery	Comedy - Mystery			
0330	3	Science fiction	Children's/family	Science fiction - Children's/family			
0334	3	Mystery	Crime	Mystery - Crime			
0335	3	Drama	Mystery	Drama - Mystery			
0336	3	Comedy drama	Children's/family	Comedy drama - Children's/family			
0337	3	Action	Drama	Action - Drama			
0339	3	Drama	Children's/family	Drama - Children's/family			
0341	3	Fantasy	Children's/family	Fantasy - Children's/family			
0342	3	Drama	Romance	Drama - Romance			
0347	3	Action	Adventure	Action - Adventure			
0349	3	Comedy	Western	Comedy - Western			
0363	3	Drama	Crime	Drama - Crime			
0375	3	Drama	Crime	Drama - Crime			
0377	3	Action	Drama	Action - Drama			
0380	3	Mystery	Thriller	Mystery - Thriller			
0383	3	Action	Mystery	Action - Mystery			
0386	3	Mystery	Science fiction	Mystery - Science fiction			
0389	3	Crime	Thriller	Crime - Thriller			
0390	3	Science fiction	Thriller	Science fiction - Thriller			
0396	3	Science fiction	Horror	Science fiction - Horror			
0401	3	Drama	Avant-garde / experimental	Drama - Avant-garde / experimental			
0409	3	Spy film	Action	Spy film - Action			
0410	3	Drama	Romance	Drama - Romance			
0414	3	Drama	Horror	Drama - Horror			
0415	3	Crime	Thriller	Crime - Thriller			
0421	3	Drama	Romance	Drama - Romance			
0431	3	Comedy	Horror	Comedy - Horror			
0432	3	Drama	Romance	Drama - Romance			
0434	3	Film	tv & radio	Film - tv & radio			
0442	3	Horror	Thriller	Horror - Thriller			
0443	3	Fantasy	Avant-garde / experimental	Fantasy - Avant-garde / experimental			
0458	3	Drama	War	Drama - War			
0461	3	Action	Crime	Action - Crime			
0462	3	Action	Adventure	Action - Adventure			
0468	3	Comedy	Horror	Comedy - Horror			
0478	3	Action	Crime	Action - Crime			
0481	3	Action	Thriller	Action - Thriller			
0482	3	Drama	Romance	Drama - Romance			
0486	3	Comedy	Romance	Comedy - Romance			
0489	3	Drama	Crime	Drama - Crime			
0490	3	Drama	Romance	Drama - Romance			
0495	3	Drama	Romance	Drama - Romance			
0497	3	Action	Drama	Action - Drama			
0498	3	Comedy	Fantasy	Comedy - Fantasy			
0505	3	Drama	Crime	Drama - Crime			
0506	3	Science fiction	Horror	Science fiction - Horror			
0507	3	Drama	Crime	Drama - Crime			
0508	3	Comedy	Fantasy	Comedy - Fantasy			
0516	3	Spy film	Action	Spy film - Action			
0519	3	Action	Drama	Action - Drama			
0524	3	Action	Science fiction	Action - Science fiction			
0525	3	Action	Drama	Action - Drama			
0529	3	Drama	Thriller	Drama - Thriller			
0531	3	Drama	Adult	Drama - Adult			
0533	3	Comedy	Musical	Comedy - Musical			
0534	3	Musical	Romance	Musical - Romance			
0539	3	Fantasy	Children's/family	Fantasy - Children's/family			
0542	3	Drama	Mystery	Drama - Mystery			
0546	3	Horror	Thriller	Horror - Thriller			
0551	3	Science fiction	Thriller	Science fiction - Thriller			
0552	3	Drama	Thriller	Drama - Thriller			
0558	3	Drama	Crime	Drama - Crime			
0567	3	Action	Western	Action - Western			
0568	3	Comedy	Romance	Comedy - Romance			
0575	3	Crime	Thriller	Crime - Thriller			
0578	3	Horror	Thriller	Horror - Thriller			
0580	3	Comedy	Crime	Comedy - Crime			
0582	3	Comedy drama	War	Comedy drama - War			
0592	3	Drama	Romance	Drama - Romance			
0593	3	Drama	Thriller	Drama - Thriller			
0595	3	Action	Comedy	Action - Comedy			
0596	3	Drama	Fantasy	Drama - Fantasy			
0597	3	Action	Science fiction	Action - Science fiction			
0611	3	Horror	Avant-garde / experimental	Horror - Avant-garde / experimental			
0614	3	Comedy	Musical	Comedy - Musical			
0618	3	Comedy	Thriller	Comedy - Thriller			
0620	3	Action	Drama	Action - Drama			
0622	3	Comedy	Romance	Comedy - Romance			
0623	3	Science fiction	Horror	Science fiction - Horror			
0626	3	Action	Adventure	Action - Adventure			
0629	3	Adventure	Drama	Adventure - Drama			
0631	3	Comedy	Romance	Comedy - Romance			
0633	3	Crime	Thriller	Crime - Thriller			
0640	3	Horror	Thriller	Horror - Thriller			
0647	3	Mystery	Thriller	Mystery - Thriller			
0648	3	Action	Thriller	Action - Thriller			
0650	3	Adventure	Drama	Adventure - Drama			
0652	3	Comedy	Romance	Comedy - Romance			
0660	3	Comedy	Romance	Comedy - Romance			
0661	3	Comedy	Children's/family	Comedy - Children's/family			
0664	3	Action	Drama	Action - Drama			
0666	3	Comedy	Fantasy	Comedy - Fantasy			
0670	3	Drama	Romance	Drama - Romance			
0672	3	Adventure	Children's/family	Adventure - Children's/family			
0674	3	Action	Thriller	Action - Thriller			
0676	3	Drama	Crime	Drama - Crime			
0677	3	Fantasy	Children's/family	Fantasy - Children's/family			
0680	3	Comedy	Fantasy	Comedy - Fantasy			
0681	3	Action	Comedy	Action - Comedy			
0687	3	Comedy	Mystery	Comedy - Mystery			
0688	3	Action	Adventure	Action - Adventure			
0694	3	Comedy drama	Drama	Comedy drama - Drama			
0697	3	Drama	Children's/family	Drama - Children's/family			
0718	3	Crime	Thriller	Crime - Thriller			
0719	3	Science fiction	Thriller	Science fiction - Thriller			
0722	3	Historical film	Romance	Historical film - Romance			
0732	3	Film	tv & radio	Film - tv & radio			
0734	3	Fantasy	Children's/family	Fantasy - Children's/family			
0739	3	Culture & society	Music	Culture & society - Music			
0745	3	Spy film	Thriller	Spy film - Thriller			
0747	3	Thriller	Adult	Thriller - Adult			
0748	3	Fantasy	Children's/family	Fantasy - Children's/family			
0754	3	Comedy drama	Romance	Comedy drama - Romance			
0761	3	Drama	Romance	Drama - Romance			
0762	3	Drama	Children's/family	Drama - Children's/family			
0763	3	Fantasy	Science fiction	Fantasy - Science fiction			
0764	3	Comedy	Children's/family	Comedy - Children's/family			
0771	3	Fantasy	Avant-garde / experimental	Fantasy - Avant-garde / experimental			
0772	3	Drama	War	Drama - War			
0773	3	Science fiction	Thriller	Science fiction - Thriller			
0774	3	Comedy drama	Avant-garde / experimental	Comedy drama - Avant-garde / experimental			
0785	3	Drama	Historical film	Drama - Historical film			
0787	3	Drama	Crime	Drama - Crime			
0789	3	Comedy	Horror	Comedy - Horror			
0792	3	Comedy	Children's/family	Comedy - Children's/family			
0794	3	Action	Western	Action - Western			
0797	3	Spy film	Drama	Spy film - Drama			
0802	3	Comedy drama	Romance	Comedy drama - Romance			
0804	3	Drama	Thriller	Drama - Thriller			
0809	3	Drama	Thriller	Drama - Thriller			
0812	3	Thriller	Horror	Thriller - Horror			
0813	3	Comedy	Children's/family	Comedy - Children's/family			
0818	3	Film	tv & radio	Film - tv & radio			
0821	3	Drama	Children's/family	Drama - Children's/family			
0825	3	Drama	Fantasy	Drama - Fantasy			
0826	3	Comedy drama	Romance	Comedy drama - Romance			
0845	3	Fantasy	Children's/family	Fantasy - Children's/family			
0852	3	Adventure	Children's/family	Adventure - Children's/family			
0853	3	Drama	Children's/family	Drama - Children's/family			
0858	3	Drama	Romance	Drama - Romance			
0868	3	Comedy	Crime	Comedy - Crime			
0870	3	Comedy	Romance	Comedy - Romance			
0878	3	Fantasy	Children's/family	Fantasy - Children's/family			
0879	3	Comedy	Thriller	Comedy - Thriller			
0896	3	Drama	Mystery	Drama - Mystery			
0905	3	Drama	Romance	Drama - Romance			
0909	3	Adventure	Crime	Adventure - Crime			
0910	3	Drama	Romance	Drama - Romance			
0917	3	Drama	Romance	Drama - Romance			
0918	3	Comedy	Romance	Comedy - Romance			
0932	3	Drama	Crime	Drama - Crime			
0943	3	Drama	Fantasy	Drama - Fantasy			
0946	3	Comedy drama	Musical	Comedy drama - Musical			
0956	3	Crime	Thriller	Crime - Thriller			
0960	3	Drama	Children's/family	Drama - Children's/family			
0973	3	Epic	Historical film	Epic - Historical film			
0977	3	Comedy drama	War	Comedy drama - War			
0996	3	Drama	Romance	Drama - Romance			
1002	3	Culture & society	Language & literature	Culture & society - Language & literature			
1004	3	Culture & society	Music	Culture & society - Music			
1010	3	Action	Western	Action - Western			
1017	3	Comedy drama	Romance	Comedy drama - Romance			
1018	3	Horror	Thriller	Horror - Thriller			
1021	3	Drama	Thriller	Drama - Thriller			
1030	3	Action	Thriller	Action - Thriller			
1035	3	Drama	Romance	Drama - Romance			
1045	3	Culture & society	Music	Culture & society - Music			
1051	3	Drama	Romance	Drama - Romance			
1059	3	Health & fitness	Culture & society	Health & fitness - Culture & society			
1062	3	Comedy	Science fiction	Comedy - Science fiction			
1073	3	Drama	Crime	Drama - Crime			
1078	3	Drama	Romance	Drama - Romance			
1079	3	Comedy	Science fiction	Comedy - Science fiction			
1080	3	Drama	Horror	Drama - Horror			
1082	3	Action	Crime	Action - Crime			
1083	3	Mystery	Thriller	Mystery - Thriller			
1085	3	Comedy	Thriller	Comedy - Thriller			
1094	3	Comedy	Horror	Comedy - Horror			
1095	3	Spy film	Comedy drama	Spy film - Comedy drama			
1096	3	Crime	Horror	Crime - Horror			
1099	3	Drama	War	Drama - War			
1100	3	Crime	Thriller	Crime - Thriller			
1103	3	Spy film	Thriller	Spy film - Thriller			
1105	3	Drama	Romance	Drama - Romance			
1107	3	Comedy	Children's/family	Comedy - Children's/family			
1114	3	Culture & society	Music	Culture & society - Music			
1119	3	Culture & society	Music	Culture & society - Music			
1120	3	Comedy	Romance	Comedy - Romance			
1121	3	Comedy	Romance	Comedy - Romance			
1123	3	Action	Western	Action - Western			
1125	3	Drama	War	Drama - War			
1129	3	Comedy	Children's/family	Comedy - Children's/family			
1131	3	Comedy	Children's/family	Comedy - Children's/family			
1143	3	Theater	History	Theater - History			
1147	3	Action	Horror	Action - Horror			
1152	3	Crime	Thriller	Crime - Thriller			
1154	3	Drama	Thriller	Drama - Thriller			
1156	3	Science fiction	Musical	Science fiction - Musical			
1161	3	Comedy	Mystery	Comedy - Mystery			
1166	3	Fantasy	Children's/family	Fantasy - Children's/family			
1176	3	History	Language & literature	History - Language & literature			
1178	3	Adventure	Comedy	Adventure - Comedy			
1181	3	Drama	Crime	Drama - Crime			
1184	3	Avant-garde / experimental	Visual arts	Avant-garde / experimental - Visual arts			
1186	3	Culture & society	Music	Culture & society - Music			
1188	3	Spirituality & philosophy	Culture & society	Spirituality & philosophy - Culture & society			
1190	3	Comedy	Western	Comedy - Western			
1193	3	Comedy	War	Comedy - War			
1199	3	Comedy	Romance	Comedy - Romance			
1211	3	Crime	Thriller	Crime - Thriller			
1214	3	Drama	Horror	Drama - Horror			
1228	3	Culture & society	Music	Culture & society - Music			
1234	3	Drama	Avant-garde / experimental	Drama - Avant-garde / experimental			
1236	3	History	Sports & recreation	History - Sports & recreation			
1237	3	Comedy drama	Romance	Comedy drama - Romance			
1240	3	Film	tv & radio	Film - tv & radio			
1244	3	Drama	Avant-garde / experimental	Drama - Avant-garde / experimental			
1248	3	Comedy drama	Comedy	Comedy drama - Comedy			
1251	3	Comedy	Children's/family	Comedy - Children's/family			
1252	3	Comedy drama	Romance	Comedy drama - Romance			
1256	3	Adventure	Drama	Adventure - Drama			
1260	3	Family & personal relationships	Culture & society	Family & personal relationships - Culture & society			
1261	3	Drama	Romance	Drama - Romance			
1263	3	Drama	Romance	Drama - Romance			
1272	3	Family & personal relationships	Culture & society	Family & personal relationships - Culture & society			
1273	3	Family & personal relationships	Culture & society	Family & personal relationships - Culture & society			
1275	3	History	Culture & society	History - Culture & society			
1280	3	Fantasy	Epic	Fantasy - Epic			
1284	3	Comedy	Musical	Comedy - Musical			
1293	3	Crime	Thriller	Crime - Thriller			
1295	3	Drama	Science fiction	Drama - Science fiction			
1300	3	Epic	War	Epic - War			
1309	3	Drama	Thriller	Drama - Thriller			
1311	3	Comedy	Children's/family	Comedy - Children's/family			
1314	3	Drama	Romance	Drama - Romance			
1317	3	Culture & society	Music	Culture & society - Music			
1318	3	Comedy drama	Avant-garde / experimental	Comedy drama - Avant-garde / experimental			
1319	3	Fantasy	Children's/family	Fantasy - Children's/family			
1325	3	Spirituality & philosophy	Culture & society	Spirituality & philosophy - Culture & society			
1328	3	Drama	Mystery	Drama - Mystery			
1330	3	Comedy	Horror	Comedy - Horror			
1332	3	Drama	Thriller	Drama - Thriller			
1334	3	Comedy	Children's/family	Comedy - Children's/family			
1335	3	Adventure	Children's/family	Adventure - Children's/family			
1337	3	Adventure	Science fiction	Adventure - Science fiction			
1342	3	Drama	War	Drama - War			
1344	3	History	Culture & society	History - Culture & society			
1351	3	Drama	Crime	Drama - Crime			
1352	3	Spy film	Children's/family	Spy film - Children's/family			
1362	3	Action	Horror	Action - Horror			
1367	3	Comedy drama	Romance	Comedy drama - Romance			
1380	3	Comedy	Avant-garde / experimental	Comedy - Avant-garde / experimental			
1383	3	Visual arts	Culture & society	Visual arts - Culture & society			
1389	3	Action	Adventure	Action - Adventure			
1391	3	Comedy	Children's/family	Comedy - Children's/family			
1397	3	Action	Drama	Action - Drama			
1428	3	Drama	Thriller	Drama - Thriller			
1431	3	Comedy drama	Avant-garde / experimental	Comedy drama - Avant-garde / experimental			
1436	3	Drama	Romance	Drama - Romance			
1446	3	Drama	Romance	Drama - Romance			
1448	3	Comedy	Romance	Comedy - Romance			
1456	3	Drama	Thriller	Drama - Thriller			
1459	3	Comedy	Romance	Comedy - Romance			
1469	3	Fantasy	Children's/family	Fantasy - Children's/family			
1471	3	History	Culture & society	History - Culture & society			
1480	3	Drama	Children's/family	Drama - Children's/family			
1481	3	Sports & recreation	Culture & society	Sports & recreation - Culture & society			
1496	3	Nature	Culture & society	Nature - Culture & society			
1497	3	Drama	War	Drama - War			
1498	3	Drama	War	Drama - War			
1505	3	Drama	Avant-garde / experimental	Drama - Avant-garde / experimental			
1520	3	Comedy	Music	Comedy - Music			
1533	3	Business	Culture & society	Business - Culture & society			
1536	3	Drama	Romance	Drama - Romance			
1537	3	Comedy drama	Fantasy	Comedy drama - Fantasy			
1543	3	Culture & society	Music	Culture & society - Music			
1556	3	Drama	Mystery	Drama - Mystery			
1561	3	Mystery	Avant-garde / experimental	Mystery - Avant-garde / experimental			
1567	3	Action	Crime	Action - Crime			
1575	3	Drama	War	Drama - War			
1580	3	Drama	Avant-garde / experimental	Drama - Avant-garde / experimental			
1583	3	Comedy	Children's/family	Comedy - Children's/family			
1584	3	Crime	Musical	Crime - Musical			
1608	3	Sports & recreation	Culture & society	Sports & recreation - Culture & society			
1611	3	Crime	Horror	Crime - Horror			
1612	3	Action	Western	Action - Western			
1616	3	Horror	Thriller	Horror - Thriller			
1625	3	Drama	Thriller	Drama - Thriller			
1634	3	Nature	Culture & society	Nature - Culture & society			
1638	3	Science & technology	Culture & society	Science & technology - Culture & society			
1640	3	History	Culture & society	History - Culture & society			
1644	3	Action	Horror	Action - Horror			
1653	3	Culture & society	Music	Culture & society - Music			
1654	3	Comedy drama	Romance	Comedy drama - Romance			
1668	3	Sports & recreation	Culture & society	Sports & recreation - Culture & society			
1671	3	Drama	Avant-garde / experimental	Drama - Avant-garde / experimental			
1679	3	Adventure	Children's/family	Adventure - Children's/family			
1683	3	Sports & recreation	Culture & society	Sports & recreation - Culture & society			
1685	3	Fantasy	Children's/family	Fantasy - Children's/family			
1689	3	Drama	Thriller	Drama - Thriller			
1718	3	History	Culture & society	History - Culture & society			
1724	3	Film	tv & radio	Film - tv & radio			
1727	3	Dance	Culture & society	Dance - Culture & society			
1740	3	Action	Thriller	Action - Thriller			
1741	3	Drama	War	Drama - War			
1779	3	Comedy drama	Comedy	Comedy drama - Comedy			
1785	3	Drama	Horror	Drama - Horror			
1805	3	Fantasy	Children's/family	Fantasy - Children's/family			
1817	3	Thriller	Drama	Thriller - Drama			
1818	3	Drama	Epic	Drama - Epic			
1828	3	Action	Drama	Action - Drama			
1831	3	Action	Thriller	Action - Thriller			
1832	3	Comedy	Comedy drama	Comedy - Comedy drama			
1835	3	Comedy drama	Crime	Comedy drama - Crime			
1837	3	Spirituality & philosophy	Culture & society	Spirituality & philosophy - Culture & society			
1840	3	Dance	Culture & society	Dance - Culture & society			
1841	3	Culture & society	Drama	Culture & society - Drama			
1848	3	Drama	Comedy drama	Drama - Comedy drama			
1858	3	Culture & society	Music	Culture & society - Music			
1860	3	Culture & society	Nature	Culture & society - Nature			
1861	3	Business	Culture & society	Business - Culture & society			
1862	3	Comedy drama	Drama	Comedy drama - Drama			
1865	3	Comedy	Mystery	Comedy - Mystery			
1866	3	Drama	Thriller	Drama - Thriller			
1867	3	Drama	Crime	Drama - Crime			
1879	3	Crime	Action	Crime - Action			
1883	3	Comedy	Children's/family	Comedy - Children's/family			
1889	3	Comedy drama	Romance	Comedy drama - Romance			
1891	3	Culture & society	Spirituality & philosophy	Culture & society - Spirituality & philosophy			
1897	3	Action	Comedy	Action - Comedy			
1898	3	History	Nature	History - Nature			
1900	3	Drama	Comedy	Drama - Comedy			
1906	3	Comedy drama	Drama	Comedy drama - Drama			
1908	3	Avant-garde / experimental	Thriller	Avant-garde / experimental - Thriller			
1910	3	Thriller	Drama	Thriller - Drama			
1914	3	Film	tv & radio	Film - tv & radio			
1921	3	Action	Drama	Action - Drama			
1923	3	Drama	Thriller	Drama - Thriller			
1926	3	Comedy drama	Drama	Comedy drama - Drama			
1928	3	Drama	Children's/family	Drama - Children's/family			
1929	3	Drama	Mystery	Drama - Mystery			
1931	3	Drama	Comedy drama	Drama - Comedy drama			
1932	3	Spirituality & philosophy	Culture & society	Spirituality & philosophy - Culture & society			
1938	3	Comedy	Drama	Comedy - Drama			
1948	3	Comedy drama	Drama	Comedy drama - Drama			
1949	3	Culture & society	Visual arts	Culture & society - Visual arts			
1959	3	Drama	Romance	Drama - Romance			
1971	3	Western	Romance	Western - Romance			
1978	3	Action	Crime	Action - Crime			
1980	3	Action	Thriller	Action - Thriller			
1983	3	Action	Crime	Action - Crime			
1993	3	Mystery	Horror	Mystery - Horror			
1994	3	Drama	Romance	Drama - Romance			
1995	3	Action	Thriller	Action - Thriller			
0000	1	Drama					
0001	1	Drama					
0003	1	Drama					
0004	1	Drama					
0006	1	Comedy					
0007	1	Drama					
0008	1	Thriller					
0009	1	Drama					
0010	1	Historical film					
0011	1	Drama					
0013	1	Comedy					
0015	1	Avant-garde / experimental					
0016	1	Drama					
0017	1	Adventure					
0018	1	Comedy					
0019	1	Comedy					
0020	1	Drama					
0021	1	Horror					
0022	1	Comedy					
0023	1	Action					
0024	1	Drama					
0027	1	Western					
0028	1	Action					
0029	1	Drama					
0030	1	Horror					
0031	1	Thriller					
0032	1	Avant-garde / experimental					
0034	1	Drama					
0035	1	Horror					
0036	1	Horror					
0037	1	Comedy drama					
0038	1	Horror					
0040	1	Comedy					
0041	1	Spy film					
0042	1	Crime					
0043	1	Comedy					
0044	1	Adventure					
0045	1	Drama					
0046	1	Thriller					
0048	1	Comedy drama					
0049	1	Drama					
0050	1	Western					
0051	1	Adult					
0052	1	Drama					
0053	1	History					
0054	1	Comedy					
0059	1	Drama					
0060	1	Drama					
0064	1	Drama					
0065	1	Comedy drama					
0066	1	Crime					
0067	1	Science fiction					
0068	1	Drama					
0069	1	Comedy					
0070	1	Drama					
0071	1	Drama					
0072	1	Comedy					
0073	1	Comedy					
0074	1	War					
0076	1	Drama					
0077	1	Comedy					
0080	1	Comedy					
0083	1	Comedy					
0085	1	Drama					
0087	1	Western					
0089	1	Drama					
0092	1	Action					
0093	1	Drama					
0094	1	Drama					
0095	1	Drama					
0096	1	Comedy					
0097	1	Comedy					
0098	1	Comedy drama					
0099	1	Comedy					
0100	1	Crime					
0103	1	Drama					
0104	1	Comedy					
0105	1	Drama					
0106	1	Comedy					
0107	1	Drama					
