movie	msn	genre				
0854	4	Action	Comedy	Sci-Fi	Action - Comedy - Sci-Fi	
0864	4	Comedy	Drama	Romance	Comedy - Drama - Romance	
0866	4	Comedy	Drama	Romance	Comedy - Drama - Romance	
0868	4	Comedy	Drama	Romance	Comedy - Drama - Romance	
0873	4	Family	Drama	Sci-Fi	Family - Drama - Sci-Fi	
0878	4	Family	Drama	Comedy	Family - Drama - Comedy	
0974	4	Family	Sci-Fi	Comedy	Family - Sci-Fi - Comedy	
0977	4	Comedy	Drama	Romance	Comedy - Drama - Romance	
0984	4	Comedy	Drama	Romance	Comedy - Drama - Romance	
0997	4	Action	Romance	Drama	Action - Romance - Drama	
0998	4	Family	Drama	Action	Family - Drama - Action	
1002	4	Comedy	Drama	Romance	Comedy - Drama - Romance	
1003	4	Comedy	Drama	Romance	Comedy - Drama - Romance	
1004	4	Family	Comedy	Sci-Fi	Family - Comedy - Sci-Fi	
1014	4	War	Action	Drama	War - Action - Drama	
1018	4	Comedy	Drama	Action	Comedy - Drama - Action	
1019	4	Drama	Comedy	Action	Drama - Comedy - Action	
1095	4	Drama	Documentary	Musical	Drama - Documentary - Musical	
1108	4	Comedy	Drama	Romance	Comedy - Drama - Romance	
1109	4	Comedy	Romance	Drama	Comedy - Romance - Drama	
1122	4	Comedy	Romance	Action	Comedy - Romance - Action	
1123	4	Horror	Drama	Action	Horror - Drama - Action	
1130	4	Family	Sci-Fi	Horror	Family - Sci-Fi - Horror	
1133	4	War	Drama	Action	War - Drama - Action	
1134	4	Action	Drama	Sci-Fi	Action - Drama - Sci-Fi	
1143	4	Family	Action	Comedy	Family - Action - Comedy	
1151	4	Family	Action	Sci-Fi	Family - Action - Sci-Fi	
1161	4	Comedy	Drama	Romance	Comedy - Drama - Romance	
1163	4	Drama	Action	Comedy	Drama - Action - Comedy	
1164	4	Comedy	Drama	Romance	Comedy - Drama - Romance	
1165	4	Comedy	Drama	Action	Comedy - Drama - Action	
1169	4	Comedy	Drama	Romance	Comedy - Drama - Romance	
1177	4	Comedy	Drama	Romance	Comedy - Drama - Romance	
1209	4	Action	Sci-Fi	Horror	Action - Sci-Fi - Horror	
1213	4	Drama	Documentary	Action	Drama - Documentary - Action	
1225	4	Drama	Action	Horror	Drama - Action - Horror	
1233	4	Comedy	Drama	Sci-Fi	Comedy - Drama - Sci-Fi	
1236	4	Family	Sci-Fi	Comedy	Family - Sci-Fi - Comedy	
1243	4	Comedy	Drama	Musical	Comedy - Drama - Musical	
1247	4	Drama	Documentary	Musical	Drama - Documentary - Musical	
1257	4	Comedy	Drama	Musical	Comedy - Drama - Musical	
1271	4	Sci-Fi	Drama	Action	Sci-Fi - Drama - Action	
1284	4	Drama	Comedy	Action	Drama - Comedy - Action	
1289	4	Family	Drama	Action	Family - Drama - Action	
1291	4	Action	Comedy	Western	Action - Comedy - Western	
1301	4	Comedy	Drama	Romance	Comedy - Drama - Romance	
1304	4	Drama	Documentary	Musical	Drama - Documentary - Musical	
1309	4	Comedy	Drama	Romance	Comedy - Drama - Romance	
1347	4	Family	Sci-Fi	Drama	Family - Sci-Fi - Drama	
1381	4	Family	Sci-Fi	Comedy	Family - Sci-Fi - Comedy	
1382	4	Comedy	Drama	Sci-Fi	Comedy - Drama - Sci-Fi	
1387	4	Drama	Romance	War	Drama - Romance - War	
1401	4	Comedy	War	Drama	Comedy - War - Drama	
1404	4	Family	Sci-Fi	Comedy	Family - Sci-Fi - Comedy	
1472	4	Drama	Comedy	Action	Drama - Comedy - Action	
1473	4	Comedy	Romance	Drama	Comedy - Romance - Drama	
1488	4	Action	Horror	Sci-Fi	Action - Horror - Sci-Fi	
1493	4	Comedy	Romance	Action	Comedy - Romance - Action	
1500	4	Drama	Romance	Sci-Fi	Drama - Romance - Sci-Fi	
1515	4	Comedy	Sci-Fi	Romance	Comedy - Sci-Fi - Romance	
1534	4	Sci-Fi	Action	Horror	Sci-Fi - Action - Horror	
1540	4	Family	Action	Sci-Fi	Family - Action - Sci-Fi	
1547	4	Comedy	Action	Drama	Comedy - Action - Drama	
1631	4	Comedy	Drama	Action	Comedy - Drama - Action	
1638	4	Comedy	Drama	Romance	Comedy - Drama - Romance	
1646	4	War	Action	Drama	War - Action - Drama	
1657	4	Comedy	Sci-Fi	Horror	Comedy - Sci-Fi - Horror	
1673	4	Comedy	Action	Horror	Comedy - Action - Horror	
1687	4	Drama	Action	Comedy	Drama - Action - Comedy	
1691	4	Comedy	Drama	Romance	Comedy - Drama - Romance	
1713	4	Family	Comedy	Sci-Fi	Family - Comedy - Sci-Fi	
1718	4	Musical	Drama	Romance	Musical - Drama - Romance	
1734	4	Drama	Musical	Romance	Drama - Musical - Romance	
1738	4	Sci-Fi	Horror	Drama	Sci-Fi - Horror - Drama	
1743	4	Comedy	Drama	Romance	Comedy - Drama - Romance	
1753	4	Action	Comedy	Musical	Action - Comedy - Musical	
1757	4	War	Drama	Action	War - Drama - Action	
1758	4	Family	Action	Sci-Fi	Family - Action - Sci-Fi	
1765	4	Action	Drama	Horror	Action - Drama - Horror	
1772	4	Sci-Fi	Action	Drama	Sci-Fi - Action - Drama	
1776	4	Musical	Comedy	Drama	Musical - Comedy - Drama	
1781	4	Action	Western	War	Action - Western - War	
1784	4	Musical	Drama	Romance	Musical - Drama - Romance	
1790	4	Comedy	Drama	Romance	Comedy - Drama - Romance	
1793	4	Drama	Action	Romance	Drama - Action - Romance	
1808	4	Family	Sci-Fi	Action	Family - Sci-Fi - Action	
1818	4	Horror	Drama	Romance	Horror - Drama - Romance	
1829	4	Sci-Fi	Comedy	Action	Sci-Fi - Comedy - Action	
1861	4	Action	Comedy	Drama	Action - Comedy - Drama	
1883	4	Drama	Comedy	Romance	Drama - Comedy - Romance	
1887	4	Family	Sci-Fi	Action	Family - Sci-Fi - Action	
1893	4	Horror	Action	Drama	Horror - Action - Drama	
1902	4	Family	Action	Sci-Fi	Family - Action - Sci-Fi	
1909	4	Drama	Action	Sci-Fi	Drama - Action - Sci-Fi	
1914	4	Romance	Comedy	Drama	Romance - Comedy - Drama	
1921	4	Family	Comedy	Action	Family - Comedy - Action	
1947	4	Family	Action	Sci-Fi	Family - Action - Sci-Fi	
1970	4	Sci-Fi	Action	Drama	Sci-Fi - Action - Drama	
1974	4	Drama	Comedy	Action	Drama - Comedy - Action	
1975	4	Drama	Romance	Comedy	Drama - Romance - Comedy	
1984	4	Comedy	Action	Drama	Comedy - Action - Drama	
1999	4	Sci-Fi	Drama	Horror	Sci-Fi - Drama - Horror	
0000	3	Family	Comedy	Family - Comedy		
0005	3	Drama	Romance	Drama - Romance		
0006	3	War	Drama	War - Drama		
0008	3	Musical	Documentary	Musical - Documentary		
0009	3	Drama	Action	Drama - Action		
0010	3	Comedy	Drama	Comedy - Drama		
0013	3	Comedy	Drama	Comedy - Drama		
0015	3	Drama	Romance	Drama - Romance		
0018	3	Drama	Romance	Drama - Romance		
0023	3	Comedy	Drama	Comedy - Drama		
0025	3	Drama	Action	Drama - Action		
0026	3	Horror	Action	Horror - Action		
0028	3	Comedy	Romance	Comedy - Romance		
0030	3	Action	Drama	Action - Drama		
0032	3	Comedy	Drama	Comedy - Drama		
0033	3	Drama	Action	Drama - Action		
0034	3	Drama	Action	Drama - Action		
0036	3	Musical	Romance	Musical - Romance		
0038	3	Drama	Comedy	Drama - Comedy		
0043	3	Comedy	Drama	Comedy - Drama		
0044	3	Drama	Action	Drama - Action		
0047	3	Drama	Romance	Drama - Romance		
0048	3	Comedy	Drama	Comedy - Drama		
0050	3	Documentary	Musical	Documentary - Musical		
0051	3	Drama	Comedy	Drama - Comedy		
0053	3	Drama	War	Drama - War		
0057	3	Action	Comedy	Action - Comedy		
0060	3	Drama	Action	Drama - Action		
0063	3	Drama	Action	Drama - Action		
0065	3	Family	Documentary	Family - Documentary		
0066	3	Action	Comedy	Action - Comedy		
0070	3	Comedy	Action	Comedy - Action		
0071	3	Drama	Romance	Drama - Romance		
0073	3	Drama	Musical	Drama - Musical		
0075	3	Comedy	Drama	Comedy - Drama		
0079	3	Comedy	Musical	Comedy - Musical		
0081	3	Sci-Fi	Drama	Sci-Fi - Drama		
0082	3	Comedy	Drama	Comedy - Drama		
0088	3	Action	Comedy	Action - Comedy		
0094	3	Comedy	Sci-Fi	Comedy - Sci-Fi		
0095	3	Drama	Action	Drama - Action		
0096	3	Action	Drama	Action - Drama		
0097	3	Family	Action	Family - Action		
0100	3	Sci-Fi	Action	Sci-Fi - Action		
0101	3	Comedy	Drama	Comedy - Drama		
0105	3	Action	Sci-Fi	Action - Sci-Fi		
0107	3	Drama	Action	Drama - Action		
0108	3	Musical	Documentary	Musical - Documentary		
0109	3	Horror	Drama	Horror - Drama		
0111	3	Family	Action	Family - Action		
0113	3	Drama	War	Drama - War		
0114	3	Comedy	Action	Comedy - Action		
0116	3	Drama	Sci-Fi	Drama - Sci-Fi		
0118	3	Musical	Documentary	Musical - Documentary		
0125	3	Action	Drama	Action - Drama		
0126	3	Action	Drama	Action - Drama		
0127	3	Drama	Action	Drama - Action		
0129	3	Drama	Action	Drama - Action		
0130	3	Comedy	Drama	Comedy - Drama		
0132	3	Horror	Action	Horror - Action		
0133	3	Comedy	Drama	Comedy - Drama		
0135	3	Drama	Romance	Drama - Romance		
0137	3	Drama	Action	Drama - Action		
0141	3	Comedy	Drama	Comedy - Drama		
0143	3	Comedy	Drama	Comedy - Drama		
0144	3	Drama	Action	Drama - Action		
0145	3	Horror	Action	Horror - Action		
0147	3	Action	Drama	Action - Drama		
0153	3	Action	Drama	Action - Drama		
0154	3	Action	Horror	Action - Horror		
0155	3	Action	Drama	Action - Drama		
0156	3	Comedy	Drama	Comedy - Drama		
0158	3	Comedy	Action	Comedy - Action		
0179	3	Comedy	Drama	Comedy - Drama		
0195	3	Drama	Action	Drama - Action		
0196	3	Action	Drama	Action - Drama		
0197	3	Horror	Action	Horror - Action		
0199	3	Action	Comedy	Action - Comedy		
0200	3	Drama	Action	Drama - Action		
0201	3	Comedy	Drama	Comedy - Drama		
0203	3	Drama	Romance	Drama - Romance		
0204	3	Sci-Fi	Drama	Sci-Fi - Drama		
0209	3	Comedy	Drama	Comedy - Drama		
0213	3	Drama	Sci-Fi	Drama - Sci-Fi		
0215	3	Comedy	Drama	Comedy - Drama		
0216	3	Sci-Fi	Drama	Sci-Fi - Drama		
0218	3	Comedy	Romance	Comedy - Romance		
0220	3	Drama	Comedy	Drama - Comedy		
0221	3	Family	Comedy	Family - Comedy		
0225	3	Drama	Action	Drama - Action		
0226	3	Family	Drama	Family - Drama		
0230	3	Action	Drama	Action - Drama		
0234	3	Comedy	Drama	Comedy - Drama		
0235	3	Family	Comedy	Family - Comedy		
0239	3	Horror	Comedy	Horror - Comedy		
0240	3	Comedy	Romance	Comedy - Romance		
0241	3	Drama	Comedy	Drama - Comedy		
0244	3	Drama	War	Drama - War		
0245	3	Comedy	Romance	Comedy - Romance		
0246	3	Documentary	Musical	Documentary - Musical		
0247	3	Family	Comedy	Family - Comedy		
0248	3	Drama	Action	Drama - Action		
0249	3	Action	Drama	Action - Drama		
0251	3	Drama	Action	Drama - Action		
0253	3	Comedy	Drama	Comedy - Drama		
0255	3	Drama	Musical	Drama - Musical		
0259	3	Comedy	Drama	Comedy - Drama		
0260	3	Comedy	Drama	Comedy - Drama		
0261	3	Comedy	Drama	Comedy - Drama		
0262	3	Comedy	Action	Comedy - Action		
0265	3	Horror	Drama	Horror - Drama		
0270	3	Comedy	Drama	Comedy - Drama		
0271	3	Family	Comedy	Family - Comedy		
0272	3	Comedy	Action	Comedy - Action		
0274	3	Action	Drama	Action - Drama		
0276	3	Family	Comedy	Family - Comedy		
0278	3	Sci-Fi	Action	Sci-Fi - Action		
0280	3	Drama	Comedy	Drama - Comedy		
0281	3	Comedy	Drama	Comedy - Drama		
0282	3	Comedy	Romance	Comedy - Romance		
0283	3	Musical	Documentary	Musical - Documentary		
0286	3	Action	Sci-Fi	Action - Sci-Fi		
0288	3	Comedy	Drama	Comedy - Drama		
0289	3	Musical	Documentary	Musical - Documentary		
0291	3	Romance	Drama	Romance - Drama		
0293	3	Documentary	Musical	Documentary - Musical		
0295	3	Action	Sci-Fi	Action - Sci-Fi		
0301	3	Comedy	Drama	Comedy - Drama		
0303	3	Action	Drama	Action - Drama		
0304	3	Comedy	Romance	Comedy - Romance		
0309	3	Comedy	Drama	Comedy - Drama		
0310	3	Horror	Action	Horror - Action		
0311	3	Comedy	Action	Comedy - Action		
0312	3	Family	Drama	Family - Drama		
0313	3	Romance	Drama	Romance - Drama		
0314	3	Comedy	Drama	Comedy - Drama		
0315	3	Comedy	Drama	Comedy - Drama		
0316	3	Action	Sci-Fi	Action - Sci-Fi		
0318	3	Horror	Sci-Fi	Horror - Sci-Fi		
0320	3	Comedy	Drama	Comedy - Drama		
0322	3	Comedy	Documentary	Comedy - Documentary		
0324	3	Comedy	Drama	Comedy - Drama		
0326	3	Musical	Documentary	Musical - Documentary		
0327	3	Musical	Documentary	Musical - Documentary		
0328	3	Action	Romance	Action - Romance		
0335	3	Comedy	Drama	Comedy - Drama		
0336	3	Horror	Drama	Horror - Drama		
0337	3	Drama	Romance	Drama - Romance		
0338	3	Comedy	Romance	Comedy - Romance		
0340	3	Drama	Action	Drama - Action		
0342	3	Comedy	Musical	Comedy - Musical		
0345	3	Action	Drama	Action - Drama		
0346	3	Comedy	Drama	Comedy - Drama		
0347	3	Drama	Action	Drama - Action		
0348	3	War	Drama	War - Drama		
0349	3	Family	Comedy	Family - Comedy		
0350	3	Horror	Action	Horror - Action		
0351	3	Comedy	Drama	Comedy - Drama		
0352	3	Comedy	Drama	Comedy - Drama		
0358	3	Family	Comedy	Family - Comedy		
0359	3	Comedy	Drama	Comedy - Drama		
0360	3	Action	Drama	Action - Drama		
0365	3	Comedy	Drama	Comedy - Drama		
0369	3	Musical	Documentary	Musical - Documentary		
0380	3	Action	Drama	Action - Drama		
0386	3	Comedy	Romance	Comedy - Romance		
0390	3	Horror	Action	Horror - Action		
0392	3	Drama	Action	Drama - Action		
0402	3	Family	Musical	Family - Musical		
0408	3	Comedy	Drama	Comedy - Drama		
0410	3	Horror	Drama	Horror - Drama		
0412	3	Action	Sci-Fi	Action - Sci-Fi		
0413	3	Comedy	Drama	Comedy - Drama		
0414	3	Musical	Comedy	Musical - Comedy		
0416	3	Drama	Action	Drama - Action		
0418	3	Comedy	Drama	Comedy - Drama		
0420	3	Action	Drama	Action - Drama		
0424	3	Family	Comedy	Family - Comedy		
0425	3	Comedy	Drama	Comedy - Drama		
0428	3	Horror	Comedy	Horror - Comedy		
0429	3	Documentary	Musical	Documentary - Musical		
0430	3	Action	Drama	Action - Drama		
0435	3	Comedy	Documentary	Comedy - Documentary		
0436	3	Comedy	Drama	Comedy - Drama		
0437	3	Comedy	Romance	Comedy - Romance		
0438	3	Drama	War	Drama - War		
0439	3	Horror	Drama	Horror - Drama		
0442	3	Comedy	Drama	Comedy - Drama		
0443	3	Comedy	Drama	Comedy - Drama		
0444	3	Comedy	Drama	Comedy - Drama		
0450	3	Family	Drama	Family - Drama		
0451	3	Comedy	Drama	Comedy - Drama		
0452	3	Comedy	Drama	Comedy - Drama		
0453	3	Comedy	Romance	Comedy - Romance		
0457	3	Action	Drama	Action - Drama		
0459	3	Comedy	Drama	Comedy - Drama		
0463	3	Drama	Comedy	Drama - Comedy		
0464	3	Comedy	Romance	Comedy - Romance		
0467	3	Drama	Action	Drama - Action		
0469	3	Comedy	Romance	Comedy - Romance		
0470	3	Action	Drama	Action - Drama		
0471	3	Action	Drama	Action - Drama		
0472	3	Comedy	Drama	Comedy - Drama		
0473	3	War	Action	War - Action		
0475	3	Comedy	Action	Comedy - Action		
0477	3	Action	Drama	Action - Drama		
0478	3	Comedy	Romance	Comedy - Romance		
0479	3	Comedy	Drama	Comedy - Drama		
0481	3	Action	Sci-Fi	Action - Sci-Fi		
0485	3	Action	Drama	Action - Drama		
0489	3	Comedy	Sci-Fi	Comedy - Sci-Fi		
0490	3	Family	Comedy	Family - Comedy		
0491	3	Comedy	Drama	Comedy - Drama		
0492	3	Action	Drama	Action - Drama		
0493	3	Action	Sci-Fi	Action - Sci-Fi		
0494	3	Comedy	Drama	Comedy - Drama		
0496	3	Family	Action	Family - Action		
0497	3	Musical	Documentary	Musical - Documentary		
0498	3	Drama	Action	Drama - Action		
0500	3	Comedy	Drama	Comedy - Drama		
0502	3	Drama	Action	Drama - Action		
0505	3	Musical	Documentary	Musical - Documentary		
0507	3	Drama	Action	Drama - Action		
0508	3	Comedy	Drama	Comedy - Drama		
0509	3	Comedy	Romance	Comedy - Romance		
0513	3	Comedy	Musical	Comedy - Musical		
0514	3	Family	Comedy	Family - Comedy		
0516	3	Comedy	Romance	Comedy - Romance		
0517	3	Action	Drama	Action - Drama		
0518	3	Action	Drama	Action - Drama		
0520	3	Drama	Comedy	Drama - Comedy		
0521	3	Action	Comedy	Action - Comedy		
0522	3	Documentary	Action	Documentary - Action		
0525	3	Comedy	Action	Comedy - Action		
0529	3	War	Documentary	War - Documentary		
0530	3	Documentary	Musical	Documentary - Musical		
0531	3	Drama	Action	Drama - Action		
0532	3	Action	Comedy	Action - Comedy		
0533	3	Musical	Documentary	Musical - Documentary		
0534	3	Drama	Comedy	Drama - Comedy		
0535	3	Documentary	Musical	Documentary - Musical		
0539	3	Family	Drama	Family - Drama		
0541	3	Comedy	Drama	Comedy - Drama		
0543	3	Comedy	Romance	Comedy - Romance		
0545	3	Action	Drama	Action - Drama		
0546	3	Horror	Action	Horror - Action		
0552	3	Action	Drama	Action - Drama		
0554	3	Drama	Romance	Drama - Romance		
0570	3	Documentary	Drama	Documentary - Drama		
0572	3	Sci-Fi	Action	Sci-Fi - Action		
0581	3	Drama	Action	Drama - Action		
0587	3	Horror	Action	Horror - Action		
0589	3	Romance	Musical	Romance - Musical		
0595	3	Comedy	Drama	Comedy - Drama		
0596	3	Horror	Action	Horror - Action		
0603	3	Drama	Comedy	Drama - Comedy		
0608	3	Drama	Action	Drama - Action		
0610	3	Family	Comedy	Family - Comedy		
0614	3	Action	Horror	Action - Horror		
0615	3	Comedy	Drama	Comedy - Drama		
0617	3	Comedy	Drama	Comedy - Drama		
0618	3	Action	Drama	Action - Drama		
0621	3	Drama	Romance	Drama - Romance		
0622	3	Family	Comedy	Family - Comedy		
0623	3	Musical	Documentary	Musical - Documentary		
0625	3	Family	Drama	Family - Drama		
0627	3	Action	Drama	Action - Drama		
0628	3	Horror	Comedy	Horror - Comedy		
0629	3	Drama	Romance	Drama - Romance		
0631	3	Family	Drama	Family - Drama		
0632	3	Drama	Musical	Drama - Musical		
0633	3	Comedy	Drama	Comedy - Drama		
0637	3	Comedy	Drama	Comedy - Drama		
0638	3	Documentary	Drama	Documentary - Drama		
0640	3	Drama	Romance	Drama - Romance		
0642	3	Action	Drama	Action - Drama		
0643	3	Drama	Action	Drama - Action		
0644	3	Musical	Documentary	Musical - Documentary		
0645	3	Horror	Drama	Horror - Drama		
0646	3	Comedy	Drama	Comedy - Drama		
0650	3	Comedy	Romance	Comedy - Romance		
0652	3	Drama	Comedy	Drama - Comedy		
0653	3	Drama	Horror	Drama - Horror		
0657	3	Drama	Musical	Drama - Musical		
0658	3	Action	Comedy	Action - Comedy		
0659	3	Drama	Documentary	Drama - Documentary		
0660	3	Horror	Action	Horror - Action		
0663	3	Comedy	Drama	Comedy - Drama		
0665	3	Comedy	Drama	Comedy - Drama		
0669	3	Action	Sci-Fi	Action - Sci-Fi		
0671	3	Drama	Romance	Drama - Romance		
0674	3	Drama	Action	Drama - Action		
0675	3	Horror	Action	Horror - Action		
0677	3	Drama	Action	Drama - Action		
0679	3	Action	Drama	Action - Drama		
0683	3	Horror	Drama	Horror - Drama		
0684	3	Family	Drama	Family - Drama		
0686	3	Documentary	Musical	Documentary - Musical		
0687	3	Action	Horror	Action - Horror		
0689	3	Comedy	Romance	Comedy - Romance		
0690	3	Drama	Romance	Drama - Romance		
0692	3	Comedy	Romance	Comedy - Romance		
0696	3	Action	Drama	Action - Drama		
0701	3	Documentary	Musical	Documentary - Musical		
0703	3	Action	Drama	Action - Drama		
0704	3	Drama	Romance	Drama - Romance		
0711	3	Comedy	Drama	Comedy - Drama		
0714	3	Action	Drama	Action - Drama		
0715	3	Drama	Action	Drama - Action		
0716	3	Musical	Documentary	Musical - Documentary		
0717	3	Comedy	Romance	Comedy - Romance		
0720	3	Documentary	Musical	Documentary - Musical		
0722	3	Musical	Comedy	Musical - Comedy		
0724	3	Comedy	Romance	Comedy - Romance		
0726	3	Comedy	Action	Comedy - Action		
0730	3	Action	Drama	Action - Drama		
0734	3	Comedy	Drama	Comedy - Drama		
0736	3	Action	Drama	Action - Drama		
0737	3	Drama	Action	Drama - Action		
0738	3	Action	Drama	Action - Drama		
0740	3	Sci-Fi	Drama	Sci-Fi - Drama		
0741	3	Action	Drama	Action - Drama		
0743	3	Comedy	Drama	Comedy - Drama		
0745	3	Romance	Drama	Romance - Drama		
0746	3	Drama	Documentary	Drama - Documentary		
0749	3	Drama	Documentary	Drama - Documentary		
0757	3	Comedy	Action	Comedy - Action		
0759	3	Comedy	Romance	Comedy - Romance		
0774	3	Drama	Comedy	Drama - Comedy		
0776	3	Drama	Comedy	Drama - Comedy		
0779	3	Comedy	Drama	Comedy - Drama		
0787	3	Comedy	Drama	Comedy - Drama		
0788	3	Drama	Musical	Drama - Musical		
0789	3	Comedy	Drama	Comedy - Drama		
0794	3	Comedy	Action	Comedy - Action		
0798	3	Comedy	Drama	Comedy - Drama		
0803	3	Comedy	Drama	Comedy - Drama		
0804	3	Drama	Romance	Drama - Romance		
0805	3	Family	Sci-Fi	Family - Sci-Fi		
0806	3	Action	Sci-Fi	Action - Sci-Fi		
0812	3	Comedy	Romance	Comedy - Romance		
0814	3	Comedy	Drama	Comedy - Drama		
0819	3	Comedy	Drama	Comedy - Drama		
0820	3	Comedy	Drama	Comedy - Drama		
0821	3	Horror	Action	Horror - Action		
0822	3	Comedy	Drama	Comedy - Drama		
0824	3	Action	Drama	Action - Drama		
0826	3	Drama	Documentary	Drama - Documentary		
0833	3	Comedy	Romance	Comedy - Romance		
0835	3	Comedy	Romance	Comedy - Romance		
0837	3	Comedy	Drama	Comedy - Drama		
0838	3	Drama	Musical	Drama - Musical		
