movie	iheartmovies	genre							
0588	6	Action	Drama	Horror	Mystery	Thriller	Action - Drama - Horror - Mystery - Thriller		
0688	6	Action	Crime	Drama	Mystery	Thriller	Action - Crime - Drama - Mystery - Thriller		
0713	6	Action	Comedy	Crime	Drama	Thriller	Action - Comedy - Crime - Drama - Thriller		
0775	6	Drama	Fantasy	Horror	Romance	Thriller	Drama - Fantasy - Horror - Romance - Thriller		
0800	6	Action	Adventure	Animation	Comedy	Fantasy	Action - Adventure - Animation - Comedy - Fantasy		
0805	6	Crime	Drama	Horror	Mystery	Thriller	Crime - Drama - Horror - Mystery - Thriller		
0806	6	Adventure	Drama	Fantasy	Mystery	Scifi	Adventure - Drama - Fantasy - Mystery - Scifi		
0843	6	Adventure	Comedy	Drama	Musical	Romance	Adventure - Comedy - Drama - Musical - Romance		
0855	6	Action	Adventure	Comedy	Fantasy	Scifi	Action - Adventure - Comedy - Fantasy - Scifi		
0876	6	Action	Adventure	Comedy	Crime	Thriller	Action - Adventure - Comedy - Crime - Thriller		
0902	6	Action	Drama	Horror	Mystery	Thriller	Action - Drama - Horror - Mystery - Thriller		
0966	6	Action	Crime	Drama	Romance	Thriller	Action - Crime - Drama - Romance - Thriller		
0990	6	Comedy	Crime	Drama	Mystery	Romance	Comedy - Crime - Drama - Mystery - Romance		
0996	6	Action	Adventure	Animation	Scifi	Thriller	Action - Adventure - Animation - Scifi - Thriller		
1073	6	Action	Crime	Drama	Romance	Thriller	Action - Crime - Drama - Romance - Thriller		
1108	6	Action	Adventure	Fantasy	Horror	Scifi	Action - Adventure - Fantasy - Horror - Scifi		
1155	6	Action	Biography	Drama	Romance	War	Action - Biography - Drama - Romance - War		
1195	6	Crime	Drama	Horror	Mystery	Thriller	Crime - Drama - Horror - Mystery - Thriller		
1216	6	Action	Adventure	Drama	Fantasy	Thriller	Action - Adventure - Drama - Fantasy - Thriller		
1237	6	Comedy	Crime	Drama	Mystery	Romance	Comedy - Crime - Drama - Mystery - Romance		
1257	6	Adventure	Animation	Comedy	Fantasy	Family	Adventure - Animation - Comedy - Fantasy - Family		
1299	6	Comedy	Drama	Musical	Scifi	Thriller	Comedy - Drama - Musical - Scifi - Thriller		
1302	6	Action	Crime	Drama	Mystery	Thriller	Action - Crime - Drama - Mystery - Thriller		
1312	6	Action	Adventure	Fantasy	Scifi	Thriller	Action - Adventure - Fantasy - Scifi - Thriller		
1320	6	Action	Comedy	Crime	Romance	Thriller	Action - Comedy - Crime - Romance - Thriller		
1329	6	Action	Adventure	Drama	Fantasy	Scifi	Action - Adventure - Drama - Fantasy - Scifi		
1383	6	Action	Adventure	Comedy	Horror	Thriller	Action - Adventure - Comedy - Horror - Thriller		
1386	6	Crime	Drama	Horror	Mystery	Thriller	Crime - Drama - Horror - Mystery - Thriller		
1408	6	Action	Adventure	Drama	Scifi	Thriller	Action - Adventure - Drama - Scifi - Thriller		
1439	6	Action	Drama	Horror	Mystery	Romance	Action - Drama - Horror - Mystery - Romance		
1446	6	Action	Adventure	Drama	Mystery	Thriller	Action - Adventure - Drama - Mystery - Thriller		
1452	6	Adventure	Comedy	Crime	Drama	Romance	Adventure - Comedy - Crime - Drama - Romance		
1475	6	Action	Animation	Drama	Fantasy	Thriller	Action - Animation - Drama - Fantasy - Thriller		
1586	6	Comedy	Drama	Horror	Scifi	Thriller	Comedy - Drama - Horror - Scifi - Thriller		
1632	6	Action	Adventure	Drama	Mystery	Thriller	Action - Adventure - Drama - Mystery - Thriller		
1703	6	Action	Adventure	Comedy	Horror	Scifi	Action - Adventure - Comedy - Horror - Scifi		
1719	6	Action	Comedy	Crime	Drama	Thriller	Action - Comedy - Crime - Drama - Thriller		
1799	6	Action	Adventure	Crime	Drama	Thriller	Action - Adventure - Crime - Drama - Thriller		
1851	6	Drama	Fantasy	Horror	Mystery	Thriller	Drama - Fantasy - Horror - Mystery - Thriller		
1871	6	Action	Adventure	Comedy	Fantasy	Scifi	Action - Adventure - Comedy - Fantasy - Scifi		
1883	6	Action	Adventure	Animation	Fantasy	Horror	Action - Adventure - Animation - Fantasy - Horror		
1909	6	Action	Drama	Fantasy	Scifi	Thriller	Action - Drama - Fantasy - Scifi - Thriller		
1911	6	Action	Adventure	Drama	Scifi	Thriller	Action - Adventure - Drama - Scifi - Thriller		
1931	6	Drama	Horror	Mystery	Scifi	Thriller	Drama - Horror - Mystery - Scifi - Thriller		
0008	5	Adventure	Mystery	Scifi	Thriller	Adventure - Mystery - Scifi - Thriller			
0016	5	Crime	Horror	Mystery	Thriller	Crime - Horror - Mystery - Thriller			
0051	5	Comedy	Drama	Fantasy	Scifi	Comedy - Drama - Fantasy - Scifi			
0053	5	Comedy	Drama	Romance	Sport	Comedy - Drama - Romance - Sport			
0054	5	Crime	Drama	Romance	Thriller	Crime - Drama - Romance - Thriller			
0056	5	Action	Drama	Romance	Thriller	Action - Drama - Romance - Thriller			
0074	5	Comedy	Crime	Drama	Thriller	Comedy - Crime - Drama - Thriller			
0077	5	Comedy	Drama	Romance	Sport	Comedy - Drama - Romance - Sport			
0087	5	Animation	Comedy	Fantasy	Scifi	Animation - Comedy - Fantasy - Scifi			
0089	5	Comedy	Crime	Drama	Horror	Comedy - Crime - Drama - Horror			
0104	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller			
0109	5	Action	Adventure	Drama	Scifi	Action - Adventure - Drama - Scifi			
0114	5	Biography	Crime	Drama	Mystery	Biography - Crime - Drama - Mystery			
0125	5	Comedy	Crime	Drama	Musical	Comedy - Crime - Drama - Musical			
0129	5	Action	Comedy	Horror	Scifi	Action - Comedy - Horror - Scifi			
0137	5	Adventure	Drama	Fantasy	Scifi	Adventure - Drama - Fantasy - Scifi			
0138	5	Crime	Drama	Mystery	Thriller	Crime - Drama - Mystery - Thriller			
0142	5	Action	Adventure	Fantasy	Romance	Action - Adventure - Fantasy - Romance			
0161	5	Drama	Mystery	Romance	Thriller	Drama - Mystery - Romance - Thriller			
0171	5	Action	Adventure	Mystery	Scifi	Action - Adventure - Mystery - Scifi			
0177	5	Comedy	Drama	Family	Sport	Comedy - Drama - Family - Sport			
0179	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller			
0184	5	Crime	Drama	Horror	Thriller	Crime - Drama - Horror - Thriller			
0196	5	Drama	Horror	Mystery	Thriller	Drama - Horror - Mystery - Thriller			
0214	5	Crime	Drama	Romance	Thriller	Crime - Drama - Romance - Thriller			
0216	5	Fantasy	Mystery	Scifi	Thriller	Fantasy - Mystery - Scifi - Thriller			
0221	5	Action	Adventure	Drama	Thriller	Action - Adventure - Drama - Thriller			
0235	5	Action	Adventure	Scifi	Thriller	Action - Adventure - Scifi - Thriller			
0252	5	Adventure	Crime	Horror	Mystery	Adventure - Crime - Horror - Mystery			
0253	5	Adventure	Crime	Horror	Mystery	Adventure - Crime - Horror - Mystery			
0254	5	Crime	Drama	Mystery	Thriller	Crime - Drama - Mystery - Thriller			
0263	5	Action	Biography	Crime	Drama	Action - Biography - Crime - Drama			
0265	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller			
0277	5	Comedy	Horror	Romance	Scifi	Comedy - Horror - Romance - Scifi			
0281	5	Action	Adventure	Comedy	Drama	Action - Adventure - Comedy - Drama			
0290	5	Action	Fantasy	Horror	Thriller	Action - Fantasy - Horror - Thriller			
0295	5	Crime	Drama	Mystery	Thriller	Crime - Drama - Mystery - Thriller			
0298	5	Drama	Horror	Mystery	Thriller	Drama - Horror - Mystery - Thriller			
0324	5	Comedy	Musical	Romance	Scifi	Comedy - Musical - Romance - Scifi			
0357	5	Action	Adventure	Scifi	Thriller	Action - Adventure - Scifi - Thriller			
0360	5	Action	Animation	Anime	Scifi	Action - Animation - Anime - Scifi			
0364	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller			
0372	5	Action	Adventure	Fantasy	Scifi	Action - Adventure - Fantasy - Scifi			
0382	5	Action	Comedy	Horror	Thriller	Action - Comedy - Horror - Thriller			
0385	5	Adventure	Animation	Comedy	Fantasy	Adventure - Animation - Comedy - Fantasy			
0387	5	Fantasy	Horror	Mystery	Thriller	Fantasy - Horror - Mystery - Thriller			
0393	5	Drama	Horror	Romance	Scifi	Drama - Horror - Romance - Scifi			
0402	5	Action	Adventure	Drama	Romance	Action - Adventure - Drama - Romance			
0405	5	Action	Adventure	Comedy	Romance	Action - Adventure - Comedy - Romance			
0415	5	Drama	Fantasy	Romance	Thriller	Drama - Fantasy - Romance - Thriller			
0416	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller			
0420	5	Crime	Horror	Romance	Thriller	Crime - Horror - Romance - Thriller			
0435	5	Comedy	Drama	Musical	Romance	Comedy - Drama - Musical - Romance			
0438	5	Adventure	Animation	Comedy	Scifi	Adventure - Animation - Comedy - Scifi			
0449	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller			
0456	5	Action	Comedy	Fantasy	Scifi	Action - Comedy - Fantasy - Scifi			
0483	5	Action	Adventure	Mystery	Romance	Action - Adventure - Mystery - Romance			
0499	5	Crime	Drama	Scifi	Thriller	Crime - Drama - Scifi - Thriller			
0513	5	Comedy	Crime	Drama	Thriller	Comedy - Crime - Drama - Thriller			
0517	5	Crime	Drama	Romance	Thriller	Crime - Drama - Romance - Thriller			
0520	5	Comedy	Crime	Musical	Romance	Comedy - Crime - Musical - Romance			
0521	5	Biography	Comedy	Drama	Musical	Biography - Comedy - Drama - Musical			
0533	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller			
0535	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller			
0540	5	Adventure	Fantasy	Family	Mystery	Adventure - Fantasy - Family - Mystery			
0553	5	Adventure	Comedy	Fantasy	Sport	Adventure - Comedy - Fantasy - Sport			
0554	5	Action	Adventure	Comedy	Romance	Action - Adventure - Comedy - Romance			
0555	5	Adventure	Animation	Comedy	Musical	Adventure - Animation - Comedy - Musical			
0572	5	Action	Horror	Scifi	Thriller	Action - Horror - Scifi - Thriller			
0578	5	Horror	Mystery	Scifi	Thriller	Horror - Mystery - Scifi - Thriller			
0589	5	Crime	Horror	Mystery	Thriller	Crime - Horror - Mystery - Thriller			
0593	5	Adventure	Fantasy	Romance	Scifi	Adventure - Fantasy - Romance - Scifi			
0599	5	Drama	Horror	Mystery	Thriller	Drama - Horror - Mystery - Thriller			
0619	5	Drama	Horror	Mystery	Thriller	Drama - Horror - Mystery - Thriller			
0632	5	Fantasy	Horror	Mystery	Thriller	Fantasy - Horror - Mystery - Thriller			
0634	5	Drama	Fantasy	Mystery	Romance	Drama - Fantasy - Mystery - Romance			
0636	5	Drama	Mystery	Scifi	Thriller	Drama - Mystery - Scifi - Thriller			
0643	5	Action	Adventure	Comedy	Scifi	Action - Adventure - Comedy - Scifi			
0654	5	Drama	Fantasy	Family	Romance	Drama - Fantasy - Family - Romance			
0668	5	Comedy	Horror	Scifi	Thriller	Comedy - Horror - Scifi - Thriller			
0669	5	Action	Crime	Drama	Romance	Action - Crime - Drama - Romance			
0679	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller			
0717	5	Action	Drama	Thriller	War	Action - Drama - Thriller - War			
0720	5	Crime	Drama	Horror	Thriller	Crime - Drama - Horror - Thriller			
0730	5	Drama	Horror	Mystery	Thriller	Drama - Horror - Mystery - Thriller			
0731	5	Adventure	Animation	Drama	Musical	Adventure - Animation - Drama - Musical			
0741	5	Crime	Drama	Mystery	Thriller	Crime - Drama - Mystery - Thriller			
0755	5	Action	Comedy	Horror	Thriller	Action - Comedy - Horror - Thriller			
0759	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller			
0765	5	Comedy	Drama	Romance	Sport	Comedy - Drama - Romance - Sport			
0767	5	Comedy	Crime	Drama	Thriller	Comedy - Crime - Drama - Thriller			
0792	5	Action	Adventure	Crime	Thriller	Action - Adventure - Crime - Thriller			
0823	5	Action	Adventure	Crime	Thriller	Action - Adventure - Crime - Thriller			
0825	5	Action	Adventure	Animation	Comedy	Action - Adventure - Animation - Comedy			
0832	5	Drama	Horror	Romance	Thriller	Drama - Horror - Romance - Thriller			
0838	5	Crime	Horror	Mystery	Thriller	Crime - Horror - Mystery - Thriller			
0853	5	Drama	Mystery	Romance	Thriller	Drama - Mystery - Romance - Thriller			
0860	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller			
0865	5	Drama	Fantasy	Mystery	Romance	Drama - Fantasy - Mystery - Romance			
0869	5	Action	Adventure	Romance	Scifi	Action - Adventure - Romance - Scifi			
0871	5	Comedy	Drama	Fantasy	Romance	Comedy - Drama - Fantasy - Romance			
0874	5	Animation	Comedy	Drama	Fantasy	Animation - Comedy - Drama - Fantasy			
0890	5	Drama	Horror	Scifi	Thriller	Drama - Horror - Scifi - Thriller			
0891	5	Adventure	Anime	Drama	Fantasy	Adventure - Anime - Drama - Fantasy			
0893	5	Animation	Comedy	Fantasy	Mystery	Animation - Comedy - Fantasy - Mystery			
0920	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller			
0933	5	Action	Comedy	Romance	Thriller	Action - Comedy - Romance - Thriller			
0946	5	Action	Comedy	Crime	Thriller	Action - Comedy - Crime - Thriller			
0948	5	Action	Comedy	Crime	Thriller	Action - Comedy - Crime - Thriller			
0950	5	Action	Drama	Scifi	Thriller	Action - Drama - Scifi - Thriller			
0953	5	Crime	Horror	Mystery	Thriller	Crime - Horror - Mystery - Thriller			
0968	5	Drama	Romance	Scifi	Thriller	Drama - Romance - Scifi - Thriller			
0971	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller			
0975	5	Crime	Horror	Mystery	Thriller	Crime - Horror - Mystery - Thriller			
0978	5	Action	Adventure	Comedy	Crime	Action - Adventure - Comedy - Crime			
1001	5	Action	Adventure	Animation	Comedy	Action - Adventure - Animation - Comedy			
1017	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller			
1022	5	Action	Adventure	Comedy	Drama	Action - Adventure - Comedy - Drama			
1026	5	Drama	Horror	Mystery	Thriller	Drama - Horror - Mystery - Thriller			
1036	5	Action	Crime	Scifi	Thriller	Action - Crime - Scifi - Thriller			
1042	5	Drama	Fantasy	Horror	Thriller	Drama - Fantasy - Horror - Thriller			
1057	5	Biography	Comedy	Drama	Romance	Biography - Comedy - Drama - Romance			
1058	5	Adventure	Animation	Fantasy	Musical	Adventure - Animation - Fantasy - Musical			
1065	5	Action	Comedy	Crime	Drama	Action - Comedy - Crime - Drama			
1071	5	Animation	Drama	Musical	Romance	Animation - Drama - Musical - Romance			
1079	5	Drama	Fantasy	Mystery	Romance	Drama - Fantasy - Mystery - Romance			
1082	5	Comedy	Drama	Fantasy	Romance	Comedy - Drama - Fantasy - Romance			
1099	5	Crime	Horror	Mystery	Thriller	Crime - Horror - Mystery - Thriller			
1102	5	Drama	Horror	Mystery	Thriller	Drama - Horror - Mystery - Thriller			
1114	5	Adventure	Comedy	Scifi	Thriller	Adventure - Comedy - Scifi - Thriller			
1120	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller			
1121	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller			
1122	5	Crime	Drama	Mystery	Thriller	Crime - Drama - Mystery - Thriller			
1127	5	Drama	Mystery	Romance	Thriller	Drama - Mystery - Romance - Thriller			
1139	5	Action	Horror	Scifi	Thriller	Action - Horror - Scifi - Thriller			
1140	5	Action	Horror	Scifi	Thriller	Action - Horror - Scifi - Thriller			
1144	5	Comedy	Horror	Mystery	Romance	Comedy - Horror - Mystery - Romance			
1146	5	Adventure	Animation	Fantasy	Musical	Adventure - Animation - Fantasy - Musical			
1156	5	Action	Adventure	Drama	Romance	Action - Adventure - Drama - Romance			
1158	5	Action	Drama	Romance	Sport	Action - Drama - Romance - Sport			
1198	5	Drama	Mystery	Scifi	Thriller	Drama - Mystery - Scifi - Thriller			
1213	5	Action	Horror	Scifi	Thriller	Action - Horror - Scifi - Thriller			
1219	5	Action	Adventure	Scifi	Thriller	Action - Adventure - Scifi - Thriller			
1220	5	Action	Comedy	Crime	Thriller	Action - Comedy - Crime - Thriller			
1222	5	Action	Comedy	Horror	Scifi	Action - Comedy - Horror - Scifi			
1227	5	Comedy	Crime	Drama	Romance	Comedy - Crime - Drama - Romance			
1231	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller			
1240	5	Comedy	Drama	Mystery	Thriller	Comedy - Drama - Mystery - Thriller			
1241	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller			
1248	5	Action	Adventure	Drama	Fantasy	Action - Adventure - Drama - Fantasy			
1251	5	Action	Drama	Fantasy	Romance	Action - Drama - Fantasy - Romance			
1255	5	Action	Comedy	Crime	Drama	Action - Comedy - Crime - Drama			
1258	5	Adventure	Animation	Comedy	Fantasy	Adventure - Animation - Comedy - Fantasy			
1275	5	Action	Adventure	Comedy	Romance	Action - Adventure - Comedy - Romance			
1291	5	Drama	Mystery	Romance	Scifi	Drama - Mystery - Romance - Scifi			
1297	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller			
1308	5	Drama	Mystery	Romance	Thriller	Drama - Mystery - Romance - Thriller			
1325	5	Action	Adventure	Fantasy	Scifi	Action - Adventure - Fantasy - Scifi			
1327	5	Action	Adventure	Fantasy	Scifi	Action - Adventure - Fantasy - Scifi			
1328	5	Action	Adventure	Fantasy	Scifi	Action - Adventure - Fantasy - Scifi			
1341	5	Drama	Fantasy	Horror	Thriller	Drama - Fantasy - Horror - Thriller			
1350	5	Comedy	Crime	Drama	Thriller	Comedy - Crime - Drama - Thriller			
1358	5	Action	Comedy	Crime	Thriller	Action - Comedy - Crime - Thriller			
1360	5	Action	Drama	Romance	Sport	Action - Drama - Romance - Sport			
1363	5	Action	Adventure	Animation	Drama	Action - Adventure - Animation - Drama			
1372	5	Drama	Horror	Musical	Thriller	Drama - Horror - Musical - Thriller			
1433	5	Action	Comedy	Crime	Thriller	Action - Comedy - Crime - Thriller			
1440	5	Action	Adventure	Animation	Drama	Action - Adventure - Animation - Drama			
1442	5	Action	Adventure	Comedy	Musical	Action - Adventure - Comedy - Musical			
1448	5	Drama	Horror	Scifi	Thriller	Drama - Horror - Scifi - Thriller			
1455	5	Drama	Horror	Mystery	Thriller	Drama - Horror - Mystery - Thriller			
1459	5	Action	Adventure	Comedy	Romance	Action - Adventure - Comedy - Romance			
1474	5	Action	Crime	Fantasy	Thriller	Action - Crime - Fantasy - Thriller			
1477	5	Action	Drama	Fantasy	Scifi	Action - Drama - Fantasy - Scifi			
1495	5	Action	Crime	Fantasy	Thriller	Action - Crime - Fantasy - Thriller			
1512	5	Adventure	Animation	Comedy	Fantasy	Adventure - Animation - Comedy - Fantasy			
1519	5	Comedy	Drama	Fantasy	Romance	Comedy - Drama - Fantasy - Romance			
1522	5	Action	Adventure	Scifi	Thriller	Action - Adventure - Scifi - Thriller			
1530	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller			
1531	5	Drama	Horror	Scifi	Thriller	Drama - Horror - Scifi - Thriller			
1534	5	Horror	Mystery	Scifi	Thriller	Horror - Mystery - Scifi - Thriller			
1540	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller			
1551	5	Fantasy	Horror	Mystery	Romance	Fantasy - Horror - Mystery - Romance			
1555	5	Action	Adventure	Animation	Mystery	Action - Adventure - Animation - Mystery			
1561	5	Comedy	Fantasy	Horror	Thriller	Comedy - Fantasy - Horror - Thriller			
1572	5	Drama	Horror	Mystery	Thriller	Drama - Horror - Mystery - Thriller			
1576	5	Comedy	Drama	Fantasy	Romance	Comedy - Drama - Fantasy - Romance			
1585	5	Drama	Fantasy	Mystery	Thriller	Drama - Fantasy - Mystery - Thriller			
1588	5	Animation	Drama	Family	Scifi	Animation - Drama - Family - Scifi			
1589	5	Action	Drama	Scifi	Thriller	Action - Drama - Scifi - Thriller			
1620	5	Comedy	Drama	Fantasy	Musical	Comedy - Drama - Fantasy - Musical			
1640	5	Drama	Mystery	Scifi	Thriller	Drama - Mystery - Scifi - Thriller			
1661	5	Drama	Horror	Mystery	Thriller	Drama - Horror - Mystery - Thriller			
1669	5	Action	Horror	Mystery	Thriller	Action - Horror - Mystery - Thriller			
1680	5	Adventure	Comedy	Musical	Romance	Adventure - Comedy - Musical - Romance			
1682	5	Crime	Drama	Mystery	Thriller	Crime - Drama - Mystery - Thriller			
1687	5	Animation	Fantasy	Musical	Romance	Animation - Fantasy - Musical - Romance			
1692	5	Fantasy	Horror	Mystery	Thriller	Fantasy - Horror - Mystery - Thriller			
1705	5	Action	Adventure	Drama	Thriller	Action - Adventure - Drama - Thriller			
1706	5	Action	Adventure	Animation	Comedy	Action - Adventure - Animation - Comedy			
1712	5	Action	Adventure	Comedy	Thriller	Action - Adventure - Comedy - Thriller			
1728	5	Action	Adventure	Comedy	Fantasy	Action - Adventure - Comedy - Fantasy			
1738	5	Action	Adventure	Drama	Fantasy	Action - Adventure - Drama - Fantasy			
1741	5	Comedy	Drama	Mystery	Musical	Comedy - Drama - Mystery - Musical			
1742	5	Adventure	Comedy	Drama	Romance	Adventure - Comedy - Drama - Romance			
1746	5	Action	Adventure	Drama	Fantasy	Action - Adventure - Drama - Fantasy			
1748	5	Drama	Horror	Mystery	Thriller	Drama - Horror - Mystery - Thriller			
1751	5	Adventure	Animation	Comedy	Drama	Adventure - Animation - Comedy - Drama			
1755	5	Animation	Drama	Fantasy	Musical	Animation - Drama - Fantasy - Musical			
1757	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller			
1760	5	Adventure	Animation	Comedy	Fantasy	Adventure - Animation - Comedy - Fantasy			
1768	5	Action	Adventure	Drama	Romance	Action - Adventure - Drama - Romance			
1776	5	Drama	Fantasy	Romance	Thriller	Drama - Fantasy - Romance - Thriller			
1792	5	Action	Mystery	Scifi	Thriller	Action - Mystery - Scifi - Thriller			
1815	5	Action	Adventure	Animation	Scifi	Action - Adventure - Animation - Scifi			
1817	5	Crime	Mystery	Romance	Thriller	Crime - Mystery - Romance - Thriller			
1819	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller			
1827	5	Comedy	Fantasy	Mystery	Romance	Comedy - Fantasy - Mystery - Romance			
1841	5	Action	Comedy	Horror	Scifi	Action - Comedy - Horror - Scifi			
1842	5	Action	Comedy	Horror	Scifi	Action - Comedy - Horror - Scifi			
1843	5	Action	Adventure	Fantasy	Scifi	Action - Adventure - Fantasy - Scifi			
1850	5	Action	Horror	Romance	Thriller	Action - Horror - Romance - Thriller			
1854	5	Crime	Drama	Mystery	Thriller	Crime - Drama - Mystery - Thriller			
1863	5	Crime	Horror	Mystery	Thriller	Crime - Horror - Mystery - Thriller			
1893	5	Adventure	Comedy	Fantasy	Mystery	Adventure - Comedy - Fantasy - Mystery			
1898	5	Adventure	Comedy	Drama	Romance	Adventure - Comedy - Drama - Romance			
1919	5	Drama	Horror	Mystery	Thriller	Drama - Horror - Mystery - Thriller			
1922	5	Drama	Fantasy	Scifi	Thriller	Drama - Fantasy - Scifi - Thriller			
1953	5	Comedy	Crime	Drama	Romance	Comedy - Crime - Drama - Romance			
1987	5	Action	Adventure	Scifi	Thriller	Action - Adventure - Scifi - Thriller			
1993	5	Action	Comedy	Crime	Drama	Action - Comedy - Crime - Drama			
0011	4	Horror	Scifi	Thriller	Horror - Scifi - Thriller				
0013	4	Action	Adventure	Drama	Action - Adventure - Drama				
0017	4	Drama	Musical	Romance	Drama - Musical - Romance				
0019	4	Biography	Drama	Sport	Biography - Drama - Sport				
0024	4	Comedy	Drama	Romance	Comedy - Drama - Romance				
0029	4	Adventure	Comedy	Fantasy	Adventure - Comedy - Fantasy				
0030	4	Crime	Mystery	Thriller	Crime - Mystery - Thriller				
0031	4	Comedy	Drama	Sport	Comedy - Drama - Sport				
0033	4	Comedy	Drama	Sport	Comedy - Drama - Sport				
0050	4	Comedy	Drama	Romance	Comedy - Drama - Romance				
0057	4	Biography	Drama	Sport	Biography - Drama - Sport				
0060	4	Comedy	Horror	Scifi	Comedy - Horror - Scifi				
0062	4	Comedy	Drama	Romance	Comedy - Drama - Romance				
0070	4	Comedy	Drama	Scifi	Comedy - Drama - Scifi				
0076	4	Drama	Horror	Thriller	Drama - Horror - Thriller				
0078	4	Action	Adventure	Comedy	Action - Adventure - Comedy				
0079	4	Crime	Drama	Thriller	Crime - Drama - Thriller				
0082	4	Comedy	Drama	Romance	Comedy - Drama - Romance				
0085	4	Comedy	Drama	Romance	Comedy - Drama - Romance				
0093	4	Comedy	Drama	Romance	Comedy - Drama - Romance				
