movie	rottentomatoes	director		
1830	3	William A. Wellman	Jack Conway	William A. Wellman - Jack Conway
1852	3	John Frankenheimer	Richard Stanley	John Frankenheimer - Richard Stanley
1863	3	Kunihiko Yuyama	Michael Haigney	Kunihiko Yuyama - Michael Haigney
1865	3	David Moreau	Xavier Palud	David Moreau - Xavier Palud
1882	3	Robert Fuest	Robert Feust	Robert Fuest - Robert Feust
1904	3	Jean Cocteau	Ren� Cl�ment	Jean Cocteau - Ren� Cl�ment
1919	3	Gabrielle Burton	Maria Burton	Gabrielle Burton - Maria Burton
1942	3	Agn�s Varda	Jacques Demy	Agn�s Varda - Jacques Demy
1948	3	Kunihiko Yuyama	Kunohiko Yuyama	Kunihiko Yuyama - Kunohiko Yuyama
1955	3	Jim Malone	Kunihiko Yuyama	Jim Malone - Kunihiko Yuyama
1957	3	James Algar	Samuel Armstrong	James Algar - Samuel Armstrong
1961	3	David Zucker	Jim Abrahams	David Zucker - Jim Abrahams
1964	3	Ricki Stern	Anne Sundberg	Ricki Stern - Anne Sundberg
1979	3	Sergei M. Eisenstein	M. Filimonova	Sergei M. Eisenstein - M. Filimonova
1985	3	Aram Avakian	Bert Stern	Aram Avakian - Bert Stern
1996	3	Andrew Molina	Eishy Hayata	Andrew Molina - Eishy Hayata
0000	1	Michael Apted		
0001	1	Hal Hartley		
0002	1	Ken Loach		
0003	1	Edwin L. Marin		
0004	1	Edmund Goulding		
0005	1	Joseph L. Mankiewicz		
0006	1	Lewis Milestone		
0007	1	Ingmar Bergman		
0008	1	Franny Armstrong		
0009	1	Andre Techine		
0011	1	Richard Wenk		
0014	1	Piers Haggard		
0015	1	Hark Tsui		
0016	1	Robert Adetuyi		
0019	1	Stephen Herek		
0020	1	Roger Kumble		
0022	1	Yasujiro Ozu		
0023	1	George Cukor		
0024	1	Raymond Depardon		
0025	1	Taika Cohen		
0026	1	Stewart Raffill		
0027	1	Katrina Holden Bronson		
0028	1	Scott Winant		
0030	1	Robert Bresson		
0031	1	Sean McNamara		
0032	1	Roland Joff�		
0033	1	Adam Shankman		
0034	1	Blake Edwards		
0035	1	Mark Sandrich		
0036	1	David DeFalco		
0037	1	Griffin Dunne		
0038	1	Uli Edel		
0039	1	Ron Underwood		
0040	1	Corneliu Porumboiu		
0042	1	Michael Stephenson		
0043	1	Aaron Seltzer		
0044	1	M. Night Shyamalan		
0045	1	Carl Theodor Dreyer		
0046	1	George Cukor		
0047	1	Jacques Becker		
0048	1	Deb Hagen		
0049	1	Tom Putnam		
0050	1	Fritz Lang		
0051	1	W.S. Van Dyke		
0052	1	Robert Hamer		
0053	1	Gus Van Sant		
0054	1	Roger Donaldson		
0055	1	Uwe Boll		
0056	1	Jaume Balaguer�		
0057	1	Uwe Boll		
0058	1	Les Mayfield		
0059	1	Bryan Spicer		
0060	1	Gy�rgy P�lfi		
0061	1	Mikhail Kalatozov		
0062	1	Margaret Brown		
0063	1	Ingmar Bergman		
0064	1	Richard Linklater		
0065	1	Tim Robbins		
0066	1	Robert Wiene		
0067	1	Howard Hawks		
0068	1	Jeff Malmberg		
0070	1	George Butler		
0072	1	Greg Marcks		
0073	1	Gini Reticker		
0074	1	Charles Chaplin		
0075	1	Robert Stevenson		
0076	1	Cameron Crowe		
0077	1	John Huston		
0078	1	John Huston		
0079	1	Bernardo Bertolucci		
0080	1	James Cameron		
0081	1	Roman Polanski		
0082	1	Roman Polanski		
0083	1	S.R. Bindler		
0084	1	Morgan J. Freeman		
0085	1	Tom Ropelewski		
0086	1	Andy Cheng		
0087	1	Andrey Konchalovskiy		
0088	1	Fred Wolf		
0089	1	Wych Kaosayananda		
0090	1	Jeff Kanew		
0091	1	Dirk Shafer		
0092	1	Bruce Leddy		
0093	1	Mel Smith		
0095	1	Richard Linklater		
0097	1	Thom Fitzgerald		
0098	1	Paul Schrader		
0099	1	George McCowan		
0100	1	Howard Zieff		
0101	1	John Landis		
0102	1	Sidney Lumet		
0103	1	Jennifer M. Kroot		
0105	1	Bryan Gunnar Cole		
0107	1	David Lean		
0108	1	Luis Bu�uel		
0109	1	Erik Hollander		
0110	1	King Vidor		
0111	1	Julien Temple		
0112	1	Kasper Collin		
0113	1	Barry Sonnenfeld		
0114	1	Nick Hurran		
0115	1	David Dobkin		
0116	1	Kent Alterman		
0118	1	Mamoru Oshii		
0119	1	Peter Weir		
0120	1	John Woo		
0121	1	Ang Lee		
0122	1	Lee Tamahori		
0124	1	Luis Bu�uel		
0125	1	Michael Mann		
0126	1	Eric Rohmer		
0127	1	Liz Garbus		
0128	1	Callie Khouri		
0129	1	Garry Marshall		
0130	1	Paul Hunter		
0131	1	Kevin Donovan		
0133	1	George A. Romero		
0135	1	Joseph Zito		
0136	1	Neal Miller		
0137	1	Nunnally Johnson		
0138	1	William Wyler		
0139	1	Stanley Nelson		
0140	1	Robert Altman		
0141	1	Kenneth Branagh		
0142	1	George Lucas		
0143	1	Jocelyn Moorhouse		
0144	1	Sarah Polley		
0145	1	Armando Iannucci		
0146	1	Lone Scherfig		
0148	1	Danny Boyle		
0149	1	Ingmar Bergman		
0150	1	Terence Fisher		
0151	1	Ted Post		
0152	1	John Woo		
0153	1	John Sayles		
0154	1	David Lean		
0155	1	John Carpenter		
0156	1	Mark Rydell		
0157	1	Matthew Warchus		
0158	1	Morton DaCosta		
0159	1	Brett Sullivan		
0160	1	Joseph L. Mankiewicz		
0161	1	Ralph Nelson		
0162	1	Peter Brook		
0164	1	George Stevens		
0165	1	Charles Vidor		
0167	1	Bill Melendez		
0169	1	Ziad Doueiri		
0172	1	Stephen Frears		
0173	1	Spike Lee		
0174	1	Ruedi Gerber		
0175	1	James Dodson		
0176	1	Bruce Robinson		
0177	1	Robert Rossen		
0179	1	Jean-Luc Godard		
0180	1	Peter Davis		
0181	1	Woody Allen		
0182	1	Nicholas Hytner		
0183	1	Erick Zonca		
0184	1	Tod Browning		
0185	1	John Carpenter		
0186	1	Julie Gavras		
0187	1	Mel Brooks		
0188	1	Chris Smith		
0189	1	James McTeigue		
0190	1	Kevin Tancharoen		
0191	1	Tom Dey		
0192	1	Hayao Miyazaki		
0193	1	Hirokazu Koreeda		
0195	1	Howard Hawks		
0196	1	Michael Curtiz		
0197	1	King Vidor		
0198	1	John Madden		
0199	1	Christopher Nolan		
0200	1	Todd Field		
0201	1	Noah Baumbach		
0202	1	Jason Reitman		
0203	1	Richard Fleischer		
0204	1	Bruce Beresford		
0205	1	Robert Bresson		
0206	1	Nick Park		
0207	1	Rainer Werner Fassbinder		
0208	1	Jane Campion		
0209	1	Michael Rymer		
0211	1	Byron Haskin		
0212	1	Joe Angio		
0213	1	Mitchell Leisen		
0214	1	Angela Pope		
0215	1	Rachid Bouchareb		
0216	1	Neil Thompson		
0217	1	Chris Walas		
0218	1	Frank Sebastiano		
0220	1	Richard Harrah		
0221	1	Mark Helfrich		
0222	1	Simon Wincer		
0223	1	John Pieplow		
0224	1	Julie Davis		
0225	1	Aaron Russo		
0226	1	Wim Wenders		
0227	1	Mitch Davis		
0228	1	Louis C.K.		
0229	1	Roger Weisberg		
0230	1	Jim Tushinski		
0232	1	Richard Fleischer		
0233	1	Hal Ashby		
0234	1	John Sayles		
0235	1	Robert Rodriguez		
0236	1	Mike van Diem		
0237	1	Patrice Ch�reau		
0238	1	Richard Fleischer		
0239	1	Ben Hickernell		
0240	1	Morgan Neville		
0242	1	Laurence Olivier		
0243	1	Thomas Vinterberg		
0245	1	Martin Scorsese		
0246	1	Federico Fellini		
0247	1	Tom Hanks		
0248	1	Satoshi Kon		
0249	1	Jonathan Frakes		
0250	1	Terence Davies		
0251	1	Mark Wilkinson		
0252	1	Avie Luthra		
0253	1	Jonathan Lynn		
0254	1	Richard Fleischer		
0255	1	Paul Lynch		
0257	1	Tom Tykwer		
0259	1	Director Ridley Scott		
0260	1	Patrice Leconte		
0261	1	Alejandro Gonz�lez I��rritu		
0262	1	Spike Jonze		
0263	1	Elie Chouraqui		
0264	1	JRichard Benjamin		
0265	1	Peter Jackson		
0266	1	Ken Kwapis		
0267	1	Mark Robson		
0268	1	Hal Hartley		
0269	1	Jonathan Lynn		
0270	1	Agnieszka Wojtowicz-Vosloo		
0271	1	Jules Dassin		
0272	1	Mark Robson		
0273	1	Paul Morrissey		
0274	1	Ketan Mehta		
0275	1	Fran�ois Truffaut		
0276	1	Peter Greenaway		
0277	1	Agnieszka Holland		
0278	1	Eric Rohmer		
0279	1	Sang-soo Hong		
0280	1	Sion Sono		
0281	1	Chung-ryoul Lee		
0282	1	Dori Berinstein		
0283	1	Charles E. Sellier Jr		
0284	1	Quentin Lee		
0285	1	John Badham		
0286	1	Karl Freund		
0287	1	Leo McCarey		
0288	1	Chris Eska		
0289	1	Jessica Oreck		
0290	1	Roland Joff�		
0291	1	John N. Smith		
0292	1	Phillip Noyce		
0293	1	David Wain		
0294	1	Stanley Donen		
0295	1	Jessica Hausner		
0296	1	Rob McKittrick		
0297	1	Chris Rock		
0298	1	Jonathan Hensleigh		
0299	1	F. Gary Gray		
0300	1	Tony Scott		
0301	1	Giorgos Lanthimos		
0302	1	Jessica Sanders		
0303	1	Tassos Boulmetis		
0304	1	Eric Styles		
0305	1	Jeremy Davidson		
0306	1	Joel Schumacher		
0307	1	Michael D. Sellers		
0309	1	Robert Benton		
0311	1	John Huston		
0312	1	Jan Svankmajer		
0313	1	Steven Spielberg		
0315	1	Michael Winterbottom		
0316	1	Billy Ray		
0317	1	Spike Jonze		
0319	1	Steven Spielberg		
0320	1	Neill Blomkamp		
0322	1	Adam Bhala Lough		
0324	1	Mike Newell		
0325	1	Philippe de Broca		
0327	1	Boyd Kirkland		
0329	1	George Cukor		
0330	1	Roger Spottiswoode		
0331	1	D. Ze'ev Gilad		
0332	1	Nicholas Ray		
0333	1	Mani Ratnam		
0334	1	Seth Holt		
0335	1	Samuel Fuller		
0336	1	Hector Babenco		
0337	1	Fritz Lang		
0338	1	Alfred Hitchcock		
0339	1	Simon Rumley		
0340	1	Jean-Luc Godard		
0341	1	Louis Malle		
0342	1	Ingmar Bergman		
0343	1	Julian Kemp		
0344	1	Fabrice Du Welz		
0345	1	Fred Zinnemann		
0346	1	Ivan Reitman		
0347	1	Marco Brambilla		
0349	1	John Hindman		
0351	1	Jacques Doillon		
0352	1	Billy Wilder		
0354	1	Mel Stuart		
0355	1	Peter Bogdanovich		
0356	1	Philippe Lioret		
0358	1	Michael Apted		
0359	1	Krzysztof Kieslowski		
0360	1	Albert Brooks		
0361	1	Lukas Moodysson		
0362	1	Andreas Dresen		
0363	1	Alfred Hitchcock		
0364	1	Raoul Walsh		
0365	1	Raoul Walsh		
0366	1	Edward M. Sedgwick		
0367	1	John Cassavetes		
0368	1	Mikio Naruse		
0369	1	Pen-Ek Ratanaruang		
0370	1	Kathryn Bigelow		
0371	1	Peter Yates		
0373	1	Andy Tennant		
0374	1	Jan Hrebejk		
0375	1	Woo-ping Yuen		
0377	1	Gabriele Salvatores		
0378	1	Wolfgang Becker		
0379	1	Steve McQueen (III)		
0380	1	Thomas McCarthy		
0382	1	Andrea Arnold		
0383	1	Jean-Pierre Jeunet		
0384	1	Ryan Fleck		
0385	1	Robert Zemeckis		
0386	1	Stephen Chow		
0387	1	Bill Condon		
0388	1	Ruben Fleischer		
0389	1	Alfonso Cuar�n		
0390	1	Alfred Hitchcock		
0391	1	Emir Kusturica		
0392	1	Martin Ritt		
0393	1	Ted Demme		
0394	1	David Batty		
0395	1	Stanley Kramer		
0396	1	Irving Rapper		
0397	1	Sergio Leone		
0398	1	Derek Cianfrance		
0399	1	Wolfgang Reitherman		
0400	1	Mike Hodges		
0401	1	Terence Fisher		
0402	1	Ingmar Bergman		
0403	1	Alfonso Arau		
0404	1	Hayao Miyazaki		
0405	1	David Zucker		
0406	1	Paolo Virz�		
0408	1	Alan Parker		
0409	1	Marina Zenovich		
0410	1	Mike Figgis		
0411	1	Arthur Penn		
0412	1	Neil LaBute		
0413	1	Danny Boyle		
0416	1	Robert Harmon		
0417	1	Bill Eagles		
0418	1	David Wain		
0419	1	Bill Plympton		
0420	1	Adrienne Shelly		
0422	1	Matt Reeves		
0424	1	Henry Selick		
0425	1	David Fincher		
0426	1	Blake Edwards		
0427	1	Robert Wise		
0428	1	Percy Adlon		
0429	1	Norman Jewison		
0430	1	Peter Godfrey		
0431	1	Norman Jewison		
0432	1	Benjamin Christensen		
0433	1	Milos Forman		
0434	1	Ingmar Bergman		
0435	1	Ralph Bakshi		
0436	1	Majid Majidi		
0437	1	Daniel Anker		
0438	1	Gary Hustwit		
0439	1	Aaron Katz		
0440	1	Manoel de Oliveira		
0441	1	Baillie Walsh		
0442	1	Mike Bencivenga		
