movie	imdb	genre								
1463	6	Drama	Fantasy	Mystery	Sci-Fi	Thriller	Drama - Fantasy - Mystery - Sci-Fi - Thriller			
1474	6	Action	Adventure	Drama	History	War	Action - Adventure - Drama - History - War			
1483	6	Action	Adventure	Comedy	Family	Romance	Action - Adventure - Comedy - Family - Romance			
1484	6	Action	Comedy	Drama	Family	Sport	Action - Comedy - Drama - Family - Sport			
1488	6	Animation	Adventure	Comedy	Family	Fantasy	Animation - Adventure - Comedy - Family - Fantasy			
1502	6	Action	Adventure	Comedy	Family	Fantasy	Action - Adventure - Comedy - Family - Fantasy			
1503	6	Animation	Adventure	Fantasy	Mystery	Sci-Fi	Animation - Adventure - Fantasy - Mystery - Sci-Fi			
1504	6	Comedy	Crime	Drama	Romance	Thriller	Comedy - Crime - Drama - Romance - Thriller			
1518	6	Action	Adventure	Drama	Sci-Fi	Thriller	Action - Adventure - Drama - Sci-Fi - Thriller			
1533	6	Animation	Action	Crime	Drama	Sci-Fi	Animation - Action - Crime - Drama - Sci-Fi			
1535	6	Action	Comedy	Crime	Drama	Thriller	Action - Comedy - Crime - Drama - Thriller			
1554	6	Action	Adventure	Family	Fantasy	Thriller	Action - Adventure - Family - Fantasy - Thriller			
1557	6	Animation	Adventure	Comedy	Family	Romance	Animation - Adventure - Comedy - Family - Romance			
1567	6	Action	Crime	Drama	Mystery	Thriller	Action - Crime - Drama - Mystery - Thriller			
1575	6	Adventure	Comedy	Drama	Family	Romance	Adventure - Comedy - Drama - Family - Romance			
1585	6	Adventure	Comedy	Crime	Drama	Family	Adventure - Comedy - Crime - Drama - Family			
1602	6	Animation	Comedy	Family	Fantasy	Music	Animation - Comedy - Family - Fantasy - Music			
1608	6	Action	Adventure	Family	Sci-Fi	Thriller	Action - Adventure - Family - Sci-Fi - Thriller			
1635	6	Biography	Crime	Drama	History	Thriller	Biography - Crime - Drama - History - Thriller			
1638	6	Animation	Action	Adventure	Comedy	Family	Animation - Action - Adventure - Comedy - Family			
1641	6	Action	Crime	Drama	Romance	Thriller	Action - Crime - Drama - Romance - Thriller			
1670	6	Action	Comedy	Crime	Drama	Thriller	Action - Comedy - Crime - Drama - Thriller			
1753	6	Animation	Adventure	Family	Fantasy	Mystery	Animation - Adventure - Family - Fantasy - Mystery			
1763	6	Crime	Drama	Horror	Mystery	Thriller	Crime - Drama - Horror - Mystery - Thriller			
1768	6	Action	Adventure	Comedy	Family	Fantasy	Action - Adventure - Comedy - Family - Fantasy			
1775	6	Action	Comedy	Crime	Mystery	Thriller	Action - Comedy - Crime - Mystery - Thriller			
1777	6	Crime	Drama	Romance	Sport	Thriller	Crime - Drama - Romance - Sport - Thriller			
1778	6	Drama	Fantasy	Horror	Mystery	Thriller	Drama - Fantasy - Horror - Mystery - Thriller			
1785	6	Action	Comedy	Crime	Drama	Thriller	Action - Comedy - Crime - Drama - Thriller			
1820	6	Biography	Drama	History	Music	War	Biography - Drama - History - Music - War			
1836	6	Action	Biography	Crime	Drama	Thriller	Action - Biography - Crime - Drama - Thriller			
1843	6	Comedy	Crime	Drama	Music	Romance	Comedy - Crime - Drama - Music - Romance			
1860	6	Biography	Drama	History	Music	Romance	Biography - Drama - History - Music - Romance			
1866	6	Comedy	Drama	Family	Musical	Romance	Comedy - Drama - Family - Musical - Romance			
1877	6	Adventure	Comedy	Drama	Family	Sport	Adventure - Comedy - Drama - Family - Sport			
1901	6	Action	Adventure	Comedy	Crime	Thriller	Action - Adventure - Comedy - Crime - Thriller			
1903	6	Animation	Adventure	Comedy	Family	Fantasy	Animation - Adventure - Comedy - Family - Fantasy			
1904	6	Action	Adventure	Comedy	Mystery	Thriller	Action - Adventure - Comedy - Mystery - Thriller			
1953	6	Action	Crime	Drama	History	Western	Action - Crime - Drama - History - Western			
0001	5	Crime	Drama	Mystery	Thriller	Crime - Drama - Mystery - Thriller				
0003	5	Biography	Drama	History	War	Biography - Drama - History - War				
0004	5	Crime	Drama	Mystery	Thriller	Crime - Drama - Mystery - Thriller				
0005	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller				
0018	5	Adventure	Horror	Sci-Fi	Thriller	Adventure - Horror - Sci-Fi - Thriller				
0020	5	Action	Adventure	Sci-Fi	Thriller	Action - Adventure - Sci-Fi - Thriller				
0027	5	Action	Adventure	Family	Sci-Fi	Action - Adventure - Family - Sci-Fi				
0029	5	Action	Adventure	Mystery	Thriller	Action - Adventure - Mystery - Thriller				
0032	5	Action	Adventure	Thriller	War	Action - Adventure - Thriller - War				
0036	5	Animation	Adventure	Comedy	Family	Animation - Adventure - Comedy - Family				
0044	5	Action	Adventure	Drama	Thriller	Action - Adventure - Drama - Thriller				
0045	5	Action	Adventure	Fantasy	Thriller	Action - Adventure - Fantasy - Thriller				
0046	5	Adventure	Family	Fantasy	Thriller	Adventure - Family - Fantasy - Thriller				
0050	5	Action	Comedy	Crime	Thriller	Action - Comedy - Crime - Thriller				
0052	5	Drama	Family	History	Musical	Drama - Family - History - Musical				
0074	5	Drama	Fantasy	Horror	Thriller	Drama - Fantasy - Horror - Thriller				
0077	5	Action	Adventure	Fantasy	Thriller	Action - Adventure - Fantasy - Thriller				
0083	5	Drama	Action	Crime	Thriller	Drama - Action - Crime - Thriller				
0102	5	Action	Crime	Drama	Romance	Action - Crime - Drama - Romance				
0122	5	Action	Adventure	Drama	Thriller	Action - Adventure - Drama - Thriller				
0125	5	Action	Comedy	Crime	Romance	Action - Comedy - Crime - Romance				
0133	5	Adventure	Drama	Horror	Thriller	Adventure - Drama - Horror - Thriller				
0135	5	Romance	War	Comedy	Drama	Romance - War - Comedy - Drama				
0137	5	Comedy	Drama	Music	Romance	Comedy - Drama - Music - Romance				
0143	5	Action	Adventure	Music	Sci-Fi	Action - Adventure - Music - Sci-Fi				
0157	5	Action	Drama	Sci-Fi	Thriller	Action - Drama - Sci-Fi - Thriller				
0180	5	Adventure	Biography	Drama	History	Adventure - Biography - Drama - History				
0182	5	Comedy	Drama	Family	Fantasy	Comedy - Drama - Family - Fantasy				
0185	5	Biography	Crime	Drama	Thriller	Biography - Crime - Drama - Thriller				
0186	5	Adventure	Comedy	Sci-Fi	Thriller	Adventure - Comedy - Sci-Fi - Thriller				
0204	5	Comedy	Drama	Romance	War	Comedy - Drama - Romance - War				
0211	5	Comedy	Drama	Music	Romance	Comedy - Drama - Music - Romance				
0212	5	Adventure	Comedy	Drama	Family	Adventure - Comedy - Drama - Family				
0216	5	Adventure	Drama	Romance	War	Adventure - Drama - Romance - War				
0217	5	Comedy	Crime	Drama	Thriller	Comedy - Crime - Drama - Thriller				
0219	5	Comedy	Drama	Romance	Sport	Comedy - Drama - Romance - Sport				
0223	5	Crime	Drama	Musical	Romance	Crime - Drama - Musical - Romance				
0241	5	Animation	Adventure	Family	Fantasy	Animation - Adventure - Family - Fantasy				
0244	5	Animation	Action	Adventure	Crime	Animation - Action - Adventure - Crime				
0248	5	Animation	Adventure	Comedy	Family	Animation - Adventure - Comedy - Family				
0255	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller				
0256	5	Action	Adventure	Comedy	Mystery	Action - Adventure - Comedy - Mystery				
0258	5	Action	Horror	Sci-Fi	Thriller	Action - Horror - Sci-Fi - Thriller				
0259	5	Action	Fantasy	Horror	Thriller	Action - Fantasy - Horror - Thriller				
0260	5	Drama	Mystery	Romance	Thriller	Drama - Mystery - Romance - Thriller				
0262	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller				
0269	5	Drama	Horror	Mystery	Thriller	Drama - Horror - Mystery - Thriller				
0285	5	Romance	Comedy	Drama	Music	Romance - Comedy - Drama - Music				
0289	5	Adventure	Drama	History	War	Adventure - Drama - History - War				
0293	5	Comedy	Drama	Mystery	Thriller	Comedy - Drama - Mystery - Thriller				
0297	5	Crime	Drama	Romance	Thriller	Crime - Drama - Romance - Thriller				
0298	5	Crime	Drama	Mystery	Thriller	Crime - Drama - Mystery - Thriller				
0300	5	Comedy	Drama	Musical	Romance	Comedy - Drama - Musical - Romance				
0309	5	Action	Adventure	Sci-Fi	Comedy	Action - Adventure - Sci-Fi - Comedy				
0313	5	Comedy	Drama	Romance	Sci-Fi	Comedy - Drama - Romance - Sci-Fi				
0320	5	Drama	Fantasy	Horror	Thriller	Drama - Fantasy - Horror - Thriller				
0339	5	Action	Adventure	Fantasy	Romance	Action - Adventure - Fantasy - Romance				
0341	5	Comedy	Fantasy	Mystery	Thriller	Comedy - Fantasy - Mystery - Thriller				
0344	5	Fantasy	Action	Adventure	Sci-Fi	Fantasy - Action - Adventure - Sci-Fi				
0357	5	Comedy	Drama	Romance	Thriller	Comedy - Drama - Romance - Thriller				
0359	5	Action	Drama	Romance	Sport	Action - Drama - Romance - Sport				
0371	5	Action	Drama	Romance	Thriller	Action - Drama - Romance - Thriller				
0397	5	Action	Crime	Thriller	Romance	Action - Crime - Thriller - Romance				
0418	5	Fantasy	Horror	Mystery	Thriller	Fantasy - Horror - Mystery - Thriller				
0422	5	Crime	Drama	Horror	Thriller	Crime - Drama - Horror - Thriller				
0427	5	Action	Adventure	Sci-Fi	Thriller	Action - Adventure - Sci-Fi - Thriller				
0431	5	Action	Adventure	Family	Fantasy	Action - Adventure - Family - Fantasy				
0444	5	Drama	Horror	Mystery	Thriller	Drama - Horror - Mystery - Thriller				
0452	5	Drama	Comedy	Musical	Thriller	Drama - Comedy - Musical - Thriller				
0471	5	Comedy	Crime	Mystery	Thriller	Comedy - Crime - Mystery - Thriller				
0490	5	Comedy	Drama	Family	Fantasy	Comedy - Drama - Family - Fantasy				
0503	5	Action	Drama	History	War	Action - Drama - History - War				
0509	5	Drama	Horror	Mystery	Thriller	Drama - Horror - Mystery - Thriller				
0512	5	Biography	Crime	Drama	Romance	Biography - Crime - Drama - Romance				
0515	5	Action	Comedy	Mystery	Sci-Fi	Action - Comedy - Mystery - Sci-Fi				
0520	5	Comedy	Drama	Romance	Sport	Comedy - Drama - Romance - Sport				
0526	5	Animation	Adventure	Comedy	Family	Animation - Adventure - Comedy - Family				
0528	5	Comedy	Drama	Family	Sport	Comedy - Drama - Family - Sport				
0529	5	Comedy	Thriller	Horror	Mystery	Comedy - Thriller - Horror - Mystery				
0533	5	Drama	Thriller	War	Action	Drama - Thriller - War - Action				
0540	5	Drama	History	Romance	Western	Drama - History - Romance - Western				
0546	5	Drama	Mystery	Romance	Thriller	Drama - Mystery - Romance - Thriller				
0558	5	Crime	Drama	Romance	Thriller	Crime - Drama - Romance - Thriller				
0562	5	Comedy	Drama	Horror	Romance	Comedy - Drama - Horror - Romance				
0563	5	Horror	Mystery	Sci-Fi	Thriller	Horror - Mystery - Sci-Fi - Thriller				
0565	5	Action	Comedy	Crime	Thriller	Action - Comedy - Crime - Thriller				
0573	5	Action	Drama	Horror	War	Action - Drama - Horror - War				
0574	5	Biography	Drama	History	Romance	Biography - Drama - History - Romance				
0577	5	Adventure	Drama	Family	Romance	Adventure - Drama - Family - Romance				
0580	5	Crime	Drama	Mystery	Thriller	Crime - Drama - Mystery - Thriller				
0588	5	Thriller	Horror	Crime	Mystery	Thriller - Horror - Crime - Mystery				
0589	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller				
0590	5	Adventure	Comedy	Sci-Fi	Thriller	Adventure - Comedy - Sci-Fi - Thriller				
0601	5	Action	Crime	Mystery	Thriller	Action - Crime - Mystery - Thriller				
0606	5	Animation	Adventure	Family	Sci-Fi	Animation - Adventure - Family - Sci-Fi				
0613	5	Action	Comedy	Crime	Drama	Action - Comedy - Crime - Drama				
0618	5	Animation	Adventure	Comedy	Family	Animation - Adventure - Comedy - Family				
0626	5	Action	Adventure	Horror	Sci-Fi	Action - Adventure - Horror - Sci-Fi				
0635	5	Action	Adventure	Crime	War	Action - Adventure - Crime - War				
0636	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller				
0662	5	Action	Comedy	Drama	Romance	Action - Comedy - Drama - Romance				
0664	5	Drama	Horror	Sci-Fi	Thriller	Drama - Horror - Sci-Fi - Thriller				
0667	5	Action	Adventure	Sci-Fi	Thriller	Action - Adventure - Sci-Fi - Thriller				
0669	5	Crime	Drama	Mystery	Thriller	Crime - Drama - Mystery - Thriller				
0671	5	Action	Fantasy	Sci-Fi	Thriller	Action - Fantasy - Sci-Fi - Thriller				
0684	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller				
0698	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller				
0704	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller				
0708	5	Action	Drama	Romance	War	Action - Drama - Romance - War				
0713	5	Comedy	Drama	Romance	Sport	Comedy - Drama - Romance - Sport				
0714	5	Biography	Comedy	Reality-TV	Romance	Biography - Comedy - Reality-TV - Romance				
0723	5	Romance	Thriller	Crime	Drama	Romance - Thriller - Crime - Drama				
0725	5	Comedy	Thriller	Crime	Romance	Comedy - Thriller - Crime - Romance				
0729	5	Drama	Horror	Mystery	Thriller	Drama - Horror - Mystery - Thriller				
0731	5	Action	Crime	Romance	Thriller	Action - Crime - Romance - Thriller				
0734	5	Action	Comedy	Fantasy	Sci-Fi	Action - Comedy - Fantasy - Sci-Fi				
0735	5	Comedy	Fantasy	Horror	Sci-Fi	Comedy - Fantasy - Horror - Sci-Fi				
0738	5	Action	Fantasy	Sci-Fi	Thriller	Action - Fantasy - Sci-Fi - Thriller				
0739	5	Comedy	Drama	Romance	Fantasy	Comedy - Drama - Romance - Fantasy				
0743	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller				
0756	5	Horror	Mystery	Sci-Fi	Thriller	Horror - Mystery - Sci-Fi - Thriller				
0761	5	Action	Adventure	Sci-Fi	Thriller	Action - Adventure - Sci-Fi - Thriller				
0763	5	Action	Adventure	Drama	Thriller	Action - Adventure - Drama - Thriller				
0793	5	Biography	Drama	History	War	Biography - Drama - History - War				
0806	5	Action	Romance	Sci-Fi	Thriller	Action - Romance - Sci-Fi - Thriller				
0808	5	Action	Crime	Drama	Thriller	Action - Crime - Drama - Thriller				
0815	5	Sci-Fi	Thriller	Action	Mystery	Sci-Fi - Thriller - Action - Mystery				
0822	5	Crime	Drama	Mystery	Thriller	Crime - Drama - Mystery - Thriller				
0828	5	Adventure	Drama	Family	Fantasy	Adventure - Drama - Family - Fantasy				
0835	5	Action	Adventure	Family	Fantasy	Action - Adventure - Family - Fantasy				
0838	5	Crime	Drama	Romance	Thriller	Crime - Drama - Romance - Thriller				
0851	5	Drama	Thriller	Comedy	Crime	Drama - Thriller - Comedy - Crime				
0855	5	Comedy	Horror	Mystery	Thriller	Comedy - Horror - Mystery - Thriller				
0864	5	Comedy	Drama	Fantasy	Romance	Comedy - Drama - Fantasy - Romance				
0867	5	Crime	Drama	Mystery	Thriller	Crime - Drama - Mystery - Thriller				
0878	5	Action	Crime	Fantasy	Romance	Action - Crime - Fantasy - Romance				
0880	5	Drama	Fantasy	Mystery	Romance	Drama - Fantasy - Mystery - Romance				
0882	5	Mystery	Romance	Sci-Fi	Thriller	Mystery - Romance - Sci-Fi - Thriller				
0885	5	Crime	Drama	Mystery	Thriller	Crime - Drama - Mystery - Thriller				
0889	5	Comedy	Drama	Romance	Music	Comedy - Drama - Romance - Music				
0893	5	Drama	Mystery	Romance	Sci-Fi	Drama - Mystery - Romance - Sci-Fi				
0897	5	Crime	Drama	Horror	Thriller	Crime - Drama - Horror - Thriller				
0918	5	Action	Adventure	Drama	Thriller	Action - Adventure - Drama - Thriller				
0927	5	Drama	Music	Musical	Romance	Drama - Music - Musical - Romance				
0936	5	Action	Adventure	Horror	Sci-Fi	Action - Adventure - Horror - Sci-Fi				
0939	5	Comedy	Drama	Music	Romance	Comedy - Drama - Music - Romance				
0941	5	Action	Horror	Fantasy	Sci-Fi	Action - Horror - Fantasy - Sci-Fi				
0955	5	Comedy	Crime	Drama	Romance	Comedy - Crime - Drama - Romance				
0960	5	Adventure	Drama	Sci-Fi	Thriller	Adventure - Drama - Sci-Fi - Thriller				
0970	5	Action	Adventure	Sci-Fi	Thriller	Action - Adventure - Sci-Fi - Thriller				
0979	5	Action	Adventure	Comedy	Thriller	Action - Adventure - Comedy - Thriller				
0981	5	Action	Comedy	Crime	Thriller	Action - Comedy - Crime - Thriller				
0985	5	Comedy	Drama	Fantasy	Romance	Comedy - Drama - Fantasy - Romance				
0999	5	Crime	Drama	Mystery	Thriller	Crime - Drama - Mystery - Thriller				
1001	5	Drama	Horror	Mystery	Thriller	Drama - Horror - Mystery - Thriller				
