restaurant	gayot	cuisine			
1078	4	Global	Contemporary	Wine Bar	Global - Contemporary - Wine Bar
1084	4	Sandwiches	Bakery	Coffee Shop	Sandwiches - Bakery - Coffee Shop
1101	4	Tapas	Spanish	Wine Bar	Tapas - Spanish - Wine Bar
1106	4	Italian	Sandwiches	Philly Steak Sandwiches	Italian - Sandwiches - Philly Steak Sandwiches
1107	4	Breakfast	Greek	Coffee Shop	Breakfast - Greek - Coffee Shop
1124	4	American	Healthy	Sandwiches	American - Healthy - Sandwiches
1135	4	American	Ice Cream	Breakfast	American - Ice Cream - Breakfast
1145	4	American	Global	Southwestern	American - Global - Southwestern
1152	4	Frozen Custard	Burgers	Hot Dogs	Frozen Custard - Burgers - Hot Dogs
1159	4	Coffee Shop	Breakfast	Pancakes	Coffee Shop - Breakfast - Pancakes
1162	4	Continental	Contemporary	Breakfast	Continental - Contemporary - Breakfast
1166	4	Barbecue	American	Bar	Barbecue - American - Bar
1171	4	Southwestern	Contemporary	Mexican	Southwestern - Contemporary - Mexican
1172	4	Café	Breakfast	Mediterranean	Café - Breakfast - Mediterranean
1181	4	Italian	Steakhouse	Seafood	Italian - Steakhouse - Seafood
1186	4	Japanese	Asian	Sushi	Japanese - Asian - Sushi
1187	4	Seafood	California	Bar	Seafood - California - Bar
1189	4	Italian	California	Breakfast	Italian - California - Breakfast
1190	4	Italian	Pizza	California	Italian - Pizza - California
1191	4	Seafood	American	Pub	Seafood - American - Pub
1193	4	Caribbean	Creole	Jamaican	Caribbean - Creole - Jamaican
1202	4	Coffee Shop	Breakfast	Pancakes	Coffee Shop - Breakfast - Pancakes
1204	4	American	Diner	Burgers	American - Diner - Burgers
1212	4	Chicken	American	Deli	Chicken - American - Deli
1219	4	Southern	Barbecue	Soul Food	Southern - Barbecue - Soul Food
1234	4	Mediterranean	American	Latin American	Mediterranean - American - Latin American
1235	4	French	Bakery	Café	French - Bakery - Café
1253	4	Pizza	Deli	Bar	Pizza - Deli - Bar
1262	4	Sushi	Japanese	Small Plates	Sushi - Japanese - Small Plates
1268	4	Café	Healthy	Breakfast	Café - Healthy - Breakfast
1269	4	Contemporary	French	Organic	Contemporary - French - Organic
1272	4	Contemporary	American	Seafood	Contemporary - American - Seafood
1273	4	Malaysian	Japanese	Indonesian	Malaysian - Japanese - Indonesian
1303	4	Steakhouse	American	Small Plates	Steakhouse - American - Small Plates
1306	4	Contemporary	American	Steakhouse	Contemporary - American - Steakhouse
1314	4	American	Tex-Mex	New Mexican	American - Tex-Mex - New Mexican
1324	4	Mediterranean	Tapas	Small Plates	Mediterranean - Tapas - Small Plates
1326	4	Pan-Asian	Sushi	Small Plates	Pan-Asian - Sushi - Small Plates
1327	4	Fusion	Eclectic	Tapas	Fusion - Eclectic - Tapas
1329	4	Burgers	Chili	Bar	Burgers - Chili - Bar
1334	4	Coffee Shop	Deli	Breakfast	Coffee Shop - Deli - Breakfast
1336	4	American	Mediterranean	Pizza	American - Mediterranean - Pizza
1344	4	California	Eclectic	Small Plates	California - Eclectic - Small Plates
1345	4	American	Burgers	Bar	American - Burgers - Bar
1350	4	Contemporary	American	European	Contemporary - American - European
1351	4	Nuevo Latino	Tapas	Small Plates	Nuevo Latino - Tapas - Small Plates
1353	4	California	Eclectic	Small Plates	California - Eclectic - Small Plates
1357	4	Polynesian	Tapas	Small Plates	Polynesian - Tapas - Small Plates
1358	4	American	Coffeehouse	Sandwiches	American - Coffeehouse - Sandwiches
1359	4	Southern	Seafood	Diner	Southern - Seafood - Diner
1361	4	Japanese	Sushi	Seafood	Japanese - Sushi - Seafood
1391	4	Northwest	Steakhouse	Contemporary	Northwest - Steakhouse - Contemporary
1394	4	American	Steakhouse	Seafood	American - Steakhouse - Seafood
1397	4	Ice Cream	Sandwiches	American	Ice Cream - Sandwiches - American
1402	4	Japanese	Asian	Sushi	Japanese - Asian - Sushi
1405	4	Healthy	Vegetarian	Breakfast	Healthy - Vegetarian - Breakfast
1406	4	Asian	Mediterranean	Small Plates	Asian - Mediterranean - Small Plates
1414	4	Sandwiches	Desserts	Café	Sandwiches - Desserts - Café
1415	4	Italian	Mexican	Sandwiches	Italian - Mexican - Sandwiches
1417	4	Sushi	Japanese	Small Plates	Sushi - Japanese - Small Plates
1418	4	Southeast Asian	Vietnamese	Thai	Southeast Asian - Vietnamese - Thai
1421	4	Southwestern	Pizza	Eclectic	Southwestern - Pizza - Eclectic
1447	4	Coffee Shop	American	Breakfast	Coffee Shop - American - Breakfast
1448	4	Japanese	Fusion	Sushi	Japanese - Fusion - Sushi
1452	4	Breakfast	American	Mexican	Breakfast - American - Mexican
1457	4	Chinese	Asian	Fusion	Chinese - Asian - Fusion
1464	4	Seafood	Steakhouse	Sushi	Seafood - Steakhouse - Sushi
1465	4	Breakfast	Sandwiches	Café	Breakfast - Sandwiches - Café
1477	4	Creole	Mediterranean	Italian	Creole - Mediterranean - Italian
1478	4	Bar	Wine Bar	Small Plates	Bar - Wine Bar - Small Plates
1480	4	Vietnamese	Chinese	Bakery	Vietnamese - Chinese - Bakery
1484	4	Pizza	American	Italian	Pizza - American - Italian
1493	4	Contemporary	Small Plates	Bar	Contemporary - Small Plates - Bar
1503	4	Middle Eastern	Bakery	Café	Middle Eastern - Bakery - Café
1507	4	Bakery	Café	French	Bakery - Café - French
1515	4	Seafood	California	Mediterranean	Seafood - California - Mediterranean
1521	4	Chinese	Dim Sum	Seafood	Chinese - Dim Sum - Seafood
1528	4	Deli	Middle Eastern	American	Deli - Middle Eastern - American
1535	4	Contemporary	Eclectic	Small Plates	Contemporary - Eclectic - Small Plates
1543	4	Seafood	Steakhouse	Raw Bar	Seafood - Steakhouse - Raw Bar
1545	4	Cuban	Mexican	Sandwiches	Cuban - Mexican - Sandwiches
1546	4	Tex-Mex	Mexican	Breakfast	Tex-Mex - Mexican - Breakfast
1549	4	Tex-Mex	Mexican	Breakfast	Tex-Mex - Mexican - Breakfast
1552	4	Egyptian	Italian	American	Egyptian - Italian - American
1556	4	Pizza	American	Mediterranean	Pizza - American - Mediterranean
1565	4	Provençal	Organic	Breakfast	Provençal - Organic - Breakfast
1573	4	Mediterranean	Tapas	Small Plates	Mediterranean - Tapas - Small Plates
1598	4	Tapas	Spanish	Mediterranean	Tapas - Spanish - Mediterranean
1602	4	Café	Sandwiches	Wine Bar	Café - Sandwiches - Wine Bar
1621	4	Creole	Seafood	Bar	Creole - Seafood - Bar
1629	4	Brasserie	Contemporary	Small Plates	Brasserie - Contemporary - Small Plates
1632	4	American	Continental	Small Plates	American - Continental - Small Plates
1635	4	Modern American	Wine Bar	Bistro	Modern American - Wine Bar - Bistro
1643	4	Fusion	Sushi	Seafood	Fusion - Sushi - Seafood
1674	4	Steakhouse	Seafood	American	Steakhouse - Seafood - American
1678	4	Deli	Vegetarian	Sandwiches	Deli - Vegetarian - Sandwiches
1683	4	Latin American	Mexican	Tex-Mex	Latin American - Mexican - Tex-Mex
1684	4	Seafood	Steakhouse	Sushi	Seafood - Steakhouse - Sushi
1705	4	Italian	Tapas	Small Plates	Italian - Tapas - Small Plates
1706	4	Pan-Asian	Sushi	Small Plates	Pan-Asian - Sushi - Small Plates
1710	4	Pan-Asian	Tapas	Japanese	Pan-Asian - Tapas - Japanese
1711	4	Mediterranean	French	American	Mediterranean - French - American
1717	4	American	Small Plates	Desserts	American - Small Plates - Desserts
1729	4	Burgers	Hot Dogs	American	Burgers - Hot Dogs - American
1730	4	Southern	Soul Food	American	Southern - Soul Food - American
1731	4	Cajun	Creole	Southern	Cajun - Creole - Southern
1733	4	Dim Sum	Seafood	Chinese	Dim Sum - Seafood - Chinese
1734	4	Eclectic	Pan-Asian	Small Plates	Eclectic - Pan-Asian - Small Plates
1738	4	Japanese	Robata	Tapas	Japanese - Robata - Tapas
1755	4	Breakfast	Vegetarian	American	Breakfast - Vegetarian - American
1764	4	Organic	Pizza	Healthy	Organic - Pizza - Healthy
1767	4	American	Creole	Breakfast	American - Creole - Breakfast
1789	4	Crêpes	Sandwiches	Breakfast	Crêpes - Sandwiches - Breakfast
1792	4	Thai	Asian	Vegetarian	Thai - Asian - Vegetarian
1793	4	Buffet	International	Breakfast	Buffet - International - Breakfast
1795	4	Chinese	Dim Sum	Seafood	Chinese - Dim Sum - Seafood
1819	4	Asian	Contemporary	Dim Sum	Asian - Contemporary - Dim Sum
1828	4	Café	Ice Cream	Sandwiches	Café - Ice Cream - Sandwiches
1830	4	Spanish	Tapas	Small Plates	Spanish - Tapas - Small Plates
1837	4	Armenian	Mediterranean	Chicken	Armenian - Mediterranean - Chicken
1840	4	Spanish	Tapas	Small Plates	Spanish - Tapas - Small Plates
1850	4	Café	Coffee Shop	Breakfast	Café - Coffee Shop - Breakfast
1856	4	Contemporary	New American	California	Contemporary - New American - California
1861	4	Eclectic	New American	Global	Eclectic - New American - Global
1866	4	French	Steakhouse	Brasserie	French - Steakhouse - Brasserie
1867	4	American	Sandwiches	Creole	American - Sandwiches - Creole
1874	4	Creole	Contemporary	Brasserie	Creole - Contemporary - Brasserie
1877	4	Thai	Contemporary	Pan-Asian	Thai - Contemporary - Pan-Asian
1882	4	Bakery	Sandwiches	Latin American	Bakery - Sandwiches - Latin American
1886	4	American	Pizza	Brewpub	American - Pizza - Brewpub
1890	4	American	Italian	Contemporary	American - Italian - Contemporary
1895	4	Gastropub	Gourmet Bar Food	Bar	Gastropub - Gourmet Bar Food - Bar
1922	4	Confectionery	Coffee	Ice Cream	Confectionery - Coffee - Ice Cream
1931	4	Sandwiches	Coffeehouse	Crêpes	Sandwiches - Coffeehouse - Crêpes
1936	4	Latin American	Asian	Healthy	Latin American - Asian - Healthy
1939	4	Nuevo Latino	Pacific Rim	Fusion	Nuevo Latino - Pacific Rim - Fusion
1942	4	Wine Bar	Tapas	Small Plates	Wine Bar - Tapas - Small Plates
1952	4	Creole	Deli	Breakfast	Creole - Deli - Breakfast
1955	4	Bakery	Breakfast	Café	Bakery - Breakfast - Café
1968	4	French	Bistro	Wine Bar	French - Bistro - Wine Bar
1970	4	American	Asian	Lounge	American - Asian - Lounge
1973	4	Mediterranean	Greek	Turkish	Mediterranean - Greek - Turkish
1981	4	Japanese	Sushi	French	Japanese - Sushi - French
1987	4	Italian	French	Contemporary	Italian - French - Contemporary
1990	4	Japanese	Chinese	Sushi	Japanese - Chinese - Sushi
1991	4	French	Bakery	Café	French - Bakery - Café
1992	4	French	Bakery	Café	French - Bakery - Café
0002	3	Middle Eastern	Persian	Middle Eastern - Persian	
0004	3	Pizza	Italian	Pizza - Italian	
0007	3	American	Bar	American - Bar	
0015	3	American	Bar	American - Bar	
0016	3	Tex-Mex	Taqueria	Tex-Mex - Taqueria	
0017	3	Mexican	California	Mexican - California	
0021	3	Pizza	American	Pizza - American	
0024	3	Italian	Pizza	Italian - Pizza	
0026	3	French	Bistro	French - Bistro	
0027	3	American	Bar	American - Bar	
0028	3	Bagels	Sandwiches	Bagels - Sandwiches	
0029	3	Sushi	Japanese	Sushi - Japanese	
0030	3	Pizza	American	Pizza - American	
0036	3	Burgers	American	Burgers - American	
0037	3	Irish	Pub	Irish - Pub	
0047	3	Irish	American	Irish - American	
0049	3	Deli	Breakfast	Deli - Breakfast	
0052	3	French	Provençal	French - Provençal	
0053	3	European	Contemporary	European - Contemporary	
0054	3	Italian	Pizza	Italian - Pizza	
0059	3	Pizza	American	Pizza - American	
0066	3	French	Contemporary	French - Contemporary	
0068	3	Seafood	Contemporary	Seafood - Contemporary	
0073	3	Steakhouse	Seafood	Steakhouse - Seafood	
0074	3	American	Continental	American - Continental	
0075	3	Breakfast	Pancakes	Breakfast - Pancakes	
0077	3	Deli	Breakfast	Deli - Breakfast	
0079	3	Contemporary	Seafood	Contemporary - Seafood	
0086	3	Contemporary	Eclectic	Contemporary - Eclectic	
0088	3	Pizza	Italian	Pizza - Italian	
0090	3	Japanese	Sushi	Japanese - Sushi	
0091	3	Italian	Pizza	Italian - Pizza	
0094	3	Seafood	American	Seafood - American	
0095	3	Seafood	Steakhouse	Seafood - Steakhouse	
0096	3	Italian	Seafood	Italian - Seafood	
0104	3	Italian	Steakhouse	Italian - Steakhouse	
0105	3	British	American	British - American	
0108	3	Barbecue	Southern	Barbecue - Southern	
0113	3	Breakfast	Pancakes	Breakfast - Pancakes	
0114	3	Japanese	Sushi	Japanese - Sushi	
0115	3	Korean	Japanese	Korean - Japanese	
0121	3	American	Continental	American - Continental	
0129	3	American	California	American - California	
0131	3	Thai	Sushi	Thai - Sushi	
0139	3	French	Contemporary	French - Contemporary	
0145	3	Seafood	Steakhouse	Seafood - Steakhouse	
0146	3	American	Deli	American - Deli	
0150	3	Coffee Shop	Breakfast	Coffee Shop - Breakfast	
0162	3	Pizza	Italian	Pizza - Italian	
0164	3	American	Grill	American - Grill	
0165	3	Bakery	Café	Bakery - Café	
0166	3	New American	Steakhouse	New American - Steakhouse	
0167	3	Bakery	Café	Bakery - Café	
0168	3	Contemporary	American	Contemporary - American	
0169	3	French	Bistro	French - Bistro	
0173	3	Pizza	Italian	Pizza - Italian	
0177	3	Pizza	Deli	Pizza - Deli	
0178	3	Brazilian	Steakhouse	Brazilian - Steakhouse	
0179	3	Pizza	Sandwiches	Pizza - Sandwiches	
0181	3	Pizza	Italian	Pizza - Italian	
0185	3	Pizza	Italian	Pizza - Italian	
0188	3	Mexican	Tex-Mex	Mexican - Tex-Mex	
0190	3	Creole	Cajun	Creole - Cajun	
0191	3	American	Burgers	American - Burgers	
0192	3	Italian	Pizza	Italian - Pizza	
0197	3	Pizza	Sandwiches	Pizza - Sandwiches	
0199	3	Bakery	Café	Bakery - Café	
0208	3	American	Gourmet Bar Food	American - Gourmet Bar Food	
0220	3	Contemporary	California	Contemporary - California	
0221	3	New American	Seafood	New American - Seafood	
0222	3	Deli	German	Deli - German	
0232	3	American	Continental	American - Continental	
0236	3	American	Contemporary	American - Contemporary	
0238	3	American	Seafood	American - Seafood	
0239	3	American	Contemporary	American - Contemporary	
0245	3	American	Bar	American - Bar	
0248	3	New American	Small Plates	New American - Small Plates	
0252	3	American	Seafood	American - Seafood	
0254	3	Pizza	Italian	Pizza - Italian	
0257	3	American	Grill	American - Grill	
0258	3	Italian	Mediterranean	Italian - Mediterranean	
0259	3	Mediterranean	Seafood	Mediterranean - Seafood	
0260	3	New American	Small Plates	New American - Small Plates	
0263	3	American	Grill	American - Grill	
0266	3	Modern American	Nuevo Latino	Modern American - Nuevo Latino	
0269	3	Mediterranean	Contemporary	Mediterranean - Contemporary	
0272	3	New Mexican	Breakfast	New Mexican - Breakfast	
0277	3	Coffee Shop	Café	Coffee Shop - Café	
0283	3	Contemporary	Breakfast	Contemporary - Breakfast	
0285	3	American	Fusion	American - Fusion	
0286	3	Japanese	Sushi	Japanese - Sushi	
0288	3	Burgers	American	Burgers - American	
0289	3	French	Café	French - Café	
0294	3	French	Contemporary	French - Contemporary	
0297	3	Seafood	Italian	Seafood - Italian	
0306	3	Continental	Contemporary	Continental - Contemporary	
0309	3	Chicken	Guatemalan	Chicken - Guatemalan	
0310	3	American	Italian	American - Italian	
0312	3	Contemporary	Eclectic	Contemporary - Eclectic	
0318	3	Mediterranean	Greek	Mediterranean - Greek	
0321	3	American	Mediterranean	American - Mediterranean	
0322	3	American	Contemporary	American - Contemporary	
0323	3	Chicken	Guatemalan	Chicken - Guatemalan	
0325	3	French	Bistro	French - Bistro	
0328	3	Fusion	Eclectic	Fusion - Eclectic	
0332	3	Breakfast	American	Breakfast - American	
0334	3	Middle Eastern	Mediterranean	Middle Eastern - Mediterranean	
0340	3	Italian	Pizza	Italian - Pizza	
0342	3	American	Pub	American - Pub	
0344	3	Chicken	Guatemalan	Chicken - Guatemalan	
0351	3	Seafood	Barbecue	Seafood - Barbecue	
0352	3	American	French	American - French	
0356	3	American	Bar	American - Bar	
0357	3	American	Contemporary	American - Contemporary	
0359	3	Italian	American	Italian - American	
0362	3	American	Asian	American - Asian	
0366	3	Ice Cream	Desserts	Ice Cream - Desserts	
0371	3	Steakhouse	American	Steakhouse - American	
0375	3	Southern	Sandwiches	Southern - Sandwiches	
0379	3	Contemporary	Southern	Contemporary - Southern	
0380	3	Tapas	Sandwiches	Tapas - Sandwiches	
0382	3	French	Bistro	French - Bistro	
0383	3	Southwestern	Seafood	Southwestern - Seafood	
0384	3	Southern	Diner	Southern - Diner	
0385	3	Deli	Italian	Deli - Italian	
0389	3	French	Brasserie	French - Brasserie	
0390	3	Middle Eastern	Lebanese	Middle Eastern - Lebanese	
0391	3	Mexican	Southwest	Mexican - Southwest	
0392	3	Modern American	French	Modern American - French	
0399	3	American	Irish	American - Irish	
0400	3	French	Contemporary	French - Contemporary	
0401	3	Ice Cream	Bakery	Ice Cream - Bakery	
0402	3	French	Italian	French - Italian	
0403	3	Seafood	Contemporary	Seafood - Contemporary	
0404	3	American	Steakhouse	American - Steakhouse	
0406	3	American	Breakfast	American - Breakfast	
0407	3	American	Gastropub	American - Gastropub	
0408	3	Greek	Indian	Greek - Indian	
0410	3	American	Diner	American - Diner	
0411	3	American	Diner	American - Diner	
0414	3	Steakhouse	Wine Bar	Steakhouse - Wine Bar	
0415	3	Steakhouse	Seafood	Steakhouse - Seafood	
0416	3	Burgers	Ribs	Burgers - Ribs	
0422	3	Sushi	Japanese	Sushi - Japanese	
0423	3	Irish	Pub	Irish - Pub	
0427	3	Steakhouse	Seafood	Steakhouse - Seafood	
0431	3	French	Bistro	French - Bistro	
0433	3	Italian	Pizza	Italian - Pizza	
0434	3	Indian	Japanese	Indian - Japanese	
0435	3	Steakhouse	Seafood	Steakhouse - Seafood	
