restaurant	restaurantica	cuisine			
1686	3	Asian	Chinese	Asian - Chinese	
1697	3	Asian	Chinese	Asian - Chinese	
1713	3	American (Traditional)	Southwestern	American (Traditional) - Southwestern	
1729	3	Asian	Chinese	Asian - Chinese	
1732	3	Japanese	Sushi	Japanese - Sushi	
1739	3	Asian	Chinese	Asian - Chinese	
1765	3	Asian	Chinese	Asian - Chinese	
1774	3	Asian	Chinese	Asian - Chinese	
1795	3	European	French	European - French	
1808	3	Asian	Chinese	Asian - Chinese	
1820	3	Asian	Chinese	Asian - Chinese	
1828	3	European	French	European - French	
1838	3	American (Traditional)	Diner	American (Traditional) - Diner	
1841	3	American (Traditional)	Southwestern	American (Traditional) - Southwestern	
1843	3	European	French	European - French	
1845	3	American (Traditional)	Diner	American (Traditional) - Diner	
1860	3	Asian	Chinese	Asian - Chinese	
1866	3	Asian	Chinese	Asian - Chinese	
1883	3	American (Traditional)	Italian	American (Traditional) - Italian	
1889	3	Asian	Chinese	Asian - Chinese	
1894	3	American (Traditional)	Diner	American (Traditional) - Diner	
1902	3	Asian	Chinese	Asian - Chinese	
1905	3	Asian	Chinese	Asian - Chinese	
1917	3	Asian	Chinese	Asian - Chinese	
1918	3	Asian	Chinese	Asian - Chinese	
1922	3	Asian	Chinese	Asian - Chinese	
1935	3	Japanese	Sushi	Japanese - Sushi	
1938	3	Asian	Chinese	Asian - Chinese	
1947	3	Italian	Other	Italian - Other	
1954	3	American (Traditional)	Diner	American (Traditional) - Diner	
1958	3	Asian	Chinese	Asian - Chinese	
1961	3	Asian	Chinese	Asian - Chinese	
1963	3	Asian	Chinese	Asian - Chinese	
1964	3	Asian	Chinese	Asian - Chinese	
1966	3	Asian	Chinese	Asian - Chinese	
1976	3	Asian	Chinese	Asian - Chinese	
1984	3	Asian	Chinese	Asian - Chinese	
1985	3	Asian	Chinese	Asian - Chinese	
0000	1	Barbecue			
0001	1	Grill			
0002	1	Restaurant and Bar			
0003	1	Other			
0004	1	Other			
0005	1	Other			
0006	1	Cafe			
0007	1	Other			
0008	1	Other			
0009	1	Other			
0010	1	Cafe			
0011	1	Cafe			
0012	1	Thai			
0013	1	Other			
0014	1	Other			
0015	1	Other			
0016	1	Other			
0017	1	Other			
0018	1	Cafe			
0019	1	Steakhouse			
0020	1	Other			
0021	1	Pub Food			
0024	1	Other			
0025	1	American (Traditional)			
0026	1	Other			
0027	1	Other			
0028	1	Other			
0030	1	Other			
0031	1	Other			
0033	1	Bakery			
0034	1	Other			
0035	1	Other			
0036	1	Other			
0037	1	Other			
0038	1	Steakhouse			
0039	1	Thai			
0041	1	Other			
0042	1	Other			
0043	1	Other			
0044	1	Steakhouse			
0045	1	Other			
0046	1	Thai			
0047	1	Pub Food			
0048	1	Pub Food			
0049	1	Mexican			
0051	1	Pub Food			
0052	1	Other			
0053	1	Mexican			
0054	1	American (Traditional)			
0055	1	Pub Food			
0056	1	Other			
0057	1	Pub Food			
0058	1	Other			
0059	1	Other			
0060	1	Thai			
0061	1	Other			
0062	1	Other			
0063	1	Cafe			
0064	1	Other			
0065	1	Other			
0066	1	Other			
0068	1	Barbecue			
0069	1	Other			
0070	1	Pub Food			
0071	1	Pub Food			
0072	1	Other			
0073	1	Other			
0074	1	Other			
0075	1	Other			
0076	1	Pub Food			
0078	1	Other			
0079	1	Pub Food			
0080	1	Seasonal			
0081	1	Other			
0082	1	Cafe			
0083	1	Other			
0084	1	Mexican			
0085	1	Family			
0086	1	Steakhouse			
0087	1	Asian			
0088	1	Other			
0089	1	Other			
0090	1	Cafe			
0091	1	Bar &amp; Grill			
0092	1	Bistro			
0093	1	Deli			
0094	1	Other			
0095	1	Other			
0096	1	Coffee			
0097	1	Other			
0098	1	Other			
0099	1	Fusion			
0100	1	American (Traditional)			
0101	1	Other			
0102	1	Other			
0103	1	Seafood			
0104	1	Cafe			
0105	1	Other			
0106	1	Family			
0108	1	Other			
0109	1	Other			
0111	1	Other			
0112	1	Other			
0113	1	Other			
0114	1	Pub Food			
0115	1	Pub Food			
0116	1	Pub Food			
0117	1	Cafe			
0118	1	American (Traditional)			
0120	1	Mexican			
0121	1	Other			
0122	1	Other			
0123	1	Barbecue			
0124	1	Cafe			
0125	1	Other			
0126	1	Other			
0127	1	Bar &amp; Grill			
0128	1	Seafood			
0129	1	Family			
0131	1	Other			
0132	1	Italian			
0133	1	Greek			
0134	1	Other			
0135	1	Mexican			
0137	1	Cafe			
0138	1	Barbecue			
0139	1	Barbecue			
0140	1	Bar &amp; Grill			
0141	1	Seafood			
0142	1	Seafood			
0143	1	Barbecue			
0145	1	Mexican			
0146	1	Steakhouse			
0147	1	Bar &amp; Grill			
0148	1	American (Traditional)			
0149	1	American (Traditional)			
0150	1	Other			
0151	1	Seafood			
0152	1	Other			
0154	1	Other			
0155	1	Cafe			
0156	1	Barbecue			
0157	1	Cafe			
0158	1	Other			
0159	1	Seafood			
0161	1	American (Traditional)			
0162	1	Mexican			
0163	1	Seafood			
0164	1	Bar &amp; Grill			
0165	1	Other			
0167	1	Seafood			
0168	1	Barbecue			
0170	1	Seafood			
0171	1	Mexican			
0172	1	Other			
0173	1	Cafe			
0174	1	Seafood			
0175	1	Other			
0176	1	Other			
0177	1	Barbecue			
0178	1	Other			
0179	1	Other			
0182	1	Cafe			
0184	1	American (Traditional)			
0185	1	Bar &amp; Grill			
0186	1	Other			
0187	1	Italian			
0188	1	Other			
0189	1	Cafe			
0190	1	American (Traditional)			
0191	1	American (Traditional)			
0192	1	Other			
0193	1	Cafe			
0194	1	Steakhouse			
0195	1	Mexican			
0198	1	Seafood			
0199	1	Pub Food			
0202	1	Other			
0203	1	Bar &amp; Grill			
0204	1	Seafood			
0205	1	Mexican			
0206	1	Other			
0207	1	Bar &amp; Grill			
0208	1	Bar &amp; Grill			
0209	1	Steakhouse			
0210	1	Steakhouse			
0211	1	Other			
0212	1	Barbecue			
0213	1	Pub Food			
0214	1	Cafe			
0215	1	German			
0216	1	Other			
0217	1	American (Traditional)			
0218	1	Other			
0219	1	Other			
0220	1	Barbecue			
0221	1	Steakhouse			
0222	1	American (Traditional)			
0224	1	Barbecue			
0225	1	Bar &amp; Grill			
0226	1	Other			
0227	1	Seafood			
0228	1	Mexican			
0229	1	Other			
0230	1	Steakhouse			
0231	1	American (Traditional)			
0233	1	Family			
0234	1	Pub Food			
0235	1	Other			
0237	1	Other			
0238	1	Bar &amp; Grill			
0240	1	Other			
0241	1	Bar &amp; Grill			
0242	1	Bar &amp; Grill			
0243	1	Coffee			
0244	1	Other			
0245	1	Steakhouse			
0246	1	Barbecue			
0247	1	Other			
0248	1	Other			
0250	1	Mexican			
0251	1	Other			
0252	1	Other			
0253	1	Steakhouse			
0254	1	Seafood			
0255	1	Barbecue			
0256	1	Other			
0257	1	Barbecue			
0258	1	Other			
0259	1	Mexican			
0261	1	Steakhouse			
0262	1	Other			
0263	1	Bar &amp; Grill			
0264	1	Steakhouse			
0265	1	Other			
0266	1	Steakhouse			
0267	1	Other			
0268	1	Mexican			
0269	1	American (Traditional)			
0270	1	Cafe			
0271	1	Mexican			
0273	1	Barbecue			
0274	1	Asian			
0275	1	Cafe			
0276	1	Other			
0277	1	American (Traditional)			
0278	1	Turkish			
0280	1	American (Traditional)			
0282	1	Bakery			
0283	1	Deli			
0284	1	Seafood			
0285	1	Bar &amp; Grill			
0286	1	Steakhouse			
0287	1	British			
0288	1	American (Traditional)			
0289	1	Bar &amp; Grill			
0290	1	Other			
0292	1	Family			
0293	1	Other			
0294	1	Other			
0295	1	Bar &amp; Grill			
0297	1	Bar &amp; Grill			
0298	1	Mexican			
0299	1	Steakhouse			
0300	1	Other			
0301	1	Buffet			
0302	1	Pub Food			
0303	1	Mexican			
0304	1	Barbecue			
0305	1	Other			
0306	1	Steakhouse			
0307	1	Cafe			
0308	1	Barbecue			
0309	1	Barbecue			
0310	1	Chicken			
0311	1	Other			
0313	1	Bakery			
0314	1	Family			
0315	1	Other			
0316	1	Mexican			
0317	1	Other			
0318	1	Other			
0319	1	Other			
0320	1	Seafood			
0321	1	Mexican			
0322	1	Other			
0324	1	Pub Food			
0325	1	Seafood			
0328	1	Family			
0330	1	Other			
0331	1	Bar &amp; Grill			
0332	1	Other			
0333	1	Other			
0334	1	Other			
0336	1	Bar &amp; Grill			
0337	1	American (Traditional)			
0339	1	Family			
0340	1	Other			
0341	1	Mexican			
0342	1	Other			
0343	1	Buffet			
0345	1	Buffet			
0346	1	Seafood			
0347	1	Barbecue			
0348	1	Seafood			
0350	1	Other			
0353	1	Bar &amp; Grill			
0355	1	Bar &amp; Grill			
0356	1	Mexican			
0358	1	Family			
0359	1	Seafood			
0360	1	Other			
0361	1	Bar &amp; Grill			
0362	1	Cafe			
0363	1	Steakhouse			
0364	1	Mexican			
0365	1	Seafood			
0366	1	Deli			
0367	1	Barbecue			
0368	1	Cafe			
0369	1	Seafood			
0370	1	Cafe			
0371	1	American (Traditional)			
0372	1	Other			
0373	1	Other			
0374	1	American (Traditional)			
0375	1	Bar &amp; Grill			
0376	1	Mexican			
0377	1	Other			
0378	1	American (Traditional)			
0379	1	American (Traditional)			
0380	1	American (Traditional)			
0381	1	Steakhouse			
0382	1	Cafe			
0383	1	Other			
0384	1	Other			
0385	1	Other			
0386	1	Cafe			
0387	1	Coffee			
0388	1	Seafood			
0389	1	Caribbean			
0390	1	Other			
0391	1	Cafe			
0392	1	Cafe			
0393	1	Mexican			
0394	1	Barbecue			
0395	1	Japanese			
0396	1	Seafood			
0397	1	American (Traditional)			
0398	1	Other			
0399	1	Family			
0400	1	Seafood			
0401	1	Seafood			
0403	1	American (Traditional)			
0404	1	Other			
0405	1	Other			
0406	1	Mexican			
0407	1	Bar &amp; Grill			
0408	1	Cafe			
0409	1	Other			
0410	1	Barbecue			
0411	1	Other			
0412	1	American (Traditional)			
0413	1	Barbecue			
0414	1	Cafe			
0415	1	Steakhouse			
0418	1	Other			
0419	1	Other			
0420	1	Steakhouse			
0421	1	Other			
0422	1	Italian			
0423	1	Steakhouse			
0424	1	Other			
0426	1	Other			
0428	1	Barbecue			
0429	1	Mexican			
0430	1	Cafe			
0431	1	Italian			
0432	1	Cafe			
0433	1	Other			
0434	1	Barbecue			
0435	1	Seafood			
0436	1	Other			
0437	1	Mexican			
0439	1	Other			
0441	1	Other			
0442	1	Other			
0443	1	Bar &amp; Grill			
0444	1	Barbecue			
0445	1	American (Traditional)			
0447	1	Barbecue			
0448	1	Cafe			
0449	1	Seafood			
0450	1	Mexican			
0451	1	Cafe			
0452	1	Seafood			
0454	1	Italian			
0455	1	Other			
0456	1	Other			
0457	1	American (Traditional)			
0458	1	Cafe			
0459	1	Other			
0460	1	Other			
0461	1	Mexican			
0462	1	Italian			
0463	1	Bar &amp; Grill			
0464	1	Steakhouse			
0465	1	Other			
0466	1	Other			
0467	1	Mexican			
0468	1	Barbecue			
0469	1	Other			
0470	1	Other			
0471	1	Cafe			
0472	1	Other			
0473	1	Bar &amp; Grill			
0476	1	Other			
0477	1	Other			
0478	1	Bar &amp; Grill			
0479	1	Mexican			
0480	1	Other			
0482	1	Other			
0483	1	Italian			
0484	1	American (Traditional)			
0485	1	Barbecue			
0486	1	Mexican			
0488	1	Mexican			
0489	1	Other			
0491	1	Cafe			
0492	1	Cafe			
0493	1	Other			
0494	1	Mexican			
0495	1	Other			
0496	1	American (Traditional)			
0498	1	American (Traditional)			
0499	1	American (Traditional)			
0500	1	Other			
0501	1	Barbecue			
0502	1	Bar &amp; Grill			
0503	1	Other			
0504	1	Other			
0505	1	Other			
0506	1	Other			
0507	1	Italian			
0508	1	Barbecue			
0509	1	Cafe			
0510	1	Pub Food			
0511	1	Other			
0512	1	Other			
0513	1	Mexican			
0515	1	Barbecue			
0516	1	Other			
0517	1	Other			
0518	1	Seafood			
0519	1	Other			
0520	1	American (Traditional)			
0521	1	Other			
0522	1	Seafood			
0523	1	Other			
0524	1	Other			
0525	1	Mexican			
0526	1	Other			
0527	1	Other			
0528	1	Barbecue			
0529	1	Cafe			
0531	1	Other			
0532	1	Other			
0534	1	Other			
0535	1	Italian			
0536	1	Other			
0537	1	Bar &amp; Grill			
0538	1	Other			
0539	1	Bar &amp; Grill			
0540	1	Other			
0541	1	Other			
0542	1	Bar &amp; Grill			
0544	1	Cafe			
0545	1	Steakhouse			
0546	1	Family			
0547	1	Barbecue			
0548	1	Steakhouse			
0549	1	Other			
0551	1	Other			
0552	1	Other			
0554	1	Other			
0555	1	Mexican			
0557	1	Other			
0558	1	Cafe			
0559	1	Mexican			
0560	1	Other			
0561	1	Cafe			
0562	1	Other			
0564	1	Other			
0565	1	American (Traditional)			
0566	1	Cafe			
0567	1	Other			
0570	1	Other			
0571	1	Cafe			
0572	1	Other			
0575	1	Other			
0576	1	American (Traditional)			
0577	1	Cafe			
0578	1	Italian			
0579	1	Family			
0582	1	Seafood			
0583	1	Bar &amp; Grill			
0585	1	Other			
0586	1	Seafood			
0588	1	Cafe			
0589	1	Other			
0590	1	Other			
0592	1	Cafe			
0593	1	Other			
0594	1	Cafe			
0595	1	Bar &amp; Grill			
0596	1	Steakhouse			
0597	1	Mexican			
0598	1	Family			
0599	1	Other			
0600	1	Other			
0603	1	Seafood			
0604	1	Seafood			
0608	1	Italian			
0609	1	Steakhouse			
0610	1	Seafood			
0611	1	Other			
0612	1	Pub Food			
0613	1	Buffet			
0614	1	Cafe			
0615	1	Mexican			
0616	1	Other			
0617	1	Pub Food			
0618	1	Other			
0619	1	Other			
0621	1	Other			
0622	1	Other			
0623	1	Other			
0624	1	Other			
0625	1	Other			
0626	1	Mexican			
0627	1	Other			
0628	1	Bar &amp; Grill			
0629	1	Mexican			
0630	1	Other			
0631	1	Barbecue			
0632	1	Other			
0635	1	Other			
0636	1	Seafood			
0637	1	Italian			
0638	1	Other			
0639	1	Other			
0640	1	Mexican			
0641	1	Mexican			
0642	1	Seafood			
0643	1	Cafe			
0644	1	Other			
0645	1	Other			
0648	1	American (Traditional)			
0649	1	Bar &amp; Grill			
0650	1	Other			
0651	1	Other			
0652	1	Steakhouse			
0653	1	Greek			
0654	1	Barbecue			
0655	1	Cafe			
0656	1	Other			
0657	1	Cafe			
0660	1	Mexican			
0662	1	Cafe			
0663	1	Seafood			
0664	1	Italian			
0665	1	Barbecue			
0666	1	Other			
0668	1	Mexican			
0669	1	Other			
0670	1	Seafood			
0671	1	Other			
0672	1	Bakery			
0673	1	Barbecue			
0674	1	Other			
0675	1	Deli			
0676	1	Bar &amp; Grill			
0677	1	Pub Food			
0678	1	Cafe			
0679	1	Cafe			
0680	1	Other			
0681	1	Seafood			
0682	1	Bar &amp; Grill			
0683	1	Seafood			
0684	1	American (Traditional)			
0685	1	Seafood			
0686	1	Cafe			
0687	1	American (Traditional)			
0688	1	Steakhouse			
0689	1	Mexican			
0690	1	Other			
0691	1	Seafood			
0692	1	Irish			
0693	1	Bar &amp; Grill			
0694	1	Bar &amp; Grill			
0695	1	Other			
0696	1	Other			
0697	1	Cafe			
0699	1	American (Traditional)			
0700	1	Other			
0701	1	Italian			
0702	1	Italian			
0703	1	Barbecue			
0704	1	Barbecue			
0705	1	Pub Food			
0706	1	Barbecue			
0707	1	Seafood			
0708	1	Pub Food			
0709	1	Other			
0711	1	Other			
0712	1	Other			
0713	1	Bistro			
0715	1	Other			
0716	1	Other			
0717	1	Other			
0719	1	Mexican			
0720	1	Pub Food			
0721	1	Other			
0722	1	Other			
0723	1	Barbecue			
0724	1	Barbecue			
0725	1	Other			
0726	1	Other			
0727	1	Barbecue			
0728	1	Italian			
0729	1	American (Traditional)			
0730	1	Cafe			
0732	1	Bar &amp; Grill			
0733	1	Cafe			
0734	1	Bakery			
0735	1	Mexican			
0736	1	Other			
0737	1	Other			
0738	1	Bistro			
0739	1	Pub Food			
0740	1	Bar &amp; Grill			
0742	1	Other			
0743	1	Other			
0744	1	Other			
0745	1	Other			
0746	1	Other			
0747	1	Other			
0748	1	Cafe			
0749	1	Other			
0750	1	Other			
0751	1	Italian			
0753	1	Family			
0754	1	Cafe			
0755	1	Other			
0756	1	Seafood			
0758	1	Barbecue			
0759	1	Steakhouse			
0760	1	Mexican			
0761	1	Other			
