restaurant	urbanspoon	cuisine			
0509	4	Steakhouse	Brazilian	International	Steakhouse - Brazilian - International
0513	4	Coffee	American	Breakfast/Brunch	Coffee - American - Breakfast/Brunch
0516	4	Barbecue	Seafood	Steakhouse	Barbecue - Seafood - Steakhouse
0518	4	Mexican	Southwestern	Tacos	Mexican - Southwestern - Tacos
0522	4	American	Breakfast/Brunch	Vegetarian	American - Breakfast/Brunch - Vegetarian
0524	4	Japanese	Sushi	Teriyaki	Japanese - Sushi - Teriyaki
0529	4	Burgers	American	Gastropub	Burgers - American - Gastropub
0530	4	Diner	Asian	Chinese	Diner - Asian - Chinese
0532	4	Sushi	Italian	Sandwiches/Subs	Sushi - Italian - Sandwiches/Subs
0533	4	Italian	European	Mediterranean	Italian - European - Mediterranean
0535	4	Japanese	Korean	Sushi	Japanese - Korean - Sushi
0536	4	American	Pizza	Vegetarian	American - Pizza - Vegetarian
0539	4	Burgers	Breakfast/Brunch	Sandwiches/Subs	Burgers - Breakfast/Brunch - Sandwiches/Subs
0544	4	American	Pizza	Vegetarian	American - Pizza - Vegetarian
0545	4	American	Seafood	Steakhouse	American - Seafood - Steakhouse
0547	4	Diner	Barbecue	Pub Food	Diner - Barbecue - Pub Food
0550	4	American	Sandwiches/Subs	Seafood	American - Sandwiches/Subs - Seafood
0556	4	Fast Food	Breakfast/Brunch	Sandwiches/Subs	Fast Food - Breakfast/Brunch - Sandwiches/Subs
0562	4	Mediterranean	Spanish	Tapas	Mediterranean - Spanish - Tapas
0564	4	American	Pizza	Pub Food	American - Pizza - Pub Food
0570	4	American	Burgers	Desserts/Ice Cream	American - Burgers - Desserts/Ice Cream
0573	4	Bagels	American	Soups	Bagels - American - Soups
0583	4	Italian	Gastropub	Modern American	Italian - Gastropub - Modern American
0585	4	Diner	American	Southern &amp; Soul	Diner - American - Southern &amp; Soul
0588	4	Chinese	Asian	Vegetarian	Chinese - Asian - Vegetarian
0589	4	Breakfast/Brunch	Burgers	Sandwiches/Subs	Breakfast/Brunch - Burgers - Sandwiches/Subs
0597	4	Sandwiches/Subs	Bakery	Burgers	Sandwiches/Subs - Bakery - Burgers
0600	4	Diner	American	Southern &amp; Soul	Diner - American - Southern &amp; Soul
0602	4	Burgers	American	Desserts/Ice Cream	Burgers - American - Desserts/Ice Cream
0603	4	American	Bakery	Coffee	American - Bakery - Coffee
0606	4	Desserts/Ice Cream	Fast Food	Smoothies	Desserts/Ice Cream - Fast Food - Smoothies
0608	4	Mediterranean	California	Italian	Mediterranean - California - Italian
0616	4	Burgers	American	Diner	Burgers - American - Diner
0617	4	Middle Eastern	Armenian	Fast Food	Middle Eastern - Armenian - Fast Food
0618	4	Burgers	Hot Dogs	Seafood	Burgers - Hot Dogs - Seafood
0621	4	Steakhouse	Seafood	Sushi	Steakhouse - Seafood - Sushi
0622	4	Pizza	Italian	Sandwiches/Subs	Pizza - Italian - Sandwiches/Subs
0629	4	American	Gastropub	Tapas	American - Gastropub - Tapas
0630	4	Barbecue	Pub Food	Soups	Barbecue - Pub Food - Soups
0637	4	Pub Food	American	California	Pub Food - American - California
0643	4	Southern &amp; Soul	Barbecue	Desserts/Ice Cream	Southern &amp; Soul - Barbecue - Desserts/Ice Cream
0650	4	Japanese	Chinese	Sushi	Japanese - Chinese - Sushi
0654	4	Burgers	Fast Food	Hot Dogs	Burgers - Fast Food - Hot Dogs
0656	4	American	Burgers	Desserts/Ice Cream	American - Burgers - Desserts/Ice Cream
0658	4	Sandwiches/Subs	American	Burgers	Sandwiches/Subs - American - Burgers
0659	4	Burgers	Fast Food	Hot Dogs	Burgers - Fast Food - Hot Dogs
0660	4	Seafood	American	Fast Food	Seafood - American - Fast Food
0661	4	American	Breakfast/Brunch	Mediterranean	American - Breakfast/Brunch - Mediterranean
0665	4	Thai	Chinese	Sushi	Thai - Chinese - Sushi
0666	4	Sandwiches/Subs	American	Fast Food	Sandwiches/Subs - American - Fast Food
0669	4	Latin American	Coffee	El Salvadoran	Latin American - Coffee - El Salvadoran
0671	4	International	Breakfast/Brunch	Seafood	International - Breakfast/Brunch - Seafood
0672	4	Coffee	Breakfast/Brunch	Sandwiches/Subs	Coffee - Breakfast/Brunch - Sandwiches/Subs
0673	4	American	Breakfast/Brunch	Diner	American - Breakfast/Brunch - Diner
0674	4	Italian	Organic	Pizza	Italian - Organic - Pizza
0675	4	Soups	American	Sandwiches/Subs	Soups - American - Sandwiches/Subs
0678	4	Desserts/Ice Cream	Burgers	Fast Food	Desserts/Ice Cream - Burgers - Fast Food
0683	4	Latin American	Mexican	Spanish	Latin American - Mexican - Spanish
0684	4	Steakhouse	Barbecue	Southwestern	Steakhouse - Barbecue - Southwestern
0685	4	Pizza	Italian	Sandwiches/Subs	Pizza - Italian - Sandwiches/Subs
0687	4	American	Hot Dogs	Sandwiches/Subs	American - Hot Dogs - Sandwiches/Subs
0688	4	American	Burgers	Pub Food	American - Burgers - Pub Food
0690	4	American	Desserts/Ice Cream	Pub Food	American - Desserts/Ice Cream - Pub Food
0691	4	Burgers	American	Pub Food	Burgers - American - Pub Food
0692	4	American	Desserts/Ice Cream	Sandwiches/Subs	American - Desserts/Ice Cream - Sandwiches/Subs
0693	4	American	Burgers	Diner	American - Burgers - Diner
0695	4	Pizza	American	Pub Food	Pizza - American - Pub Food
0698	4	Asian	Japanese	Sushi	Asian - Japanese - Sushi
0699	4	Seafood	American	Pub Food	Seafood - American - Pub Food
0700	4	American	Breakfast/Brunch	Burgers	American - Breakfast/Brunch - Burgers
0701	4	Burgers	Pub Food	Sandwiches/Subs	Burgers - Pub Food - Sandwiches/Subs
0703	4	Burgers	American	Pizza	Burgers - American - Pizza
0705	4	Pizza	European	Italian	Pizza - European - Italian
0706	4	Asian	Thai	Vegetarian	Asian - Thai - Vegetarian
0707	4	Asian	Chinese	Vietnamese	Asian - Chinese - Vietnamese
0709	4	American	Breakfast/Brunch	Vegetarian	American - Breakfast/Brunch - Vegetarian
0710	4	American	Italian	Latin American	American - Italian - Latin American
0711	4	Pub Food	English/Irish	European	Pub Food - English/Irish - European
0713	4	Bakery	American	Breakfast/Brunch	Bakery - American - Breakfast/Brunch
0715	4	International	Middle Eastern	Smoothies	International - Middle Eastern - Smoothies
0716	4	Coffee	American	Italian	Coffee - American - Italian
0724	4	Burgers	American	Steakhouse	Burgers - American - Steakhouse
0726	4	Mexican	Tacos	Tex-Mex	Mexican - Tacos - Tex-Mex
0729	4	Breakfast/Brunch	Diner	Seafood	Breakfast/Brunch - Diner - Seafood
0732	4	Sandwiches/Subs	Cajun/Creole	Southern &amp; Soul	Sandwiches/Subs - Cajun/Creole - Southern &amp; Soul
0734	4	Southern &amp; Soul	French	Seafood	Southern &amp; Soul - French - Seafood
0736	4	American	Steakhouse	Wine Bar	American - Steakhouse - Wine Bar
0737	4	Breakfast/Brunch	Burgers	Sandwiches/Subs	Breakfast/Brunch - Burgers - Sandwiches/Subs
0738	4	American	Burgers	Desserts/Ice Cream	American - Burgers - Desserts/Ice Cream
0743	4	Burgers	American	Pub Food	Burgers - American - Pub Food
0753	4	Bakery	Desserts/Ice Cream	Mediterranean	Bakery - Desserts/Ice Cream - Mediterranean
0755	4	Caribbean	Latin American	Southern &amp; Soul	Caribbean - Latin American - Southern &amp; Soul
0758	4	Latin American	Cuban	Spanish	Latin American - Cuban - Spanish
0759	4	Asian	Chinese	Noodle Shop	Asian - Chinese - Noodle Shop
0762	4	Latin American	Pub Food	Seafood	Latin American - Pub Food - Seafood
0764	4	Turkish	Vegetarian	Wine Bar	Turkish - Vegetarian - Wine Bar
0765	4	American	Burgers	Vegetarian	American - Burgers - Vegetarian
0768	4	Greek	Eastern European	Mediterranean	Greek - Eastern European - Mediterranean
0769	4	Vegetarian	Latin American	Mexican	Vegetarian - Latin American - Mexican
0772	4	Pizza	Italian	Sandwiches/Subs	Pizza - Italian - Sandwiches/Subs
0773	4	Italian	Greek	Pizza	Italian - Greek - Pizza
0774	4	Thai	Japanese	Vegetarian	Thai - Japanese - Vegetarian
0776	4	Mexican	Pub Food	Tacos	Mexican - Pub Food - Tacos
0777	4	Sandwiches/Subs	American	Mediterranean	Sandwiches/Subs - American - Mediterranean
0780	4	Pizza	Italian	Sandwiches/Subs	Pizza - Italian - Sandwiches/Subs
0781	4	Seafood	American	Breakfast/Brunch	Seafood - American - Breakfast/Brunch
0785	4	Japanese	Seafood	Sushi	Japanese - Seafood - Sushi
0786	4	Seafood	American	Vegetarian	Seafood - American - Vegetarian
0787	4	Barbecue	American	Steakhouse	Barbecue - American - Steakhouse
0795	4	Sandwiches/Subs	Bagels	Breakfast/Brunch	Sandwiches/Subs - Bagels - Breakfast/Brunch
0799	4	American	Burgers	Hot Dogs	American - Burgers - Hot Dogs
0800	4	Steakhouse	Portuguese	Spanish	Steakhouse - Portuguese - Spanish
0806	4	Burgers	American	Hot Dogs	Burgers - American - Hot Dogs
0813	4	Burgers	Brazilian	Fast Food	Burgers - Brazilian - Fast Food
0814	4	Fast Food	Burgers	Portuguese	Fast Food - Burgers - Portuguese
0820	4	Pizza	California	Vegetarian	Pizza - California - Vegetarian
0821	4	Asian	Chinese	Vegetarian	Asian - Chinese - Vegetarian
0826	4	California	American	Mediterranean	California - American - Mediterranean
0827	4	Diner	Breakfast/Brunch	Coffee	Diner - Breakfast/Brunch - Coffee
0831	4	Tapas	French	Spanish	Tapas - French - Spanish
0833	4	Chinese	Asian	Dim Sum	Chinese - Asian - Dim Sum
0836	4	Burgers	American	Desserts/Ice Cream	Burgers - American - Desserts/Ice Cream
0837	4	Sandwiches/Subs	Italian	Pizza	Sandwiches/Subs - Italian - Pizza
0840	4	Desserts/Ice Cream	American	French	Desserts/Ice Cream - American - French
0842	4	Pizza	Desserts/Ice Cream	Sandwiches/Subs	Pizza - Desserts/Ice Cream - Sandwiches/Subs
0844	4	Coffee	Bakery	Desserts/Ice Cream	Coffee - Bakery - Desserts/Ice Cream
0845	4	Gastropub	American	Pub Food	Gastropub - American - Pub Food
0847	4	Seafood	American	Wine Bar	Seafood - American - Wine Bar
0849	4	Spanish	European	Tapas	Spanish - European - Tapas
0853	4	Wine Bar	Italian	Seafood	Wine Bar - Italian - Seafood
0854	4	Tea	Desserts/Ice Cream	Sandwiches/Subs	Tea - Desserts/Ice Cream - Sandwiches/Subs
0856	4	Bakery	Coffee	Sandwiches/Subs	Bakery - Coffee - Sandwiches/Subs
0863	4	Modern American	Bistro	Wine Bar	Modern American - Bistro - Wine Bar
0865	4	Breakfast/Brunch	German	Southern &amp; Soul	Breakfast/Brunch - German - Southern &amp; Soul
0867	4	Chinese	Asian	Soups	Chinese - Asian - Soups
0870	4	Pub Food	American	Burgers	Pub Food - American - Burgers
0872	4	Organic	American	Vegetarian	Organic - American - Vegetarian
0873	4	Chinese	Asian	Buffet	Chinese - Asian - Buffet
0884	4	Japanese	Sushi	Teriyaki	Japanese - Sushi - Teriyaki
0885	4	American	Sandwiches/Subs	Vegetarian	American - Sandwiches/Subs - Vegetarian
0887	4	American	California	Steakhouse	American - California - Steakhouse
0889	4	American	Breakfast/Brunch	Soups	American - Breakfast/Brunch - Soups
0896	4	Vegetarian	American	Sandwiches/Subs	Vegetarian - American - Sandwiches/Subs
0901	4	Gastropub	English/Irish	Modern American	Gastropub - English/Irish - Modern American
0905	4	Japanese	Steakhouse	Sushi	Japanese - Steakhouse - Sushi
0909	4	Cuban	Latin American	Sandwiches/Subs	Cuban - Latin American - Sandwiches/Subs
0911	4	Italian	Pizza	Sandwiches/Subs	Italian - Pizza - Sandwiches/Subs
0912	4	Pub Food	English/Irish	Seafood	Pub Food - English/Irish - Seafood
0913	4	American	Seafood	Steakhouse	American - Seafood - Steakhouse
0919	4	Thai	Asian	Japanese	Thai - Asian - Japanese
0922	4	Seafood	American	Pub Food	Seafood - American - Pub Food
0923	4	Sandwiches/Subs	Cheesesteak	Italian	Sandwiches/Subs - Cheesesteak - Italian
0925	4	Fast Food	American	Burgers	Fast Food - American - Burgers
0926	4	Bakery	Desserts/Ice Cream	Sandwiches/Subs	Bakery - Desserts/Ice Cream - Sandwiches/Subs
0928	4	Japanese	Soups	Sushi	Japanese - Soups - Sushi
0929	4	American	Pub Food	Seafood	American - Pub Food - Seafood
0930	4	Caribbean	Afghan	Cuban	Caribbean - Afghan - Cuban
0934	4	Breakfast/Brunch	Bakery	Sandwiches/Subs	Breakfast/Brunch - Bakery - Sandwiches/Subs
0940	4	Latin American	Cuban	Spanish	Latin American - Cuban - Spanish
0943	4	American	Barbecue	Sandwiches/Subs	American - Barbecue - Sandwiches/Subs
0950	4	Mexican	Caribbean	Chinese	Mexican - Caribbean - Chinese
0951	4	Wine Bar	American	Italian	Wine Bar - American - Italian
0952	4	Hot Dogs	American	Fast Food	Hot Dogs - American - Fast Food
0953	4	International	Desserts/Ice Cream	Greek	International - Desserts/Ice Cream - Greek
0954	4	Pizza	American	Italian	Pizza - American - Italian
0955	4	Pizza	American	Italian	Pizza - American - Italian
0956	4	Steakhouse	American	Seafood	Steakhouse - American - Seafood
0966	4	Pizza	American	Sandwiches/Subs	Pizza - American - Sandwiches/Subs
0968	4	Japanese	Asian	Sushi	Japanese - Asian - Sushi
0970	4	Modern American	American	Pub Food	Modern American - American - Pub Food
0973	4	Buffet	Asian	Seafood	Buffet - Asian - Seafood
0974	4	Italian	European	Wine Bar	Italian - European - Wine Bar
